"","baseMean","log2FoldChange","lfcSE","stat","pvalue","logFC","P.Value","adj.P.Val","gene_name","log2FoldChange_shrunk"
"Col1a1",1830.34256911746,0.539023473393179,0.0521148127809261,10.3429993245694,4.50221640914657e-25,0.539023473393179,4.50221640914657e-25,5.42652143794436e-21,"Col1a1",0.529114005486036
"Bzw2",451.881083257742,-0.741865582257577,0.0724589266043829,-10.2384290938793,1.33384444613657e-24,-0.741865582257577,1.33384444613657e-24,8.03841355464201e-21,"Bzw2",-0.727631609362673
"Kat8",65.938410192845,-1.72341039524864,0.185578301316565,-9.28670207142802,1.59142923688041e-20,-1.72341039524864,1.59142923688041e-20,6.39383219737318e-17,"Kat8",-1.68251713586859
"Ptn",762.453645749764,-0.964929393764244,0.114484352364587,-8.42848279117941,3.50175655427206e-17,-0.964929393764244,3.50175655427206e-17,8.44725283058238e-14,"Ptn",-0.936929800950496
"Mxd4",1376.30666969807,-0.418093406540776,0.0496053069292643,-8.4284007583496,3.50421174420575e-17,-0.418093406540776,3.50421174420575e-17,8.44725283058238e-14,"Mxd4",-0.407024326513875
"Stc1",126.286313620247,1.01074333366128,0.128983305749633,7.83623374968553,4.64261257133397e-15,1.01074333366128,4.64261257133397e-15,9.32623488704805e-12,"Stc1",0.97696177564938
"Ormdl3",516.675613328755,-0.511325250646819,0.0675567745469507,-7.56882272837727,3.76621673419459e-14,-0.511325250646819,3.76621673419459e-14,6.48488718532105e-11,"Ormdl3",-0.493467377344993
"Gpr137b",128.785358409558,0.844442854030031,0.121927125005769,6.92579976760772,4.33519285515502e-12,0.844442854030031,4.33519285515502e-12,6.36815284762383e-09,"Gpr137b",0.808336487267866
"C1qtnf6",91.4016192330973,1.00509846570763,0.145538387015175,6.90607121819228,4.98259911932228e-12,1.00509846570763,4.98259911932228e-12,6.36815284762383e-09,"C1qtnf6",0.96174344843405
"Gxylt2",51.9877329587645,-1.36800136683673,0.198325891650762,-6.89774469410016,5.28345876348115e-12,-1.36800136683673,5.28345876348115e-12,6.36815284762383e-09,"Gxylt2",-1.30824291210809
"Ifi203",325.008064253844,-0.583144157072732,0.0878545476701564,-6.6376092363722,3.18811683619116e-11,-0.583144157072732,3.18811683619116e-11,3.49330656605565e-08,"Ifi203",-0.556247933649573
"Olfml3",247.913058440513,0.599611958330917,0.0913113064567113,6.5666781212377,5.14500948250345e-11,0.599611958330917,5.14500948250345e-11,5.16773327438451e-08,"Olfml3",0.571233635831321
"Actr1a",436.316611104555,-0.455631352999293,0.0715491705298658,-6.36808714377904,1.91400168375126e-10,-0.455631352999293,1.91400168375126e-10,1.77457402263491e-07,"Actr1a",-0.433061334804183
"Sox9",292.195550315629,0.531323844357572,0.0840150824684927,6.32414834035102,2.54633025136539e-10,0.531323844357572,2.54633025136539e-10,2.19220846569336e-07,"Sox9",0.504385736760048
"Gpc1",232.772032191184,0.5680933248522,0.0917519895454416,6.19161859777267,5.95495059783584e-10,0.5680933248522,5.95495059783584e-10,4.78500130371436e-07,"Gpc1",0.537719443068908
"Ifi207",262.525885097502,-0.580674841581499,0.0940916987279773,-6.17137164523145,6.77000788081818e-10,-0.580674841581499,6.77000788081818e-10,5.09993156171884e-07,"Ifi207",-0.549360857463756
"Tubb5",1193.43077555654,0.320922280874448,0.0524694786879435,6.11636114746057,9.57362279207054e-10,0.320922280874448,9.57362279207054e-10,6.78769855957802e-07,"Tubb5",0.30450560823438
"Col5a1",806.989409392917,0.358884780676642,0.0604234671512148,5.93949333921045,2.85904292110558e-09,0.358884780676642,2.85904292110558e-09,1.91444690711587e-06,"Col5a1",0.338566451350905
"Gna11",573.903046800701,-0.383425256363068,0.064968306962534,-5.90172769292236,3.5971453729061e-09,-0.383425256363068,3.5971453729061e-09,2.28191543050722e-06,"Gna11",-0.361605491930178
"Pcolce2",98.6783127468214,0.812651271449995,0.140684487832529,5.77640992244556,7.6311325956512e-09,0.812651271449995,7.6311325956512e-09,4.5989020587692e-06,"Pcolce2",0.76175753802962
"Cygb",268.893162919166,0.507645821753592,0.0899048128820846,5.64648104456208,1.63765212449338e-08,0.507645821753592,1.63765212449338e-08,9.39934336024702e-06,"Cygb",0.475031766425157
"Scara5",204.510596115881,-0.597672755515519,0.106661981844423,-5.60342818669245,2.10153208917077e-08,-0.597672755515519,2.10153208917077e-08,1.11828506026291e-05,"Scara5",-0.55799624971739
"Gipc1",125.52897927588,-0.69489410674404,0.124071060955914,-5.60077508316751,2.13395473210378e-08,-0.69489410674404,2.13395473210378e-08,1.11828506026291e-05,"Gipc1",-0.6484349527404
"Kdelr3",152.418475099712,0.655833816185108,0.118315792600444,5.54307926077019,2.97198249137777e-08,0.655833816185108,2.97198249137777e-08,1.49255437369068e-05,"Kdelr3",0.611231191468921
"Bod1l",781.037675043663,-0.356807311237826,0.0646077562933367,-5.52266990387074,3.33886665889195e-08,-0.356807311237826,3.33886665889195e-08,1.60973439358499e-05,"Bod1l",-0.333605626440671
"Enpp4",233.114199994317,-0.506486116100313,0.092490588629437,-5.47608274101862,4.34844422707644e-08,-0.506486116100313,4.34844422707644e-08,2.01583839495971e-05,"Enpp4",-0.4716225320031
"Znfx1",535.801707881222,-0.423652348528361,0.0777747818154915,-5.44716858908598,5.11779508090796e-08,-0.423652348528361,5.11779508090796e-08,2.28462163371051e-05,"Znfx1",-0.394820903475297
"Ccl8",140.838201247172,0.674382494769057,0.124147737355804,5.43209654185075,5.56957746381208e-08,0.674382494769057,5.56957746381208e-08,2.39750418469025e-05,"Ccl8",0.626390826353159
"Tmsb10",375.729829439505,0.415308593296847,0.0766644719700174,5.41722368425455,6.05315933039966e-08,0.415308593296847,6.05315933039966e-08,2.51581825549335e-05,"Tmsb10",0.386797347038561
"Uhmk1",246.390783444528,-0.483906638367632,0.0895874188273607,-5.40150218302576,6.60851348529927e-08,-0.483906638367632,6.60851348529927e-08,2.6550804346104e-05,"Uhmk1",-0.449719605447766
"Ak4",190.178037229695,0.568678180568151,0.105480963292646,5.39128732632456,6.99547168406393e-08,0.568678180568151,6.99547168406393e-08,2.71988452283944e-05,"Ak4",0.528013086251289
"Oip5os1",1065.69009832559,0.282197565257924,0.0526201252682987,5.36292081820519,8.1886908243046e-08,0.282197565257924,8.1886908243046e-08,3.08432157829198e-05,"Oip5os1",0.263578505578921
"Unc5b",265.438765143898,0.474236943881879,0.0887283146957173,5.34482082194636,9.0506538129163e-08,0.474236943881879,9.0506538129163e-08,3.30568273960849e-05,"Unc5b",0.44022341577196
"Scaf11",860.84661486563,-0.353606549736752,0.0664391388298648,-5.32226268980181,1.0248443313873e-07,-0.353606549736752,1.0248443313873e-07,3.56519167229789e-05,"Scaf11",-0.328817075411999
"Ehd4",232.674112318279,-0.490128686093744,0.0921221655939504,-5.32042080137476,1.03527510603523e-07,-0.490128686093744,1.03527510603523e-07,3.56519167229789e-05,"Ehd4",-0.454340598268767
"Mndal",347.277754005688,-0.447761730731237,0.0852605525855563,-5.25168694258605,1.50712462179917e-07,-0.447761730731237,1.50712462179917e-07,5.04593696292927e-05,"Mndal",-0.414459073318041
"Id2",104.464611094791,0.747274793494058,0.144121547164106,5.18503171939421,2.15978103751528e-07,0.747274793494058,2.15978103751528e-07,7.0356326608572e-05,"Id2",0.688125129171792
"Ncam1",542.449764203647,0.374258146321489,0.0723508280052006,5.17282464679723,2.3058138814334e-07,0.374258146321489,2.3058138814334e-07,7.31367755603072e-05,"Ncam1",0.346229204952386
"Sox4",1098.01048521514,0.26133219132974,0.0506699723951186,5.15753569573517,2.50221158485602e-07,0.26133219132974,2.50221158485602e-07,7.73311698263323e-05,"Sox4",0.243063120315636
