"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name"
"Trp53inp1",250.208437931114,1.44681604195813,0.0770643114732519,18.7741383047366,1.22926173030943e-78,2.21095014813454e-74,1.44681604195813,"Trp53inp1"
"Bckdk",217.255439907542,-1.0922814134043,0.0638419812040718,-17.1091402992776,1.26858036709095e-65,1.14083432412489e-61,-1.0922814134043,"Bckdk"
"Ero1a",107.380838095113,1.59356119845546,0.102255395195446,15.5841283035442,9.33277433293273e-55,5.59530930507093e-51,1.59356119845546,"Ero1a"
"Mdm2",266.631883494811,0.856045247096475,0.0576176610620695,14.8573411575018,6.23510896998246e-50,2.80361674835261e-46,0.856045247096475,"Mdm2"
"Svip",141.915999578941,-1.96589803944148,0.133126282039168,-14.7671670036055,2.38530499597429e-49,8.5804191315187e-46,-1.96589803944148,"Svip"
"Ms4a7",176.979973588103,1.83321194529275,0.130685126814872,14.027701468199,1.05516329801446e-44,3.16302784634801e-41,1.83321194529275,"Ms4a7"
"Fahd2a",91.0688518239273,-1.49630939656258,0.108058113574715,-13.8472655783314,1.32147556270015e-43,3.39543706724641e-40,-1.49630939656258,"Fahd2a"
"5730455P16Rik",214.322747214471,-0.935374614491327,0.0683006999440544,-13.6949491770582,1.08836479938081e-42,2.44691616020791e-39,-0.935374614491327,"5730455P16Rik"
"Gm11837",72.9318120242688,-2.14346470835727,0.157634100485626,-13.5977222044841,4.13099602313937e-42,8.25556605246497e-39,-2.14346470835727,"Gm11837"
"Tdrkh",50.2845766570374,-1.81662525312036,0.13643717015159,-13.3147385796846,1.90036458097024e-40,3.41799573533308e-37,-1.81662525312036,"Tdrkh"
"Apobec1",179.451250619426,1.35058076138831,0.10186457001988,13.2585918845457,4.0238023778614e-40,6.57928268801956e-37,1.35058076138831,"Apobec1"
"St6galnac5",131.711457914469,-3.5911552170267,0.272591142131898,-13.174144944479,1.23620047325181e-39,1.85285847599225e-36,-3.5911552170267,"St6galnac5"
"Capg",201.051759444933,1.22662368156915,0.0932884960862335,13.1487132179223,1.73095106728406e-39,2.39483737662855e-36,1.22662368156915,"Capg"
"Ttc38",162.161703735784,-1.26366634335854,0.0972961051401289,-12.987840998759,1.43415928668399e-38,1.84248492359274e-35,-1.26366634335854,"Ttc38"
"Eda2r",37.1223728291592,2.23743751988268,0.173541324055416,12.8928226868213,4.94019569683339e-38,5.92362398688302e-35,2.23743751988268,"Eda2r"
"Cfap68",344.668302215021,-0.802918607896631,0.0623809940267244,-12.8712057321923,6.53735921489634e-38,7.34880892744534e-35,-0.802918607896631,"Cfap68"
"Dnajb9",274.284392483358,1.17304158042902,0.0913288416953543,12.8441526099929,9.27620934587865e-38,9.81422948793961e-35,1.17304158042902,"Dnajb9"
"Gtse1",23.4307125322987,3.02040937998546,0.235668835312997,12.8163292188124,1.32842191194685e-37,1.32738869490422e-34,3.02040937998546,"Gtse1"
"Ctss",865.243101855531,1.42834127445506,0.111564348561507,12.8028469029029,1.58048961391528e-37,1.49614137873054e-34,1.42834127445506,"Ctss"
"Tyrobp",352.26555741559,1.18418994406653,0.0942982388513145,12.5579221679178,3.59653941347443e-36,3.23436789453756e-33,1.18418994406653,"Tyrobp"
"Ntrk2",679.729111898704,-1.43172440181449,0.114653787550779,-12.4873711754214,8.7497180997421e-36,7.49392522580769e-33,-1.43172440181449,"Ntrk2"
"Dtna",183.65416380246,-1.41004419068442,0.113545283350978,-12.4183422602052,2.07823198000883e-35,1.69904910874722e-32,-1.41004419068442,"Dtna"
"Zbtb4",636.88896777445,-0.745748665985209,0.0604162143557069,-12.3435186056931,5.2797094319976e-35,4.12873277582213e-32,-0.745748665985209,"Zbtb4"
"Ccdc73",63.1663085932905,-1.58374874494892,0.130003673056819,-12.1823384502123,3.86051773003504e-34,2.89313632885043e-31,-1.58374874494892,"Ccdc73"
"Cd68",338.247939859791,1.51167933589598,0.12438617387319,12.1531138777298,5.52215568835278e-34,3.97285968842852e-31,1.51167933589598,"Cd68"
"Nicn1",170.026088330265,-1.26749295110251,0.105563800590344,-12.0068900893518,3.26908828522497e-33,2.26145468838678e-30,-1.26749295110251,"Nicn1"
"Iftap",194.752178909508,-0.862991784234305,0.0723082024865632,-11.9349085519678,7.78443943170816e-33,5.18558991180382e-30,-0.862991784234305,"Iftap"
"Acsm5",41.938277875941,-2.25969527404522,0.192295927727303,-11.7511343102893,6.96771970070729e-32,4.47576451917576e-29,-2.25969527404522,"Acsm5"
"Cd300c2",49.1540337030911,2.50059445459642,0.215034300339114,11.6288166615881,2.94146856760789e-31,1.82431909162053e-28,2.50059445459642,"Cd300c2"
"Tuba1c",251.26210858168,0.801967408555859,0.0690389311005126,11.6161620084802,3.41118859877695e-31,2.04512127125341e-28,0.801967408555859,"Tuba1c"
"Adam8",87.140459790851,2.68152356346142,0.231150137366193,11.6007872373153,4.08304859122425e-31,2.36895845037933e-28,2.68152356346142,"Adam8"
"Il1rn",49.1241315331988,3.3608313917796,0.290513179175935,11.5686021588173,5.94432227537937e-31,3.34108063890542e-28,3.3608313917796,"Il1rn"
"Spout1",194.190359402054,-0.686585709389132,0.0595893869544508,-11.5219461800127,1.0227449673381e-30,5.57426999471003e-28,-0.686585709389132,"Spout1"
"Gm44386",76.9375548605434,-2.59511682277587,0.228861984531222,-11.33922188122,8.38870080613134e-30,4.43762272644348e-27,-2.59511682277587,"Gm44386"
"Lgals3",759.892938728283,1.21315384038999,0.107020787028233,11.3356841607785,8.73468393707218e-30,4.48862929406229e-27,1.21315384038999,"Lgals3"
"Clpb",202.372501473816,-0.765433938939297,0.0675729356936401,-11.3275223442947,9.587859767041e-30,4.79020127138887e-27,-0.765433938939297,"Clpb"
"Hpgds",181.43761771441,1.92677750108835,0.170166025477459,11.3229270982978,1.01040824355417e-29,4.91167639690954e-27,1.92677750108835,"Hpgds"
"Nckap1l",173.799569998682,1.26981152894495,0.1122298883223,11.314379332699,1.11387784817173e-29,5.27215973084652e-27,1.26981152894495,"Nckap1l"
"D3Ertd751e",180.66277578699,-1.0378440271529,0.0917944219057343,-11.3061774953895,1.22302438577117e-29,5.64033759037957e-27,-1.0378440271529,"D3Ertd751e"
"Gcdh",118.30348738458,-1.05417130952064,0.0932940014709133,-11.299454336829,1.32035847770667e-29,5.93699189500803e-27,-1.05417130952064,"Gcdh"
"Fbxl5",418.172657847314,0.954400941231982,0.0845201276669206,11.2919959727594,1.43735011481452e-29,6.30540955245219e-27,0.954400941231982,"Fbxl5"
"Ubd",234.676022600373,4.28103046989123,0.381372934133442,11.2253127758492,3.0630071921977e-29,1.31169636568733e-26,4.28103046989123,"Ubd"
"Slc25a23",346.052925137958,-1.21641584518105,0.109873646568875,-11.0710428129691,1.73371267714193e-28,7.25175725838946e-26,-1.21641584518105,"Slc25a23"
"Ms4a6d",116.864822009055,1.43445166069169,0.129726172781549,11.057534728225,2.01561470037085e-28,8.23928318201595e-26,1.43445166069169,"Ms4a6d"
"Zc3h7b",183.71478452055,-0.695658285600194,0.0630788263432348,-11.0283961501577,2.78792496003345e-28,1.11430262958137e-25,-0.695658285600194,"Zc3h7b"
"Acy3",107.523841466068,-1.03493246184584,0.0941497740959405,-10.9924051521486,4.15698426945082e-28,1.60639318261909e-25,-1.03493246184584,"Acy3"
"Gm10419",41.1410637630224,-2.31367570411288,0.210496336326242,-10.9915248146028,4.19773599372275e-28,1.60639318261909e-25,-2.31367570411288,"Gm10419"
"Sh3bp2",104.723153245322,0.924670476580153,0.0841935464526764,10.9826764109514,4.62999669952817e-28,1.73489834661904e-25,0.924670476580153,"Sh3bp2"
"Nrp2",349.779073112424,0.744417555689901,0.0678230804817972,10.9758735581126,4.99209807741278e-28,1.83240563306829e-25,0.744417555689901,"Nrp2"
"Pld3",257.29172908257,0.933460343952294,0.0852874205374501,10.9448771937288,7.03129480531142e-28,2.52929736736662e-25,0.933460343952294,"Pld3"
"Ccng1",590.009292035043,1.42551363543802,0.130328232047967,10.9378728847742,7.59611958630924e-28,2.67889817410506e-25,1.42551363543802,"Ccng1"
"Mettl4",122.017676055629,-0.818074853483904,0.0748514909148694,-10.9293060630459,8.34843911068992e-28,2.88759665086286e-25,-0.818074853483904,"Mettl4"
"Atp6v0e2",135.502967815023,-1.65136382539853,0.151373673686529,-10.9091877417089,1.04183042856116e-27,3.53554001662284e-25,-1.65136382539853,"Atp6v0e2"
"Mpeg1",232.901635412167,1.83076509778133,0.168671750512511,10.85401136953,1.90860911402714e-27,6.35708213423929e-25,1.83076509778133,"Mpeg1"
"Ppp1r9a",268.566003545626,-1.10633680491253,0.102621556002727,-10.7807447870225,4.24435153988e-27,1.38798012356876e-24,-1.10633680491253,"Ppp1r9a"
"Hint2",372.065277892892,-0.707508103180943,0.0656517076335979,-10.7766900311191,4.43560528554829e-27,1.42462136903342e-24,-0.707508103180943,"Hint2"
"Myo1f",102.009369061439,1.47471835023541,0.137569966799037,10.7197696165013,8.2207844765555e-27,2.59401806307592e-24,1.47471835023541,"Myo1f"
"Slc37a2",101.889098877004,2.4989627783853,0.233697587127624,10.6931475378075,1.09587559010193e-26,3.39834799371955e-24,2.4989627783853,"Slc37a2"
"Slc19a2",52.1285281852577,1.41021702424093,0.132042546256284,10.6800199195176,1.26244567885841e-26,3.84853355592329e-24,1.41021702424093,"Slc19a2"
"Rgs10",148.353768454748,1.09114284046795,0.102436394599421,10.6519059435358,1.70831057706259e-26,5.12094567317462e-24,1.09114284046795,"Rgs10"
"Cdkn1a",628.897972845825,2.28305108521742,0.217070746172562,10.5175438214162,7.17188143304536e-26,2.11464687630744e-23,2.28305108521742,"Cdkn1a"
"Soat1",269.98441491643,1.12393059442678,0.107330127356814,10.471715836974,1.16511704803578e-25,3.37996697193091e-23,1.12393059442678,"Soat1"
"Syp",45.8529054174584,-2.08820313850888,0.199919670298012,-10.445210995977,1.54112305358253e-25,4.39978400662465e-23,-2.08820313850888,"Syp"
"Pdss2",86.7879100179156,-1.09926711507092,0.105539160924379,-10.4157272565258,2.10184937156209e-25,5.90685356201808e-23,-1.09926711507092,"Pdss2"
"Tcirg1",154.727464018176,0.999848713465274,0.0961406636997652,10.3998524140386,2.4831749811442e-25,6.8711361862861e-23,0.999848713465274,"Tcirg1"
"Lipa",507.065671395599,1.14872709738522,0.110578592586121,10.3883316880758,2.80211425908341e-25,7.63618591876881e-23,1.14872709738522,"Lipa"
"Nceh1",154.755817222597,1.70079502589422,0.164440561112811,10.3429167012354,4.50610086390727e-25,1.20965268863039e-22,1.70079502589422,"Nceh1"
"Tbc1d19",102.173508639798,-0.960895002164907,0.0930405499623069,-10.3277012287029,5.28110134233601e-25,1.39685130504788e-22,-0.960895002164907,"Tbc1d19"
"Pygo1",110.692860274302,-1.11486385110447,0.108115430125331,-10.3117922188542,6.23279922632144e-25,1.62468299832779e-22,-1.11486385110447,"Pygo1"
"Glrx2",304.379765859424,-0.601148140574144,0.0584218827425206,-10.2897769184117,7.83577001913763e-25,2.01334513663156e-22,-0.601148140574144,"Glrx2"
"Gpnmb",290.605150372087,2.48937483824377,0.242291858869882,10.2742818097765,9.20272902913717e-25,2.33127161011354e-22,2.48937483824377,"Gpnmb"
"Traf4",96.5051056103285,1.70098397845039,0.165599618264793,10.2716660598246,9.4557367197373e-25,2.36209556446104e-22,1.70098397845039,"Traf4"
"Gng7",38.9545394549705,-1.83083534003675,0.178289360486316,-10.2688984639511,9.7309370963382e-25,2.39754293992793e-22,-1.83083534003675,"Gng7"
"Cd44",383.506208049883,1.1833026303369,0.115265427526162,10.2658937352947,1.00387066147381e-24,2.43994834017135e-22,1.1833026303369,"Cd44"
"Sdcbp",714.491633736646,0.499158035531138,0.0488764165768377,10.2126561333812,1.74034302681521e-24,4.17357462403979e-22,0.499158035531138,"Sdcbp"
"Spc25",56.7529413557733,1.60995583756417,0.157954752230059,10.1925128230348,2.14155920660311e-24,5.06816893288995e-22,1.60995583756417,"Spc25"
"Poll",60.0746210688472,-1.08370390157427,0.106584147546541,-10.1675898951208,2.766696328914e-24,6.46257145088924e-22,-1.08370390157427,"Poll"
"Nfia",1986.45019597324,-0.685690038615197,0.0677460339845316,-10.1214786797964,4.43661570123898e-24,1.02303807695493e-21,-0.685690038615197,"Nfia"
"Cd84",251.549889024944,1.66982272237041,0.165315030860709,10.1008523766806,5.47640952751854e-24,1.24431619799656e-21,1.66982272237041,"Cd84"
"Acer3",143.146814620126,0.99807831460731,0.0988214363495004,10.099815905098,5.53459890135241e-24,1.24431619799656e-21,0.99807831460731,"Acer3"
"Clec4a2",168.035401202085,1.31786513726001,0.13066974317799,10.0854651215232,6.40610642335803e-24,1.42247197691997e-21,1.31786513726001,"Clec4a2"
"Vav3",140.522074926173,0.876295004750447,0.0873395298521184,10.0332003874325,1.08927531132998e-23,2.3892324084855e-21,0.876295004750447,"Vav3"
"Gm2415",106.237670389135,-1.1602412279143,0.115779908232821,-10.0210929998422,1.23133596579514e-23,2.66829020250499e-21,-1.1602412279143,"Gm2415"
"Ifi30",333.795934948585,0.957563216821674,0.0956029741232329,10.0160400406306,1.29591617432574e-23,2.77480337040747e-21,0.957563216821674,"Ifi30"
"Scarb2",911.939564342727,0.67162909575485,0.0671769311901197,9.99791273367415,1.55642950803991e-23,3.29340483901244e-21,0.67162909575485,"Scarb2"
"Lat2",156.627894636526,1.59043731163901,0.159144667515323,9.99365757250945,1.62473653430141e-23,3.39796643092386e-21,1.59043731163901,"Lat2"
