"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name","log2FoldChange_shrunk"
"Trp53inp1",250.208437931114,1.44681604195813,0.0770643114732577,18.7741383047352,1.22926173034175e-78,2.21095014819266e-74,1.44681604195813,"Trp53inp1",1.43356961967024
"Bckdk",217.255439907542,-1.0922814134043,0.0638419812040703,-17.1091402992779,1.26858036708336e-65,1.14083432411807e-61,-1.0922814134043,"Bckdk",-1.08278224930244
"Ero1a",107.380838095113,1.59356119845546,0.102255395195446,15.5841283035442,9.33277433293273e-55,5.59530930507093e-51,1.59356119845546,"Ero1a",1.57136477252235
"Mdm2",266.631883494811,0.856045247096475,0.0576176610620695,14.8573411575018,6.23510896998246e-50,2.80361674835261e-46,0.856045247096475,"Mdm2",0.846786723660002
"Svip",141.915999578941,-1.96589803944148,0.133126282039168,-14.7671670036055,2.38530499597429e-49,8.5804191315187e-46,-1.96589803944148,"Svip",-1.93552077237061
"Ms4a7",176.979973588103,1.83321194529275,0.130685126814872,14.027701468199,1.05516329801446e-44,3.16302784634801e-41,1.83321194529275,"Ms4a7",1.80122918274043
"Fahd2a",91.0688518239273,-1.49630939656258,0.108058113574734,-13.847265578329,1.32147556274272e-43,3.3954370673558e-40,-1.49630939656258,"Fahd2a",-1.47061983712537
"5730455P16Rik",214.322747214471,-0.935374614491331,0.0683006999440511,-13.6949491770589,1.08836479937009e-42,2.4469161601838e-39,-0.935374614491331,"5730455P16Rik",-0.923432121302834
"Gm11837",72.9318120242688,-2.14346470835727,0.157634100485628,-13.5977222044839,4.13099602315121e-42,8.25556605248862e-39,-2.14346470835727,"Gm11837",-2.10554493002926
"Tdrkh",50.2845766570374,-1.81662525312036,0.136437170151578,-13.3147385796858,1.9003645809401e-40,3.41799573527886e-37,-1.81662525312036,"Tdrkh",-1.78134204183928
"Apobec1",179.451250619426,1.35058076138831,0.101864570019885,13.258591884545,4.02380237789628e-40,6.57928268807659e-37,1.35058076138831,"Apobec1",1.32702536449236
"St6galnac5",131.711457914469,-3.5911552170267,0.272591142131898,-13.174144944479,1.23620047325181e-39,1.85285847599225e-36,-3.5911552170267,"St6galnac5",-3.51857502036421
"Capg",201.051759444933,1.22662368156915,0.0932884960862335,13.1487132179223,1.73095106728406e-39,2.39483737662855e-36,1.22662368156915,"Capg",1.20661774768035
"Ttc38",162.161703735784,-1.26366634335854,0.0972961051401289,-12.987840998759,1.43415928668399e-38,1.84248492359274e-35,-1.26366634335854,"Ttc38",-1.24197237852012
"Eda2r",37.1223728291592,2.23743751988268,0.173541324055415,12.8928226868214,4.94019569682565e-38,5.92362398687374e-35,2.23743751988268,"Eda2r",2.19408867216515
"Cfap68",344.668302215021,-0.802918607896631,0.0623809940267244,-12.8712057321923,6.53735921489634e-38,7.34880892744534e-35,-0.802918607896631,"Cfap68",-0.791177222143938
"Dnajb9",274.284392483358,1.17304158042902,0.0913288416953548,12.8441526099929,9.27620934588504e-38,9.81422948794637e-35,1.17304158042902,"Dnajb9",1.15375787048016
"Gtse1",23.4307125322987,3.02040937998545,0.235668835312997,12.8163292188124,1.32842191194703e-37,1.32738869490441e-34,3.02040937998545,"Gtse1",2.96379161649409
"Ctss",865.243101855531,1.42834127445506,0.111564348561507,12.8028469029029,1.58048961391528e-37,1.49614137873054e-34,1.42834127445506,"Ctss",1.40047402254325
"Tyrobp",352.26555741559,1.18418994406653,0.0942982388513145,12.5579221679178,3.59653941347443e-36,3.23436789453756e-33,1.18418994406653,"Tyrobp",1.16365137049961
"Ntrk2",679.729111898704,-1.43172440181449,0.114653787550778,-12.4873711754216,8.74971809972609e-36,7.49392522579397e-33,-1.43172440181449,"Ntrk2",-1.40231522430018
"Dtna",183.65416380246,-1.41004419068442,0.113545283350978,-12.4183422602052,2.07823198000883e-35,1.69904910874722e-32,-1.41004419068442,"Dtna",-1.38107061467204
"Zbtb4",636.88896777445,-0.745748665985209,0.0604162143557069,-12.3435186056931,5.2797094319976e-35,4.12873277582213e-32,-0.745748665985209,"Zbtb4",-0.733809555440814
"Ccdc73",63.1663085932905,-1.58374874494891,0.130003673056822,-12.182338450212,3.86051773005051e-34,2.89313632886202e-31,-1.58374874494891,"Ccdc73",-1.54764477244003
"Cd68",338.247939859791,1.51167933589598,0.12438617387319,12.1531138777298,5.52215568835278e-34,3.97285968842852e-31,1.51167933589598,"Cd68",1.47778745077803
"Nicn1",170.026088330265,-1.26749295110251,0.105563800590344,-12.0068900893518,3.26908828522497e-33,2.26145468838678e-30,-1.26749295110251,"Nicn1",-1.24195520153056
"Iftap",194.752178909508,-0.86299178423431,0.0723082024865713,-11.9349085519666,7.78443943182582e-33,5.18558991188219e-30,-0.86299178423431,"Iftap",-0.84837086979709
"Acsm5",41.938277875941,-2.25969527404522,0.192295927727303,-11.7511343102893,6.96771970070729e-32,4.47576451917576e-29,-2.25969527404522,"Acsm5",-2.20678403156837
"Cd300c2",49.1540337030911,2.50059445459642,0.215034300339114,11.6288166615881,2.94146856760789e-31,1.82431909162053e-28,2.50059445459642,"Cd300c2",2.44315225916885
"Tuba1c",251.26210858168,0.801967408555859,0.0690389311005126,11.6161620084802,3.41118859877717e-31,2.04512127125354e-28,0.801967408555859,"Tuba1c",0.787496611797535
"Adam8",87.140459790851,2.68152356346142,0.231150137366193,11.6007872373153,4.08304859122425e-31,2.36895845037933e-28,2.68152356346142,"Adam8",2.62061299997116
"Il1rn",49.1241315331988,3.3608313917796,0.290513179175935,11.5686021588173,5.94432227537937e-31,3.34108063890542e-28,3.3608313917796,"Il1rn",3.2777399466685
"Spout1",194.190359402054,-0.686585709389138,0.0595893869544264,-11.5219461800175,1.02274496728098e-30,5.57426999439867e-28,-0.686585709389138,"Spout1",-0.674067681031782
"Gm44386",76.9375548605434,-2.59511682277587,0.228861984531222,-11.33922188122,8.38870080613134e-30,4.43762272644348e-27,-2.59511682277587,"Gm44386",-2.5328969739164
"Lgals3",759.892938728283,1.21315384038999,0.107020787028233,11.3356841607785,8.73468393707218e-30,4.48862929406229e-27,1.21315384038999,"Lgals3",1.18674108046725
"Clpb",202.372501473816,-0.765433938939295,0.067572935693652,-11.3275223442927,9.58785976726262e-30,4.7902012714996e-27,-0.765433938939295,"Clpb",-0.750846174810151
"Hpgds",181.43761771441,1.92677750108835,0.170166025477459,11.3229270982978,1.01040824355417e-29,4.91167639690954e-27,1.92677750108835,"Hpgds",1.87508300509905
"Nckap1l",173.799569998682,1.26981152894495,0.1122298883223,11.314379332699,1.11387784817173e-29,5.27215973084652e-27,1.26981152894495,"Nckap1l",1.24094161321138
"D3Ertd751e",180.66277578699,-1.0378440271529,0.0917944219057343,-11.3061774953895,1.22302438577117e-29,5.64033759037957e-27,-1.0378440271529,"D3Ertd751e",-1.01753187376249
"Gcdh",118.30348738458,-1.05417130952064,0.0932940014709133,-11.299454336829,1.32035847770667e-29,5.93699189500803e-27,-1.05417130952064,"Gcdh",-1.03334526583857
"Fbxl5",418.172657847314,0.954400941231982,0.0845201276669206,11.2919959727594,1.43735011481452e-29,6.30540955245219e-27,0.954400941231982,"Fbxl5",0.936196877552143
"Ubd",234.676022600373,4.28103046989124,0.381372934133441,11.2253127758493,3.06300719219715e-29,1.31169636568709e-26,4.28103046989124,"Ubd",4.13407189229535
"Slc25a23",346.052925137958,-1.21641584518105,0.109873646568875,-11.0710428129691,1.73371267714193e-28,7.25175725838946e-26,-1.21641584518105,"Slc25a23",-1.18857474507907
"Ms4a6d",116.864822009055,1.43445166069169,0.129726172781549,11.057534728225,2.01561470037085e-28,8.23928318201595e-26,1.43445166069169,"Ms4a6d",1.39682809158006
"Zc3h7b",183.71478452055,-0.695658285600192,0.0630788263432314,-11.0283961501582,2.78792496001627e-28,1.1143026295745e-25,-0.695658285600192,"Zc3h7b",-0.681764622281697
"Acy3",107.523841466068,-1.03493246184584,0.0941497740959472,-10.9924051521478,4.15698426948863e-28,1.60639318261909e-25,-1.03493246184584,"Acy3",-1.01349447338203
"Gm10419",41.1410637630224,-2.31367570411288,0.210496336326242,-10.9915248146028,4.19773599372275e-28,1.60639318261909e-25,-2.31367570411288,"Gm10419",-2.2519426431753
"Sh3bp2",104.723153245322,0.92467047658015,0.0841935464526808,10.9826764109508,4.62999669955905e-28,1.7348983466306e-25,0.92467047658015,"Sh3bp2",0.906062868642906
"Nrp2",349.779073112424,0.744417555689895,0.0678230804817906,10.9758735581136,4.99209807735891e-28,1.83240563304852e-25,0.744417555689895,"Nrp2",0.729288055996457
"Pld3",257.29172908257,0.933460343952294,0.0852874205374508,10.9448771937287,7.03129480531886e-28,2.5292973673693e-25,0.933460343952294,"Pld3",0.914523178035266
"Ccng1",590.009292035043,1.42551363543802,0.130328232047967,10.9378728847742,7.59611958630924e-28,2.67889817410506e-25,1.42551363543802,"Ccng1",1.38746709261389
"Mettl4",122.017676055629,-0.818074853483909,0.0748514909148814,-10.9293060630442,8.34843911084533e-28,2.88759665091662e-25,-0.818074853483909,"Mettl4",-0.801372899460127
"Atp6v0e2",135.502967815023,-1.65136382539853,0.151373673686529,-10.9091877417089,1.04183042856116e-27,3.53554001662284e-25,-1.65136382539853,"Atp6v0e2",-1.60368613331336
"Mpeg1",232.901635412167,1.83076509778133,0.168671750512511,10.85401136953,1.90860911402685e-27,6.3570821342383e-25,1.83076509778133,"Mpeg1",1.77678502628827
"Ppp1r9a",268.566003545626,-1.10633680491253,0.102621556002727,-10.7807447870225,4.24435153988e-27,1.38798012356876e-24,-1.10633680491253,"Ppp1r9a",-1.08153146888004
