"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name"
"Hint2",372.065277892892,-1.26385055268787,0.0680172252544456,-18.5813306549911,4.55080146490571e-77,8.18507151477942e-73,-1.26385055268787,"Hint2"
"Gm44386",76.9375548605434,-4.698425353242,0.258188966436759,-18.1976225323821,5.38967116487286e-74,4.84693127857016e-70,-4.698425353242,"Gm44386"
"Gm11837",72.9318120242688,-3.44542208723879,0.190337545307973,-18.1016419102388,3.093084925077e-73,1.8544075154145e-69,-3.44542208723879,"Gm11837"
"Pxmp2",213.969968026126,-2.56593009922815,0.148074717214333,-17.3286172514789,2.86125319555723e-67,1.28656249938231e-63,-2.56593009922815,"Pxmp2"
"Cfap68",344.668302215021,-1.10716941260638,0.0646048391934703,-17.1375616196608,7.78474957635601e-66,2.80033011760678e-62,-1.10716941260638,"Cfap68"
"Ivd",657.204349935567,-1.82925980436295,0.112954200358119,-16.1947036813445,5.49618385768656e-59,1.64757271440584e-55,-1.82925980436295,"Ivd"
"Bckdk",217.255439907542,-1.00013390390288,0.0618793220155944,-16.1626512916678,9.24964874163671e-59,2.37663117524397e-55,-1.00013390390288,"Bckdk"
"Chn1",138.562679458818,-2.31110492949248,0.146406312758796,-15.7855551850419,3.91192154357641e-56,8.79497761034567e-53,-2.31110492949248,"Chn1"
"Dgcr6",217.574383768624,-1.28558703736359,0.0823216100877071,-15.6166410738797,5.60833164778121e-55,1.12079392241103e-51,-1.28558703736359,"Dgcr6"
"Ctdspl",640.418270215544,-1.31487831123827,0.0849316500325003,-15.4816056291749,4.61801553912831e-54,8.30596274867618e-51,-1.31487831123827,"Ctdspl"
"Cfd",4127.22359904377,-2.33971906680646,0.151370510377865,-15.4569014860678,6.77814615887308e-54,1.10828851648628e-50,-2.33971906680646,"Cfd"
"Clpb",202.372501473816,-1.07975679204898,0.0699806659624753,-15.429358626395,1.03897573555056e-53,1.5572514649677e-50,-1.07975679204898,"Clpb"
"Ccdc73",63.1663085932905,-2.20707690877178,0.144608269133037,-15.2624529842156,1.36036683725126e-52,1.88211984113855e-49,-2.20707690877178,"Ccdc73"
"Svip",141.915999578941,-2.07091820087277,0.136162504500099,-15.2091664917287,3.07432451568889e-52,3.94962862422717e-49,-2.07091820087277,"Svip"
"Fahd2a",91.0688518239273,-1.68866344687128,0.11200429155962,-15.0767744999521,2.30245593835922e-51,2.76079816715526e-48,-1.68866344687128,"Fahd2a"
"Eci3",100.993124476968,-3.68377461989934,0.250069553218001,-14.7310001257449,4.07628242486688e-49,4.58225098085348e-46,-3.68377461989934,"Eci3"
"Inafm2",151.503542573167,-1.158279061756,0.0788816105103021,-14.6837653828673,8.19125770250313e-49,8.66635064924831e-46,-1.158279061756,"Inafm2"
"Amy1",532.506185306121,-2.33359191349923,0.15928963500833,-14.6499922193757,1.34731134503012e-48,1.34626343620621e-45,-2.33359191349923,"Amy1"
"Tmt1a",413.610848283006,-1.39446632575135,0.0958898335882656,-14.542379244696,6.52835530748864e-48,6.1799472926574e-45,-1.39446632575135,"Tmt1a"
"S100a1",680.272517201107,-1.38367248701925,0.095373756725507,-14.5078954056677,1.07983099207678e-47,9.3944387369787e-45,-1.38367248701925,"S100a1"
"Ppa2",264.938853065924,-0.802985206123485,0.0553522507923068,-14.5068212155717,1.09687097451658e-47,9.3944387369787e-45,-0.802985206123485,"Ppa2"
"Ganc",457.706503977177,-0.968748250074878,0.0668336822504288,-14.4949106117621,1.30472118368932e-47,1.06666887317437e-44,-0.968748250074878,"Ganc"
"Gstk1",249.744754609074,-1.4752264787957,0.102360076040141,-14.4121276171892,4.34127872064855e-47,3.39487995954717e-44,-1.4752264787957,"Gstk1"
"Nudt12",109.564217962337,-1.60708031921636,0.112396903455178,-14.298261516228,2.24344086989451e-46,1.68127197858011e-43,-1.60708031921636,"Nudt12"
"Trap1",336.499513592763,-1.25347151102424,0.0883660852323522,-14.1849840663229,1.1349151078222e-45,8.16503325171602e-43,-1.25347151102424,"Trap1"
"Acsm5",41.938277875941,-3.89751149637496,0.27732463974257,-14.0539675810735,7.28363686627171e-45,5.03859587218319e-42,-3.89751149637496,"Acsm5"
"Vnn3",129.952236813827,-3.32816591925532,0.237268086311869,-14.0270272795168,1.06524009592807e-44,7.09607717235639e-42,-3.32816591925532,"Vnn3"
"Gm2415",106.237670389135,-1.70746605881816,0.121823600918111,-14.0158889242316,1.24627947653287e-44,8.00556523747147e-42,-1.70746605881816,"Gm2415"
"Lrtm1",72.9598400741818,-3.93889037628604,0.28176590364898,-13.9793009916241,2.08526011817883e-44,1.29329270639877e-41,-3.93889037628604,"Lrtm1"
"Ormdl3",485.809233416331,-1.53836607511757,0.11016402891755,-13.9643229303908,2.57339378716398e-44,1.54283535519771e-41,-1.53836607511757,"Ormdl3"
"Gm32910",81.9256997273753,-2.94311415346939,0.212559963657905,-13.8460418548342,1.34417563775514e-43,7.79882032924644e-41,-2.94311415346939,"Gm32910"
"Iftap",194.752178909508,-0.989696641109263,0.0721487860041639,-13.7174399726164,7.98347961607191e-43,4.48721451170842e-40,-0.989696641109263,"Iftap"
"Cyp2u1",95.4012780460693,-1.93481144135174,0.141899273012784,-13.6351046786366,2.47635264296111e-42,1.34968723140299e-39,-1.93481144135174,"Cyp2u1"
"Gm4013",41.0523555798364,-2.01036004464428,0.148961615863657,-13.4958259749568,1.65490014011487e-41,8.75442174120764e-39,-2.01036004464428,"Gm4013"
"Echdc3",177.074231524946,-1.89672395491677,0.140593653501554,-13.4908220085183,1.77114758667168e-41,9.10167442682196e-39,-1.89672395491677,"Echdc3"
"Gcdh",118.30348738458,-1.25117426316133,0.0932735000388051,-13.4140378847239,5.00384777297735e-41,2.49997794568807e-38,-1.25117426316133,"Gcdh"
"Mrps5",397.712396960309,-0.736858249194521,0.0552017401964349,-13.3484605117958,1.20922139522021e-40,5.87812324714342e-38,-0.736858249194521,"Mrps5"
"Fmc1",361.574345193547,-1.02529764304884,0.0770523801158484,-13.3065019082772,2.12185979551014e-40,9.85981432228417e-38,-1.02529764304884,"Fmc1"
"Hsd17b10",421.400138144578,-0.981273853538094,0.0737470683258442,-13.3059371147126,2.13795595779541e-40,9.85981432228417e-38,-0.981273853538094,"Hsd17b10"
"Mgst3",398.278604879609,-1.80195130256556,0.135508465346745,-13.297702825832,2.38689526327001e-40,1.07326745512936e-37,-1.80195130256556,"Mgst3"
"Lias",502.457795710009,-0.838636730278234,0.0634840976939996,-13.2101858692323,7.66349639243494e-40,3.3618450271789e-37,-0.838636730278234,"Lias"
"Mrpl11",255.186637739672,-0.867511504602493,0.065856462282698,-13.1727620120039,1.25905865183552e-39,5.39176878855085e-37,-0.867511504602493,"Mrpl11"
"2310010J17Rik",222.223157624075,-1.16925920036343,0.0895137122019057,-13.0623473387638,5.40355522628571e-39,2.26019405348778e-36,-1.16925920036343,"2310010J17Rik"
"Gm32507",34.8868841707281,-4.69107764582871,0.363147128556485,-12.9178431465941,3.57009221060908e-38,1.45935632954579e-35,-4.69107764582871,"Gm32507"
"Myof",386.050461687997,1.16830008797516,0.0905277190746303,12.9054404542328,4.1941048628853e-38,1.67633711253011e-35,1.16830008797516,"Myof"
"St6galnac5",131.711457914469,-3.12080192149644,0.242637666482296,-12.8619845662922,7.36608656427117e-38,2.88013984663003e-35,-3.12080192149644,"St6galnac5"
"St3gal6",251.619949420747,-1.52957021955259,0.119299640031315,-12.8212475674789,1.24678131898937e-37,4.77119336241336e-35,-1.52957021955259,"St3gal6"
"Cbr4",137.896402293696,-0.985496576955532,0.0770488776384603,-12.7905377360566,1.85188085265819e-37,6.93915187831462e-35,-0.985496576955532,"Cbr4"
"Acy3",107.523841466068,-1.23461212320308,0.0969442999440795,-12.7352729754637,3.76526867350781e-37,1.38208412983085e-34,-1.23461212320308,"Acy3"
"9630013D21Rik",277.958507092433,-2.99852203273816,0.235867129380622,-12.7127592581983,5.0230247753757e-37,1.80688247219815e-34,-2.99852203273816,"9630013D21Rik"
"Ces1f",288.110362022481,-3.8262524257697,0.301253251629389,-12.7011157724428,5.82926335923863e-37,2.05578687802482e-34,-3.8262524257697,"Ces1f"
"Tdrkh",50.2845766570374,-1.80581739778484,0.142211866815267,-12.6980781437219,6.05996250113723e-37,2.09604779895104e-34,-1.80581739778484,"Tdrkh"
"Prkd1",149.208574090818,-1.73811120155901,0.137648399927202,-12.6271805736808,1.49540846605381e-36,5.07479559819695e-34,-1.73811120155901,"Prkd1"
"Rhbdd2",191.48048242291,-0.990836492477287,0.0791132358950486,-12.5242822047088,5.49865562299947e-36,1.83145963028275e-33,-0.990836492477287,"Rhbdd2"
"Bphl",145.028323069312,-0.998090972870421,0.0798692973329166,-12.4965538223043,7.79580875801289e-36,2.54937120584763e-33,-0.998090972870421,"Bphl"
"Tmem80",204.161980646375,-1.08658814120291,0.0870800744222394,-12.4780341359631,9.83858265472776e-36,3.10972668137511e-33,-1.08658814120291,"Tmem80"
"Tmem242",413.019983999044,-0.753095916982243,0.0603543785183308,-12.4779002861162,9.85513292774275e-36,3.10972668137511e-33,-0.753095916982243,"Tmem242"
"Slc25a23",346.052925137958,-1.37712731228441,0.11039685291309,-12.4743348740979,1.03063184414941e-35,3.19602488773644e-33,-1.37712731228441,"Slc25a23"
"Ces1d",917.681608199541,-2.34362683257152,0.188130273769059,-12.4574678259835,1.27350276821283e-35,3.8822408117078e-33,-2.34362683257152,"Ces1d"
"Cspg4b",32.4761157974905,-2.92901989853532,0.235301770346511,-12.4479297126493,1.4351979935396e-35,4.30224518530054e-33,-2.92901989853532,"Cspg4b"
"Acsf3",79.3468784063984,-1.55754023791614,0.12532810422655,-12.4277012528702,1.84874430611508e-35,5.45106804750586e-33,-1.55754023791614,"Acsf3"
"Glrx2",304.379765859424,-0.719013679470842,0.0584795615346606,-12.2951277438133,9.62045579301445e-35,2.79086319182513e-32,-0.719013679470842,"Glrx2"
"Ralgapa2",547.841058001536,-1.78102852841732,0.145097872925563,-12.2746701416567,1.23895715156276e-34,3.53712433777902e-32,-1.78102852841732,"Ralgapa2"
"Immp2l",110.849146424585,-2.11277929872835,0.172687710404282,-12.2346824437135,2.02896801238372e-34,5.70203416730211e-32,-2.11277929872835,"Immp2l"
"Dnajc28",97.7781854816312,-1.65903797014772,0.135913787925209,-12.2065464841629,2.86806761462345e-34,7.93616371024882e-32,-1.65903797014772,"Dnajc28"
"Aldh6a1",615.93016323983,-1.55654318022101,0.127729308740149,-12.1862648093369,3.67900859409445e-34,1.00258558444519e-31,-1.55654318022101,"Aldh6a1"
"Ldhb",193.781983501702,-1.17323444022637,0.0963149682848505,-12.1812264606322,3.91352072034727e-34,1.05057587576367e-31,-1.17323444022637,"Ldhb"
"Med12l",57.8816551804196,-2.50502952811829,0.206103779194406,-12.1542144346389,5.44829731872468e-34,1.44107464080268e-31,-2.50502952811829,"Med12l"
"Ddx27",452.977311623584,-0.621084338714623,0.0512289612654428,-12.1236957254799,7.91096265407688e-34,2.06212426516271e-31,-0.621084338714623,"Ddx27"
"Mtg1",98.7121054983089,-1.10664353868903,0.0916713577878776,-12.0718571797501,1.48739139064252e-33,3.82174593601375e-31,-1.10664353868903,"Mtg1"
"Hoxa7",262.957158414014,-1.35170642050634,0.111982791589683,-12.070661941159,1.50915452525777e-33,3.82304975933609e-31,-1.35170642050634,"Hoxa7"
"Ptprd",538.283070965109,-1.26328037316898,0.105159478451975,-12.0129958018563,3.03642338254257e-33,7.58515429977925e-31,-1.26328037316898,"Ptprd"
"Lonp1",291.529088436515,-0.850446395486391,0.0708835104107903,-11.9978030229853,3.64852945499686e-33,8.98937681884568e-31,-0.850446395486391,"Lonp1"
"Ndufv1",581.670177750056,-1.02581231883781,0.0858496722643704,-11.9489369240556,6.57610266348813e-33,1.59834841223645e-30,-1.02581231883781,"Ndufv1"
"Pccb",633.807879292438,-1.31206771598702,0.110091084452239,-11.9180197244422,9.53479393360656e-33,2.28657071586463e-30,-1.31206771598702,"Pccb"
"Trappc6b",142.911781821216,-0.989737859912925,0.0830600306080548,-11.9159342064695,9.77641955909987e-33,2.30113735078351e-30,-0.989737859912925,"Trappc6b"
"Irak1bp1",170.237112350918,-1.32192878713991,0.110943835852835,-11.91529729415,9.85141643557934e-33,2.30113735078351e-30,-1.32192878713991,"Irak1bp1"
"Arl2",251.535479205104,-1.03689496763221,0.0870811982822714,-11.9072197912475,1.08536059673509e-32,2.50273021703555e-30,-1.03689496763221,"Arl2"
"Zfp949",74.0942955803732,1.32410857664812,0.111732416085006,11.8507110384218,2.13372589772848e-32,4.85787265779043e-30,1.32410857664812,"Zfp949"
"Vwa8",259.936077192316,-1.02207929846445,0.0863412398734894,-11.8376722405428,2.49275722579128e-32,5.60434143288525e-30,-1.02207929846445,"Vwa8"
"Ndrg2",609.055099037403,-1.42960541398866,0.120778938384484,-11.8365456188868,2.52646028272229e-32,5.60998946235101e-30,-1.42960541398866,"Ndrg2"
"Afg3l1",318.723356040408,-0.712092511234979,0.0603524817139901,-11.7988936164975,3.95476833510829e-32,8.67444674088508e-30,-0.712092511234979,"Afg3l1"
"D2hgdh",100.499988742717,-1.13526211598569,0.0963035074826665,-11.7883776578961,4.48089448741901e-32,9.71004436755643e-30,-1.13526211598569,"D2hgdh"
"Frmd4a",184.686010374491,0.790340664732695,0.0670514010223515,11.7870865139602,4.55010521945965e-32,9.74264196157158e-30,0.790340664732695,"Frmd4a"
"Saa3",164.826156585984,5.44926910036382,0.464760793037216,11.7248898401106,9.5024573848968e-32,2.01071998264416e-29,5.44926910036382,"Saa3"
"Babam2",305.487314808729,-0.61651997318289,0.0527181762932219,-11.6946377233113,1.35765317736875e-31,2.83938954048307e-29,-0.61651997318289,"Babam2"
"Adissp",392.148061616655,-1.63493596628321,0.139914105445269,-11.6852833463797,1.51573247353675e-31,3.13355911138298e-29,-1.63493596628321,"Adissp"
"Grhpr",208.810820518261,-1.24428649633366,0.106909262503523,-11.6387155536935,2.61930451607147e-31,5.35350125296154e-29,-1.24428649633366,"Grhpr"
"Gpd2",809.564837400963,-1.58831622261947,0.136520388034074,-11.6342785534938,2.7591311686502e-31,5.56883019157138e-29,-1.58831622261947,"Gpd2"
"Fmn1",92.0438018753068,1.45173824627084,0.124790176255173,11.6334337352189,2.78658243768166e-31,5.56883019157138e-29,1.45173824627084,"Fmn1"
"Dnaja3",169.414388364255,-1.08167387222064,0.0932654994861074,-11.5977920901154,4.22846908084006e-31,8.35749943824058e-29,-1.08167387222064,"Dnaja3"
"Soat1",269.98441491643,1.26593776966852,0.109801986990217,11.5292792450223,9.39267546099533e-31,1.83626805262459e-28,1.26593776966852,"Soat1"
"Wbp2",386.483454696873,-0.657264495546589,0.0570962815075824,-11.5115114013039,1.15437324702716e-30,2.23253303451941e-28,-0.657264495546589,"Wbp2"
"Agmo",169.392759440556,-1.33412734088973,0.116200009994314,-11.4813014297934,1.63796251673387e-30,3.13408444957185e-28,-1.33412734088973,"Agmo"
"Trp53inp1",250.208437931114,0.89913067450262,0.0785671928579619,11.4440982526653,2.51708106166012e-30,4.76549683947567e-28,0.89913067450262,"Trp53inp1"
"Osbpl1a",508.173172769066,-0.936720641327506,0.0818585526768203,-11.4431615353096,2.54441310937623e-30,4.76706397762926e-28,-0.936720641327506,"Osbpl1a"
"D3Ertd751e",180.66277578699,-1.06001419767766,0.0928799597163699,-11.4127331763995,3.61198337464291e-30,6.6974363893121e-28,-1.06001419767766,"D3Ertd751e"
"Trerf1",233.502871007621,0.872712072746178,0.0765375565907022,11.4024031027428,4.06734391898551e-30,7.46482119661974e-28,0.872712072746178,"Trerf1"
"Nudt19",202.961245684287,-1.09833785456459,0.0963905036222127,-11.3946686996195,4.44517633014365e-30,8.07585267413775e-28,-1.09833785456459,"Nudt19"
"Tm2d1",126.367581239424,-0.889564803237398,0.0783858384788031,-11.3485397426469,7.54115871284262e-30,1.35635280609187e-27,-0.889564803237398,"Tm2d1"
"Dhrs4",319.920661432872,-1.05514279109272,0.0929882292718492,-11.3470575722872,7.67005568506866e-30,1.3658774411054e-27,-1.05514279109272,"Dhrs4"
"Oxld1",69.3577457617469,-1.29108353413343,0.113870958874989,-11.3381282364612,8.49417936333491e-30,1.47193611080905e-27,-1.29108353413343,"Oxld1"
"A530020G20Rik",155.41784542617,-1.75414080605002,0.154713852886743,-11.3379686002269,8.5096854559225e-30,1.47193611080905e-27,-1.75414080605002,"A530020G20Rik"
"Mrps15",395.484260487385,-0.857959951550841,0.0756714993192655,-11.3379536452823,8.5111395265285e-30,1.47193611080905e-27,-0.857959951550841,"Mrps15"
"Acsm3",60.3406273515071,-5.79396514175899,0.511692671982448,-11.3231348795977,1.00801561640177e-29,1.72668275015259e-27,-5.79396514175899,"Acsm3"
"Ogdh",714.619391288849,-0.980225381532267,0.086682663162084,-11.3082056523735,1.19508506809586e-29,2.02781132403511e-27,-0.980225381532267,"Ogdh"
"Klhdc7a",289.29253386348,-1.74894475535277,0.154718889154689,-11.3040157210808,1.253518256339e-29,2.10708218303862e-27,-1.74894475535277,"Klhdc7a"
"Gm74897",29.7351739756035,-3.28829793692817,0.292021171834946,-11.2604778491429,2.05640603152502e-29,3.42467767435269e-27,-3.28829793692817,"Gm74897"
"Vav3",140.522074926173,0.967825460192354,0.0859695060881795,11.2577762072944,2.12042014319154e-29,3.49888777022414e-27,0.967825460192354,"Vav3"
"Vegfb",612.597878208543,-1.52811740791031,0.135826910706889,-11.250476065144,2.30345408712679e-29,3.76635683736931e-27,-1.52811740791031,"Vegfb"
"Coa8",299.045250965576,-0.783081817549002,0.0696169681463963,-11.2484332253923,2.35742386075385e-29,3.81987617653322e-27,-0.783081817549002,"Coa8"
"Coq8a",130.534523198614,-1.43559720145907,0.127830445685458,-11.230479513398,2.88906361327141e-29,4.63952662038388e-27,-1.43559720145907,"Coq8a"
"Fn3krp",109.02981893083,-1.00125266037925,0.0893301745497741,-11.2084484937546,3.70633044053217e-29,5.89929728348776e-27,-1.00125266037925,"Fn3krp"
"Wsb1",122.368326074768,0.957280376073325,0.0854184398942727,11.2069522372243,3.76950366635987e-29,5.94721867922356e-27,0.957280376073325,"Wsb1"
"Tlcd3b",38.0822779010518,-2.17854261892854,0.194525972425493,-11.1992377766571,4.11256620763687e-29,6.43205354874406e-27,-2.17854261892854,"Tlcd3b"
