"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name","log2FoldChange_shrunk"
"Hint2",372.065277892892,-1.26385055268787,0.0680172252544456,-18.5813306549911,4.55080146490571e-77,8.18507151477942e-73,-1.26385055268787,"Hint2",-1.25264036772057
"Gm44386",76.9375548605434,-4.698425353242,0.258188966436759,-18.1976225323821,5.38967116487286e-74,4.84693127857016e-70,-4.698425353242,"Gm44386",-4.6249895923636
"Gm11837",72.9318120242688,-3.44542208723879,0.190337545307975,-18.1016419102386,3.09308492508598e-73,1.85440751541988e-69,-3.44542208723879,"Gm11837",-3.41051052728413
"Pxmp2",213.969968026126,-2.56593009922815,0.148074717214333,-17.3286172514789,2.86125319555723e-67,1.28656249938231e-63,-2.56593009922815,"Pxmp2",-2.53583933595082
"Cfap68",344.668302215021,-1.10716941260638,0.0646048391934703,-17.1375616196608,7.78474957635601e-66,2.80033011760678e-62,-1.10716941260638,"Cfap68",-1.09762423725317
"Ivd",657.204349935567,-1.82925980436295,0.112954200358119,-16.1947036813445,5.49618385768656e-59,1.64757271440584e-55,-1.82925980436295,"Ivd",-1.79849106424247
"Bckdk",217.255439907542,-1.00013390390288,0.0618793220155929,-16.1626512916683,9.24964874157007e-59,2.37663117522685e-55,-1.00013390390288,"Bckdk",-0.991859479925728
"Chn1",138.562679458818,-2.31110492949248,0.146406312758796,-15.7855551850419,3.91192154357641e-56,8.79497761034567e-53,-2.31110492949248,"Chn1",-2.27310944478318
"Dgcr6",217.574383768624,-1.2855870373636,0.0823216100876979,-15.6166410738814,5.60833164762468e-55,1.12079392237975e-51,-1.2855870373636,"Dgcr6",-1.26910810223036
"Ctdspl",640.418270215544,-1.31487831123827,0.0849316500325003,-15.4816056291749,4.61801553912831e-54,8.30596274867618e-51,-1.31487831123827,"Ctdspl",-1.29721579190077
"Cfd",4127.22359904377,-2.33971906680646,0.151370510377865,-15.4569014860678,6.77814615887308e-54,1.10828851648628e-50,-2.33971906680646,"Cfd",-2.3001092291683
"Clpb",202.372501473816,-1.07975679204899,0.0699806659624869,-15.4293586263925,1.03897573559113e-53,1.55725146502851e-50,-1.07975679204899,"Clpb",-1.06871741979673
"Ccdc73",63.1663085932905,-2.20707690877178,0.14460826913304,-15.2624529842153,1.36036683725711e-52,1.88211984114665e-49,-2.20707690877178,"Ccdc73",-2.16638601922592
"Svip",141.915999578941,-2.07091820087277,0.136162504500099,-15.2091664917287,3.07432451568889e-52,3.94962862422717e-49,-2.07091820087277,"Svip",-2.03104650171252
"Fahd2a",91.0688518239273,-1.68866344687129,0.112004291559639,-15.0767744999497,2.30245593844202e-51,2.76079816725455e-48,-1.68866344687129,"Fahd2a",-1.65742951120729
"Eci3",100.993124476968,-3.68377461989934,0.250069553218001,-14.7310001257449,4.07628242486517e-49,4.58225098085156e-46,-3.68377461989934,"Eci3",-3.62236858506976
"Inafm2",151.503542573167,-1.158279061756,0.0788816105102938,-14.6837653828688,8.19125770231661e-49,8.66635064905097e-46,-1.158279061756,"Inafm2",-1.14377324949286
"Amy1",532.506185306121,-2.33359191349923,0.15928963500833,-14.6499922193757,1.34731134503012e-48,1.34626343620621e-45,-2.33359191349923,"Amy1",-2.28927554610136
"Tmt1a",413.610848283006,-1.39446632575135,0.0958898335882657,-14.542379244696,6.52835530749084e-48,6.17994729265949e-45,-1.39446632575135,"Tmt1a",-1.37163468346005
"S100a1",680.272517201107,-1.38367248701925,0.0953737567255058,-14.5078954056678,1.07983099207418e-47,9.39443873630204e-45,-1.38367248701925,"S100a1",-1.36112477999448
"Ppa2",264.938853065924,-0.802985206123483,0.0553522507922879,-14.5068212155767,1.09687097443758e-47,9.39443873630204e-45,-0.802985206123483,"Ppa2",-0.797265643517943
"Ganc",457.706503977177,-0.968748250074878,0.0668336822504288,-14.4949106117621,1.30472118368932e-47,1.06666887317437e-44,-0.968748250074878,"Ganc",-0.959296143067533
"Gstk1",249.744754609074,-1.4752264787957,0.102360076040141,-14.4121276171893,4.34127872064721e-47,3.39487995954612e-44,-1.4752264787957,"Gstk1",-1.44897609468382
"Nudt12",109.564217962337,-1.60708031921636,0.112396903455178,-14.298261516228,2.24344086989451e-46,1.68127197858011e-43,-1.60708031921636,"Nudt12",-1.57538800177656
