"pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"GO:0097530","granulocyte migration","30/580","133/15043",0.225563909774436,5.8502722323049,11.2509892475974,2.51382994303556e-15,6.86237768997173e-12,"Adam8,Lgals3,Nckap1l,Myo1f,Cd300a,Ccl8,C3ar1,Mcoln2,Itgb2,S100a8,Ccl2,C5ar1,Spp1,Tnfaip6,Slamf8,Bst1,Cxcl10,Ccl7,Csf3r,Vav1,Ccl4,Cxcl2,C5ar2,Cxcl1,Ccl3,Il1b,Ccr7,Cxcl13,Slit2,Ccl22",30,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0002274","myeloid leukocyte activation","39/580","227/15043",0.171806167400881,4.45600030381285,10.5065180693389,2.80899618910018e-15,6.86237768997173e-12,"Tyrobp,Ubd,Myo1f,Cd84,Lat2,Hmox1,Cd300a,Slc11a1,Casp1,Cd300lb,Itgb2,Clec4d,Lilrb4b,Milr1,C5ar1,Clec12a,Ms4a2,Mrgprb1,Slc18a2,Tlr1,Fcer1a,Fcgr4,Kcnn4,Batf,Dcstamp,Lilrb4a,Camp,Klrk1,Mrgprx2,Fgr,Ccl3,Irf4,Nr4a3,Havcr2,Il10,Cnr2,Stap1,Cst7,Il13ra2",39,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0002443","leukocyte mediated immunity","49/580","362/15043",0.135359116022099,3.51070203848352,9.68298450704944,1.32391808974805e-14,2.15622126216966e-11,"Tyrobp,Nckap1l,Myo1f,Cd84,Lat2,Hmox1,Cd300a,Slc11a1,Cd300lb,Csf2rb2,Itgb2,Fcgr1,Lilrb4b,Milr1,Ccl2,Hpx,Ms4a2,Clec7a,Mrgprb1,Slc18a2,H2-Q7,Igha,Fcer1a,Fcgr4,Batf,Vav1,Il7r,Lilrb4a,Sh2d1b1,Klrk1,Cxcl1,Calhm6,Mrgprx2,Fgr,Ccl3,Il12b,Il1b,Il20rb,Nr4a3,Havcr2,Enpp1,H60b,H2-M2,Gzmb,Ighg2b,Gzmm,Stap1,Klrb1a,Il13ra2",49,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0071621","granulocyte chemotaxis","25/580","108/15043",0.231481481481481,6.00375159642401,10.4506331232621,2.91081602783893e-13,2.8444494224042e-10,"Lgals3,Nckap1l,Ccl8,C3ar1,Itgb2,S100a8,Ccl2,C5ar1,Spp1,Tnfaip6,Bst1,Cxcl10,Ccl7,Csf3r,Vav1,Ccl4,Cxcl2,C5ar2,Cxcl1,Ccl3,Il1b,Ccr7,Cxcl13,Slit2,Ccl22",25,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0002366","leukocyte activation involved in immune response","38/580","263/15043",0.144486692015209,3.74743673790481,9.00131488019582,1.80827979702485e-12,1.26217929832335e-09,"Tyrobp,Lgals3,Nckap1l,Myo1f,Cd84,Lat2,Hmox1,Lcp1,Cd300a,Slc11a1,Itgb2,Clec4d,Milr1,Ly9,Ms4a2,Clec7a,Mrgprb1,Slc18a2,Ada,Fcer1a,Fcgr4,Batf,Cd180,Lilrb4a,Sh2d1b1,Mrgprx2,Fgr,Ccl3,Il12b,Irf4,Ccr7,Nr4a3,Clec4e,Havcr2,Enpp1,Il10,Il13ra2,Myb",38,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0002764","immune response-regulating signaling pathway","50/580","456/15043",0.109649122807018,2.84388233514822,8.00700739107345,2.33236148057378e-11,8.13994156720248e-09,"Tyrobp,Lgals3,Nckap1l,Lipa,Lat2,Tlr13,Cd300a,Slc15a3,Casp1,C3ar1,Cd300lb,Tnip3,Fcgr1,Clec4d,Lilrb4b,Cd300ld,Pik3ap1,S100a8,Oasl1,Tlr7,C5ar1,Fosl1,Clec7a,Lair1,Tlr1,Clec4n,Blnk,Lpxn,Ada,Fcer1a,Fcgr4,Kcnn4,Vav1,Tlr8,Lilrb4a,C5ar2,Sh2d1b1,Klrk1,Oas3,Gcsam,Irf4,Il20rb,Ccr7,Nr4a3,Card11,Clec4e,Havcr2,Oas1a,Cd22,Stap1",50,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0001819","positive regulation of cytokine production","49/580","447/15043",0.109619686800895,2.84311887680321,7.92187120244004,3.77163945690657e-11,1.2285486924297e-08,"Tyrobp,Cd300c2,Adam8,Cd84,Slc11a1,Casp1,C3ar1,Mcoln2,Ccr5,Fcgr1,Ccl2,Tlr7,C5ar1,Ly9,Clec12a,Mmp12,Nlrc4,Clec7a,Tlr1,Hpse,Cd83,Clec4n,P2ry2,Fcer1a,Batf,Tlr8,Ccl4,Camp,Klrk1,Chil3,Fgr,Oas3,Ccl3,Il12b,Irf4,Il1b,Il20rb,Ccr7,Nr4a3,Card11,Clec4e,Havcr2,Brca1,Kpna2,Oas1a,Osm,Prg2,Il10,Myb",49,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0002697","regulation of immune effector process","43/580","361/15043",0.119113573407202,3.0893542840768,8.04656779795685,4.39180156628304e-11,1.34114640330368e-08,"Dnajb9,Tyrobp,Lgals3,Nckap1l,Cd84,Hmox1,Cd300a,Casp1,Itgb2,Fcgr1,Lilrb4b,Ccl2,Hpx,Tlr7,Ms4a2,Clec7a,Slamf8,H2-Q7,Vsig4,Fcer1a,Vav1,Il7r,Lilrb4a,Sh2d1b1,Klrk1,Cxcl1,Calhm6,Fgr,Il12b,Il1b,Il20rb,Ccr7,Nr4a3,Havcr2,H60b,H2-M2,Prg2,Il10,Ighg2b,Cd22,Stap1,Klrb1a,Il13ra2",43,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0002250","adaptive immune response","45/580","393/15043",0.114503816793893,2.96979468281127,7.92384587333962,5.80005241210107e-11,1.57439200475143e-08,"Nckap1l,Mpeg1,Cd44,Cd84,Clec4a2,Lat2,Adgre1,Slc11a1,C3ar1,Mcoln2,Csf2rb2,Fcgr1,Clec4d,Lilrb4b,Hpx,Ly9,Clec7a,Slamf7,H2-Q7,Clec4n,Igha,Ada,Fcer1a,Fcgr4,Batf,Il7r,Lilrb4a,Sh2d1b1,Fgl1,Klrk1,Il12b,Irf4,Il1b,Il20rb,Ccr7,Havcr2,Enpp1,H60b,H2-M2,Gzmb,Ighg2b,Gzmm,Jchain,Il13ra2,Serpina3g",45,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0043299","leukocyte degranulation","18/580","71/15043",0.253521126760563,6.57537639630889,9.42976898093567,1.262762736239e-10,3.08492936463187e-08,"Nckap1l,Myo1f,Cd84,Lat2,Hmox1,Cd300a,Itgb2,Milr1,Ms4a2,Mrgprb1,Slc18a2,Fcer1a,Fcgr4,Mrgprx2,Fgr,Ccl3,Nr4a3,Il13ra2",18,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
