"pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"GO:0006631","fatty acid metabolic process","83/818","357/15043",0.23249299719888,4.27554053406204,15.0199549713405,1.17779601262603e-30,5.76295588977915e-27,"Ivd,Bckdk,Eci3,Acsm5,Cyp2u1,Echdc3,Gcdh,Mgst3,Ces1f,Ces1d,Acsf3,Nudt19,Acsm3,Mcat,Mmut,Acad10,Plin5,Acacb,Acad12,Por,Mtln,Pparg,Echs1,Adtrp,Acad11,Thnsl2,Mecr,Ppara,Gpat4,Pck1,Srebf1,Acaca,Scd1,Acadm,Mlxipl,Pex13,Fasn,Slc27a1,Adipoq,Adipor2,Lipe,Dgat1,Dgat2,Apoc3,Gpx4,Acox1,Abcd2,Crat,Fabp4,Acot4,Pdk1,Gstm4,Aacs,Scp2,Prkar2b,Mgll,Angptl3,Hacd2,Pla2g5,Ppargc1a,Lpin1,Fads3,Elovl6,Pnpla3,Ephx2,Fabp5,Acsl1,Acly,Ucp3,Cnr1,Cyp2f2,Gstp1,Lep,Acss2,Prkag3,Gstm6,Akr1cl,Cyp1a1,Cyp2c29,Fmo4,Gstm7,Ces1c,Dbil5",83,"iWAT_KD_vs_CTL","iWAT","Down","GO:BP","ORA",1,0.05
"GO:0046395","carboxylic acid catabolic process","54/818","205/15043",0.263414634146341,4.84418868149562,13.2891514014041,5.41319470675451e-23,8.8289205667166e-20,"Ivd,Bckdk,Eci3,Gcdh,Ces1f,Ces1d,Acsf3,Aldh6a1,Nudt19,Dbt,Acad10,Plin5,Csad,Bckdha,Acacb,Acad12,Mccc2,Pon1,Mtln,Echs1,Adtrp,Mccc1,Acad11,Aldh5a1,Kyat3,Sdsl,Adhfe1,Thnsl2,Hibch,Slc25a44,Pck1,Bcat2,Acadm,Fah,Prodh,Pex13,Adipoq,Lipe,Ldhd,Acox1,Abcd2,Crat,Acot4,Gldc,Gstz1,Scp2,Nos3,Lpin1,Hpd,Gpt,Aldh1l1,Cnr1,Nos2,Lep",54,"iWAT_KD_vs_CTL","iWAT","Down","GO:BP","ORA",1,0.05
"GO:0044282","small molecule catabolic process","65/818","301/15043",0.215946843853821,3.97125717859783,12.486726370034,2.74770898654876e-22,3.36113501779577e-19,"Ivd,Bckdk,Eci3,Gcdh,Ces1f,Ces1d,Acsf3,Aldh6a1,Gpd2,Nudt19,Dpyd,Dbt,Acad10,Plin5,Csad,Bckdha,Dhdh,Acacb,Acad12,Mccc2,Pon1,Mtln,Echs1,Adtrp,Mccc1,Acad11,Aldh5a1,Kyat3,Sdsl,Adhfe1,Thnsl2,Hibch,Slc25a44,Pck1,Bcat2,Acadm,Fah,Pgm1,Prodh,Pex13,Adipoq,Lipe,Tkfc,Ldhd,Upp2,Acox1,Abcd2,Crat,Acot4,Gldc,Gstz1,Scp2,Nos3,Lpin1,Glb1l2,Hpd,Gpt,Aldh1l1,Aldh3b2,Cnr1,Nos2,Lep,Adcy10,Cyp1a1,Aldob",65,"iWAT_KD_vs_CTL","iWAT","Down","GO:BP","ORA",1,0.05
"GO:0016042","lipid catabolic process","58/818","273/15043",0.212454212454212,3.90702777255344,11.6236778019727,1.23588558014413e-19,1.20943762872904e-16,"Hint2,Ivd,Eci3,Gcdh,Fmc1,Ces1f,Ces1d,Nudt19,Pcca,Acad10,Plin5,Cidea,Acacb,Acad12,Mtln,Plpp6,Echs1,Mgst2,Adtrp,Acad11,Plaat3,Pnpla2,Hcar1,Pck1,Plin1,Dgkd,Acadm,Pex13,Pde3b,Adipoq,Lipe,Apoc3,Acox1,Pla2g6,Abcd2,Crat,Hsd17b14,Scp2,Mgll,Angptl3,Pla2g5,Lpin1,Hcar2,Gpihbp1,Adora1,Pnpla3,Sctr,Napepld,Cnr1,Lep,Clstn3,Abhd15,Hsd11b1,Endou,Aspg,Acap1,Apoa2,Ces1c",58,"iWAT_KD_vs_CTL","iWAT","Down","GO:BP","ORA",1,0.05
"GO:0044248","cellular catabolic process","56/818","277/15043",0.202166064981949,3.71782899208248,10.9479772449591,6.02200565625307e-18,4.91094561267438e-15,"Ivd,Bckdk,Eci3,Gcdh,Ces1f,Ces1d,Acsf3,Aldh6a1,Nudt19,Dbt,Acad10,Plin5,Csad,Bckdha,Acacb,Acad12,Mccc2,Pon1,Mtln,Echs1,Adtrp,Mccc1,Acad11,Aldh5a1,Kyat3,Sdsl,Adhfe1,Thnsl2,Hibch,Slc25a44,Pck1,Bcat2,Acadm,Fah,Prodh,Pex13,Adipoq,Lipe,Ldhd,Acox1,Abcd2,Crat,Acot4,Gldc,Gstz1,Scp2,Nos3,Lpin1,Abca2,Hpd,Gpt,Aldh1l1,Vnn1,Cnr1,Nos2,Lep",56,"iWAT_KD_vs_CTL","iWAT","Down","GO:BP","ORA",1,0.05
"GO:0019216","regulation of lipid metabolic process","53/818","318/15043",0.166666666666667,3.06499592502037,8.92500388252821,2.10332573294712e-13,1.47022468733004e-10,"Bckdk,Ormdl3,Fmc1,Ces1f,Ces1d,Plin5,Cidea,Acacb,Tspo,Por,Mtln,Pparg,Pnpla2,Sik2,Ppara,Hcar1,Dnajc15,Pck1,Srebf1,Pcx,Mlxipl,Slc27a1,Thrsp,Pde3b,Adipoq,Rorc,Dgat1,Dgat2,Apoc3,Pla2g6,Abcd2,Pdk1,Scp2,Angptl3,Ppargc1a,Sorbs1,Hcar2,Abca2,Bmp6,Gnai1,Adora1,Sctr,Ephx2,Fabp5,Cnr1,Lep,Clstn3,Endou,Cideb,Fmo4,Apoa2,Ces1c,Erbb4",53,"iWAT_KD_vs_CTL","iWAT","Down","GO:BP","ORA",1,0.05
"GO:0044283","small molecule biosynthetic process","66/818","495/15043",0.133333333333333,2.4519967400163,7.87716424692391,1.02129255770808e-11,5.55242720540624e-09,"Acsm5,Mgst3,Ces1f,Ces1d,Acsf3,Ldhb,Gpd2,Acsm3,Coq8a,Mcat,Dpyd,Csad,Slc1a3,Acacb,Por,Mgst2,Pfkfb1,Thnsl2,Mecr,Ppara,Pck1,Srebf1,Acaca,Scd1,Bcat2,Acadm,Pcx,Mlxipl,Itpka,Fasn,Adipoq,Rbp4,Phgdh,Dgat2,Apoc3,Slc25a19,Abcd2,Nnmt,Gstm4,Scp2,Mgll,Gpd1,Hacd2,Pla2g5,Ppargc1a,Abca2,Bmp6,Fads3,Elovl6,Gnai1,Gpt,Fabp5,Acly,Slc25a10,Gstp1,Lep,Acss2,Fbp2,Pth1r,Prkag3,Pcbd1,Gstm6,Cyp1a1,Gstm7,Aldob,Ces1c",66,"iWAT_KD_vs_CTL","iWAT","Down","GO:BP","ORA",1,0.05
"GO:0050873","brown fat cell differentiation","19/818","63/15043",0.301587301587302,5.54618310241782,8.6709083920647,4.84208496098486e-10,1.45030717830529e-07,"Aldh6a1,Slc2a4,Bnip3,Adig,Pparg,Cebpa,Adrb3,Slc7a10,Ffar4,Scd1,Adipoq,Arl4a,Fabp4,Sh2b2,Prdm16,Ucp1,Napepld,Lep,Lncbate1",19,"iWAT_KD_vs_CTL","iWAT","Down","GO:BP","ORA",1,0.05
"GO:1990845","adaptive thermogenesis","31/818","160/15043",0.19375,3.56305776283619,7.81585422681772,5.03887636034946e-10,1.45030717830529e-07,"Ces1d,Adissp,Sfxn5,Cidea,Mfn2,Pparg,Adrb3,Slc25a44,Ffar4,Scd1,Cmklr1,Adipoq,Adipor2,Fabp4,Prdm16,Ppargc1a,Lpin1,Trpv1,Elovl6,Ucp1,Tshr,G0s2,Sctr,Fabp5,Acsl1,Ucp3,Npr3,Lep,Clstn3,Ybx2,Lncbate1",31,"iWAT_KD_vs_CTL","iWAT","Down","GO:BP","ORA",1,0.05
"GO:0043603","amide metabolic process","54/818","401/15043",0.134663341645885,2.47645556036559,7.18613995695686,5.80312993927241e-10,1.57748415515888e-07,"Bckdk,Gstk1,Acsm5,Vnn3,Ormdl3,Gcdh,St6galnac5,Ces1d,Nudt19,Acsm3,Tlcd3b,St3gal3,Mmut,Gsta4,Ntrk2,Acacb,Mccc2,Mgst2,Cebpa,Plaat3,Mecr,Gpat4,Acaca,Pdha1,Oplah,Fasn,Mmachc,Pdhb,Dgat1,Dgat2,Pla2g6,Nnmt,Acot4,Pdk1,Gstz1,Gstm4,Abca2,Gsto2,B3galt2,Elovl6,Aldh1l1,Vnn1,Napepld,Acsl1,Acly,Pank1,Gstp1,Unc13a,Hsd11b1,Acss2,Gstm6,6430550D23Rik,Gstm7,Aldob",54,"iWAT_KD_vs_CTL","iWAT","Down","GO:BP","ORA",1,0.05
