"pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"GO:0042391","regulation of membrane potential","76/1423","380/15043",0.2,2.11426563598032,7.11108396250831,1.93590386403085e-10,1.2300733152052e-06,"Il1rn,Got1,Slc8a1,Nrcam,Gria3,Edn1,Slc25a27,Gpr35,Slc6a4,Kcnd1,Tacr1,Kcnn4,Trpm4,Plk2,Nos1ap,Cacna1g,Gabre,Cacna1d,Atp1b1,Kcne3,Kcnc2,Ryr2,Ptpn3,Kcnma1,Scn3b,Kcnj2,Cacnb4,Pawr,Pex5l,Glrb,Rims3,Cldn19,Atp1a4,Igsf9b,Neto1,Ank3,Cdkn2a,Gabrb3,Kcnh3,Scn3a,Scn2b,Scn4b,Cacnb3,Scn8a,Gna14,Cxadr,Reln,Ano1,Kcnh1,Bdnf,Grin3a,Nlgn1,Cx3cl1,Cck,Rims2,Prkcz,Cacnb2,Gria4,Tac1,Grik3,Begain,Piezo2,Gpr39,Nos1,Ndp,Trpc4,Npy2r,Myoc,Rnf207,Tnf,Popdc3,Chrm1,Gria1,Kcnd3,Tmem25,Dsc2",76,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0006936","muscle contraction","55/1423","265/15043",0.207547169811321,2.19404924488524,6.3387559699673,1.67376191591406e-08,5.31754160685896e-05,"Slc8a1,Arhgap42,Prkg1,Edn1,Adra2a,Itga2,Nr4a1,Tacr1,Trpm4,Cacna1g,Cacna1d,Atp1b1,Tmod1,Kcne3,Npnt,Ryr2,Kcnma1,Chrm3,Scn3b,Kcnj2,Pawr,Htr7,Htr2a,Tnni3,Stac2,Sphk1,Pde5a,Kit,Ccn2,Ptgs2,Cxcr4,Myom1,Lmod1,Scn2b,Stac,Adora2b,Chrm2,Scn4b,Pln,Stc1,Tpm2,Cacnb2,Ryr1,Tnnt2,Actc1,Casq1,Nos1,Npy2r,Scnn1b,Rnf207,Tnf,Kcnd3,Myocd,Tmod4,Dsc2",55,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0006937","regulation of muscle contraction","35/1423","140/15043",0.25,2.6428320449754,6.31229113445075,6.03723599210609e-08,9.59014937346053e-05,"Slc8a1,Arhgap42,Prkg1,Edn1,Adra2a,Itga2,Nr4a1,Tacr1,Trpm4,Atp1b1,Npnt,Ryr2,Kcnma1,Chrm3,Kcnj2,Pawr,Htr7,Tnni3,Sphk1,Pde5a,Kit,Ccn2,Ptgs2,Adora2b,Chrm2,Pln,Stc1,Cacnb2,Ryr1,Tnnt2,Casq1,Npy2r,Rnf207,Myocd,Dsc2",35,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0023061","signal release","81/1423","476/15043",0.170168067226891,1.79890248439502,5.72504462716733,1.13165917466925e-07,0.000143811247916969,"Tnfrsf11a,Il1rn,Adam8,Pla2g4a,Edn1,Mctp1,Adra2a,Lepr,Pak1,Slc6a4,Sfrp1,Cd300a,Nr4a1,Mctp2,Tacr1,Kcnn4,Trpm4,Slc18a2,Ildr2,Spp1,Il1b,Runx1,Cacna1d,Snap25,Igfbp3,Brsk1,Chrm3,Doc2g,Cacnb4,Pex5l,Gnaz,Htr7,Htr2a,Rims3,Fcer1a,Mup3,Inha,Slc18a1,Sphk1,Mup11,Syt2,Myb,Ptgs2,Vdr,Adora3,Adora2b,Sct,Inhba,Hmga2,Rab11fip1,Trim9,Ano1,Npy,Pcp4,Kcnh1,Camk2a,C1qtnf3,Pde1c,Vsnl1,Nlgn1,Sv2a,Tspoap1,Syn1,Nr1h4,Rims2,Doc2b,Ppfia3,Dio2,Wnk4,Syt8,Tac1,Lif,Or51e2,Ppfia2,Gpr39,Nos1,Npy2r,Ecrg4,Tnf,Glp1r,Gata3",81,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0050804","modulation of chemical synaptic transmission","81/1423","484/15043",0.167355371900826,1.76916855903312,5.55962014238214,2.33122582740346e-07,0.00020228051978513,"Gria3,Edn1,Stx3,Mctp1,Adra2a,Pak1,Slc6a4,Arhgap44,Penk,Mctp2,Tacr1,Ccl2,Dgkb,Plk2,Nxph1,Enpp1,Il1b,Cacna1d,Pde9a,Snap25,Brsk1,Egr2,Cacnb4,Htr7,Htr2a,Rims3,Slc38a1,Phf24,Cyp46a1,Rin1,Sphk1,Neto1,Syt2,Kit,Ptgs2,Efnb3,Cacng4,Rasgrf1,Ager,Adora3,Adora2b,Sct,Chrm2,Cacnb3,Reln,Npy,Kcnh1,Bdnf,Ror2,Camk2a,Grin3a,Nlgn1,Epha7,Tspoap1,Ntng1,Syn1,Fbxo2,Ncan,Rims2,Prkcz,Ppfia3,Shank2,Cacna2d2,Myo5b,Shisa9,Gria4,Syt8,Tac1,Slc12a2,Grik3,Adcy1,Ppfia2,Begain,Nos1,Npy2r,Hap1,Tnf,Chrm1,Gria1,Tmem25,Faah",81,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0006814","sodium ion transport","38/1423","167/15043",0.227544910179641,2.40545192117522,5.9033404857832,2.37330171284087e-07,0.00020228051978513,"Slc8a1,Sik1,Edn1,Slc10a6,Fxyd2,Slc6a4,Fxyd6,Trpm4,Atp1b1,Kcne3,Ptpn3,Scn3b,Klhl3,Slc38a1,Atp1a4,Slc9a4,Slc9a5,Neto1,Ank3,Scn3a,Scn2b,Scn4b,Scn8a,Slc5a9,Slc23a1,Fxyd4,Slc6a17,Wnk2,Scnn1a,Wnk4,Slc6a15,Slc12a2,Slc5a7,Slc28a3,Cntn1,Nos1,Scnn1b,Slc5a1",38,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0043588","skin development","50/1423","253/15043",0.197628458498024,2.08919529247067,5.64740088633794,3.65610978488176e-07,0.000258121350812652,"Tgfb2,Cdkn1a,Exph5,Itgb4,Errfi1,Hpse,Itga2,Foxc1,Vangl2,Enpp1,Runx1,Krt4,Lama5,Lrp4,Sostdc1,Wnt16,Cldn1,Epha2,Fras1,Fgfr2,Alx4,Krt6a,Cd109,Lsr,Lgr5,Cdkn2a,Ptgs2,Itgb6,Vdr,Inhba,Krt78,Evpl,Pou3f1,Tgm1,Sprr1a,Ivl,Cdh3,Etv4,Celsr1,Ryr1,Barx2,Pkp3,St14,Pkp1,Irf6,Sox9,Dlx3,Cysrt1,Tnf,Gnasas1",50,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0071805","potassium ion transmembrane transport","32/1423","133/15043",0.240601503759398,2.54347745681843,5.77901707928035,5.59690754017995e-07,0.000287027317302068,"Fxyd2,Kcnip3,Kcnd1,Kcnn4,Cacna1d,Atp1b1,Kcne3,Snap25,Kcnc2,Kcnma1,Kcnk5,Kcnj2,Atp1a4,Slc9a4,Slc9a5,Neto1,Ank3,Kcnh3,Kcnab1,Kcnn3,Kcnmb1,Kcnh1,Fxyd4,Wnk2,Kcnab3,Wnk4,Kcnu1,Slc12a2,Lrrc26,Kcnj16,Rnf207,Kcnd3",32,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0035725","sodium ion transmembrane transport","30/1423","121/15043",0.247933884297521,2.62099045782685,5.7866379923257,6.32417759242831e-07,0.000287027317302068,"Slc8a1,Fxyd2,Slc6a4,Fxyd6,Trpm4,Atp1b1,Ptpn3,Scn3b,Slc38a1,Atp1a4,Slc9a4,Slc9a5,Neto1,Ank3,Scn3a,Scn2b,Scn4b,Scn8a,Slc23a1,Fxyd4,Slc6a17,Wnk2,Scnn1a,Wnk4,Slc6a15,Slc12a2,Slc28a3,Nos1,Scnn1b,Slc5a1",30,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0043269","regulation of monoatomic ion transport","69/1423","402/15043",0.171641791044776,1.81448170252043,5.35026972609481,7.15461134537099e-07,0.000303069336589915,"Tgfb2,Cd84,Slc8a1,Sik1,Edn1,Plcg2,Fxyd2,Gpr35,Slc6a4,Cd300a,Fxyd6,Kcnip3,Kcnn4,Ms4a2,Cacna1g,Cacna1d,Atp1b1,Kcne3,Kcnc2,Ryr2,Ptpn3,Efhb,Scn3b,Kcnj2,Cacnb4,Pawr,Hpca,Htr7,Htr2a,Stac2,Neto1,Ank3,Ptgs2,Cldn10,Cxcr4,Scn2b,Vdr,Stac,Kcnab1,Scn4b,Prkg2,Jph2,Cacnb3,Stc2,Reln,Kcnmb1,Pln,Camk2a,Fxyd4,Cbarp,Stc1,Wnk2,Cx3cl1,Kcnab3,Cacnb2,Wnk4,Cntn1,Lrrc26,Casq1,Kcnj16,Gpr39,Nos1,Trpc4,Scnn1b,Rnf207,Hap1,Glp1r,Chrm1,Gria1",69,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0007600","sensory perception","57/1423","314/15043",0.181528662420382,1.91899906450443,5.31936695056918,1.07821440443565e-06,0.000428185895361508,"Adra2a,Itga2,Kcnip3,Penk,Ccl2,Or8b53,Eya4,Enpp1,Cacna1d,Col11a1,Prx,Irx5,Kcnma1,Cacnb4,Pawr,Glrb,Cdc14a,Htr7,Htr2a,Cldn19,Phf24,Rdh12,Kit,Crym,Cxcr4,Car6,Minar2,Eps8l2,Cfap69,Cacnb3,Scn8a,Marveld2,Ano1,Crybb3,Epyc,Pde1c,Gjc3,Elfn1,Tulp1,Nav2,Tmc4,Coch,Scnn1a,Pkhd1l1,Cacnb2,Retreg1,Slitrk6,Ano9,Tac1,Or51e2,Slc12a2,Espn,Piezo2,Scnn1b,Tnf,Gpr179,Rorb",57,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0098739","import across plasma membrane","34/1423","151/15043",0.225165562913907,2.3802990603752,5.51000306763989,1.30174248699224e-06,0.000483319169924031,"Slc8a1,Fxyd2,Kcnn4,Trpm4,Slc15a3,Cacna1d,Atp1b1,Slc1a4,Slc7a5,Kcnk5,Kcnj2,Pawr,Slc38a1,Atp1a4,Slc7a2,Slc9a4,Slc9a5,Steap2,Ank3,Slc39a4,Wnk2,Nalf2,Scnn1a,Slc47a1,Wnk4,Lrrc8e,Slc12a2,Slc15a2,Kcnj16,Scnn1b,Slc5a1,Tnf,Kcnd3,Arg1",34,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0006813","potassium ion transport","35/1423","158/15043",0.221518987341772,2.34174991326935,5.48014927257402,1.36917611876496e-06,0.000483319169924031,"Fxyd2,Fxyd6,Kcnip3,Kcnd1,Kcnn4,Cacna1d,Atp1b1,Kcne3,Snap25,Kcnc2,Kcnma1,Kcnk5,Kcnj2,Htr2a,Atp1a4,Slc9a4,Slc9a5,Neto1,Ank3,Kcnh3,Kcnab1,Kcnn3,Kcnmb1,Kcnh1,Fxyd4,Wnk2,Kcnab3,Wnk4,Kcnu1,Slc12a2,Lrrc26,Kcnj16,Nos1,Rnf207,Kcnd3",35,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0045055","regulated exocytosis","42/1423","208/15043",0.201923076923077,2.13459511324937,5.32593043149032,1.72670062249765e-06,0.000540955299526445,"Cd84,Plek,Milr1,Lat2,Adra2a,Mrgprb1,Cd300a,Ms4a2,Fgr,Slc18a2,Cacna1g,Cacna1d,Snap25,Tph1,Brsk1,Doc2g,Cacnb4,Pex5l,Rims3,Fcer1a,Rab15,Mrgprx2,Steap2,Syt2,Kit,Adora3,Adora2b,Syt17,Rab11fip1,Trim9,Npy,Kcnh1,Camk2a,Cbarp,Nlgn1,Sv2a,Syn1,Rims2,Doc2b,Ppfia3,Syt8,Ppfia2",42,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0032412","regulation of monoatomic ion transmembrane transporter activity","34/1423","153/15043",0.222222222222222,2.34918403997814,5.42170957593083,1.78785981902036e-06,0.000540955299526445,"Edn1,Plcg2,Fxyd2,Gpr35,Cacna1d,Atp1b1,Kcne3,Ptpn3,Chrm3,Scn3b,Cacnb4,Hpca,Stac2,Neto1,Ank3,Cacng4,Rasgrf1,Scn2b,Stac,Kcnab1,Scn4b,Jph2,Cacnb3,Reln,Pln,Cbarp,Wnk2,Nlgn1,Cacnb2,Shisa9,Lrrc26,Casq1,Rnf207,Hap1",34,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:1903522","regulation of blood circulation","43/1423","219/15043",0.19634703196347,2.07564891203548,5.18294481777402,2.82116401989379e-06,0.000779377225321963,"Tgfb2,Slc8a1,Arhgap42,Edn1,Adra2a,Tacr1,Trpm4,Nos1ap,Cacna1g,Cacna1d,Atp1b1,Kcne3,Ryr2,Irx5,Chrm3,Irx3,Scn3b,Kcnj2,Htr7,Htr2a,Tnni3,Dusp5,Pde5a,Ccn2,Ptgs2,Scn2b,Ager,Chrm2,Scn4b,Cxadr,Pln,Stc1,Cx3cl1,Cacnb2,Tnnt2,Tac1,Nos1,Rnf207,Tnf,Glp1r,Kcnd3,Faah,Dsc2",43,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0060993","kidney morphogenesis","24/1423","93/15043",0.258064516129032,2.72808469158751,5.40321923499727,3.86071455459003e-06,0.00102212417832771,"Fmn1,Cd44,Gcnt1,Fat4,Greb1l,Vangl2,Hey1,Hs3st3a1,Npnt,Lama5,Irx3,Klhl3,Fras1,Gcnt4,Six4,Bmp7,Irx2,Wnk4,Lif,Wnt4,Sox9,Cited1,Wnt6,Gata3",24,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0034113","heterotypic cell-cell adhesion","17/1423","53/15043",0.320754716981132,3.39080337845901,5.63569741777982,4.18831462526264e-06,0.00102355965880457,"Cd44,Il1rn,Gcnt2,Nrcam,Cd200r1,Itgax,Nfasc,Gldn,Il1b,Ager,Cxadr,Bmp7,Il10,Perp,Rnase10,Tnf,Dsc2",17,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
