"category","subcategory","pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","geneID_symbols","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"Organismal Systems","Endocrine system","mmu03320","PPAR signaling pathway","23/368","65/6447",0.353846153846154,6.19903846153846,10.3646417843829,3.18307833870194e-13,9.42191188255775e-11,"66968,19016,19013,18534,103968,20249,11364,26457,11450,20183,11814,11430,11770,57435,11832,20280,20411,22227,17436,16592,14081,11807,13168",23,"Plin5,Pparg,Ppara,Pck1,Plin1,Scd1,Acadm,Slc27a1,Adipoq,Rxrg,Apoc3,Acox1,Fabp4,Plin4,Aqp7,Scp2,Sorbs1,Ucp1,Me1,Fabp5,Acsl1,Apoa2,Dbil5","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Global and overview maps","mmu01200","Carbon metabolism","24/368","104/6447",0.230769230769231,4.04285117056856,7.69667260378089,2.33940664860596e-09,3.46232183993682e-07,"104776,66904,110821,17850,15277,93747,257635,227095,11428,21881,18597,18563,67834,225913,68263,236539,11430,104174,76282,17436,224530,60525,14120,230163",24,"Aldh6a1,Pccb,Pcca,Mmut,Hk2,Echs1,Sdsl,Hibch,Aco1,Tkt,Pdha1,Pcx,Idh3a,Tkfc,Pdhb,Phgdh,Acox1,Gldc,Gpt,Me1,Acat3,Acss2,Fbp2,Aldob","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Carbohydrate metabolism","mmu00640","Propanoate metabolism","13/368","31/6447",0.419354838709677,7.34668653576438,8.71462505582801,4.46983068299529e-09,4.02714407751203e-07,"104776,16832,66904,110821,13171,17850,12039,100705,93747,227095,107476,11430,60525",13,"Aldh6a1,Ldhb,Pccb,Pcca,Dbt,Mmut,Bckdha,Acacb,Echs1,Hibch,Acaca,Acox1,Acss2","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Amino acid metabolism","mmu00280","Valine, leucine and isoleucine degradation","16/368","49/6447",0.326530612244898,5.72049689440994,8.16049732242351,5.44208659123248e-09,4.02714407751203e-07,"56357,257633,104776,66904,110821,13171,17850,12039,78038,93747,72039,227095,12036,11364,78894,224530",16,"Ivd,Acsf3,Aldh6a1,Pccb,Pcca,Dbt,Mmut,Bckdha,Mccc2,Echs1,Mccc1,Hibch,Bcat2,Acadm,Aacs,Acat3","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00980","Metabolism of xenobiotics by cytochrome P450","14/368","40/6447",0.35,6.13165760869565,8.00964547842834,1.81701002395825e-08,1.07566993418329e-06,"76263,66447,14860,71755,211666,14865,68214,621603,13107,14870,15483,14867,13076,68312",14,"Gstk1,Mgst3,Gsta4,Dhdh,Mgst2,Gstm4,Gsto2,Aldh3b2,Cyp2f2,Gstp1,Hsd11b1,Gstm6,Cyp1a1,Gstm7","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Human Diseases","Cancer: overview","mmu05204","Chemical carcinogenesis - DNA adducts","13/368","35/6447",0.371428571428571,6.5070652173913,8.03730544308788,2.59410929003188e-08,1.2797605830824e-06,"76263,66447,14860,211666,14865,20887,68214,14870,15483,14867,13076,13095,68312",13,"Gstk1,Mgst3,Gsta4,Mgst2,Gstm4,Sult1a1,Gsto2,Gstp1,Hsd11b1,Gstm6,Cyp1a1,Cyp2c29,Gstm7","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Environmental Information Processing","Signal transduction","mmu04152","AMPK signaling pathway","24/368","118/6447",0.203389830508475,3.56319086219602,6.91365000579722,3.33545702078782e-08,1.41042182593314e-06,"20528,12683,100705,19016,18639,13685,73699,18534,20787,226849,107476,20249,14104,11450,68465,16890,14936,11549,170768,19017,232493,16846,14120,241113",24,"Slc2a4,Cidea,Acacb,Pparg,Pfkfb1,Eif4ebp1,Ppp2r1b,Pck1,Srebf1,Ppp2r5a,Acaca,Scd1,Fasn,Adipoq,Adipor2,Lipe,Gys1,Adra1a,Pfkfb3,Ppargc1a,Gys2,Lep,Fbp2,Prkag3","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Carbohydrate metabolism","mmu00620","Pyruvate metabolism","13/368","41/6447",0.317073170731707,5.5548117709438,7.19816642870929,2.26101364807795e-07,8.36575049788841e-06,"16832,76238,100705,18534,107476,18597,18563,68263,52815,75572,17436,224530,60525",13,"Ldhb,Grhpr,Acacb,Pck1,Acaca,Pdha1,Pcx,Pdhb,Ldhd,Acyp2,Me1,Acat3,Acss2","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Global and overview maps","mmu01212","Fatty acid metabolism","14/368","55/6447",0.254545454545455,4.45938735177866,6.33891813500997,1.55080062419609e-06,5.10041094180047e-05,"257633,223722,93747,26922,107476,20249,11364,14104,11430,20280,70757,170439,14081,224530",14,"Acsf3,Mcat,Echs1,Mecr,Acaca,Scd1,Acadm,Fasn,Acox1,Scp2,Hacd2,Elovl6,Acsl1,Acat3","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Lipid metabolism","mmu00061","Fatty acid biosynthesis","7/368","13/6447",0.538461538461538,9.43331939799331,7.48829051536946,2.37473268974818e-06,7.02920876165461e-05,"257633,223722,100705,26922,107476,14104,14081",7,"Acsf3,Mcat,Acacb,Mecr,Acaca,Fasn,Acsl1","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
