"category","subcategory","pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","geneID_symbols","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"Organismal Systems","Endocrine system","mmu03320","PPAR signaling pathway","23/368","65/6485",0.353846153846154,6.23557692307692,10.4047076327935,2.81756336703037e-13,8.33998756640991e-11,"66968,19016,19013,18534,103968,20249,11364,26457,11450,20183,11814,11430,11770,57435,11832,20280,20411,22227,17436,16592,14081,11807,13168",23,"Plin5,Pparg,Ppara,Pck1,Plin1,Scd1,Acadm,Slc27a1,Adipoq,Rxrg,Apoc3,Acox1,Fabp4,Plin4,Aqp7,Scp2,Sorbs1,Ucp1,Me1,Fabp5,Acsl1,Apoa2,Dbil5","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Global and overview maps","mmu01200","Carbon metabolism","24/368","104/6485",0.230769230769231,4.06668060200669,7.73244813411756,2.08378671335968e-09,3.08400433577233e-07,"104776,66904,110821,17850,15277,93747,257635,227095,11428,21881,18597,18563,67834,225913,68263,236539,11430,104174,76282,17436,224530,60525,14120,230163",24,"Aldh6a1,Pccb,Pcca,Mmut,Hk2,Echs1,Sdsl,Hibch,Aco1,Tkt,Pdha1,Pcx,Idh3a,Tkfc,Pdhb,Phgdh,Acox1,Gldc,Gpt,Me1,Acat3,Acss2,Fbp2,Aldob","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Carbohydrate metabolism","mmu00640","Propanoate metabolism","13/368","31/6485",0.419354838709677,7.38998948106592,8.74666879781262,4.16439267885589e-09,3.7040299631134e-07,"104776,16832,66904,110821,13171,17850,12039,100705,93747,227095,107476,11430,60525",13,"Aldh6a1,Ldhb,Pccb,Pcca,Dbt,Mmut,Bckdha,Acacb,Echs1,Hibch,Acaca,Acox1,Acss2","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Amino acid metabolism","mmu00280","Valine, leucine and isoleucine degradation","16/368","49/6485",0.326530612244898,5.75421472937001,8.19303834984518,5.00544589609919e-09,3.7040299631134e-07,"56357,257633,104776,66904,110821,13171,17850,12039,78038,93747,72039,227095,12036,11364,78894,224530",16,"Ivd,Acsf3,Aldh6a1,Pccb,Pcca,Dbt,Mmut,Bckdha,Mccc2,Echs1,Mccc1,Hibch,Bcat2,Acadm,Aacs,Acat3","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00980","Metabolism of xenobiotics by cytochrome P450","14/368","40/6485",0.35,6.16779891304348,8.04081950090452,1.6872019348187e-08,9.98823545412669e-07,"76263,66447,14860,71755,211666,14865,68214,621603,13107,14870,15483,14867,13076,68312",14,"Gstk1,Mgst3,Gsta4,Dhdh,Mgst2,Gstm4,Gsto2,Aldh3b2,Cyp2f2,Gstp1,Hsd11b1,Gstm6,Cyp1a1,Gstm7","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Human Diseases","Cancer: overview","mmu05204","Chemical carcinogenesis - DNA adducts","13/368","35/6485",0.371428571428571,6.54541925465838,8.06797833010261,2.41989134587741e-08,1.19381306396619e-06,"76263,66447,14860,211666,14865,20887,68214,14870,15483,14867,13076,13095,68312",13,"Gstk1,Mgst3,Gsta4,Mgst2,Gstm4,Sult1a1,Gsto2,Gstp1,Hsd11b1,Gstm6,Cyp1a1,Cyp2c29,Gstm7","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Environmental Information Processing","Signal transduction","mmu04152","AMPK signaling pathway","24/368","118/6485",0.203389830508475,3.58419307295505,6.94823836566003,2.98435663302262e-08,1.26195651910671e-06,"20528,12683,100705,19016,18639,13685,73699,18534,20787,226849,107476,20249,14104,11450,68465,16890,14936,11549,170768,19017,232493,16846,14120,241113",24,"Slc2a4,Cidea,Acacb,Pparg,Pfkfb1,Eif4ebp1,Ppp2r1b,Pck1,Srebf1,Ppp2r5a,Acaca,Scd1,Fasn,Adipoq,Adipor2,Lipe,Gys1,Adra1a,Pfkfb3,Ppargc1a,Gys2,Lep,Fbp2,Prkag3","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Carbohydrate metabolism","mmu00620","Pyruvate metabolism","13/368","41/6485",0.317073170731707,5.58755302226935,7.22722260294616,2.11314591588409e-07,7.81863988877114e-06,"16832,76238,100705,18534,107476,18597,18563,68263,52815,75572,17436,224530,60525",13,"Ldhb,Grhpr,Acacb,Pck1,Acaca,Pdha1,Pcx,Pdhb,Ldhd,Acyp2,Me1,Acat3,Acss2","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Global and overview maps","mmu01212","Fatty acid metabolism","14/368","55/6485",0.254545454545455,4.48567193675889,6.36705410531525,1.44682450072563e-06,4.75844502460874e-05,"257633,223722,93747,26922,107476,20249,11364,14104,11430,20280,70757,170439,14081,224530",14,"Acsf3,Mcat,Echs1,Mecr,Acaca,Scd1,Acadm,Fasn,Acox1,Scp2,Hacd2,Elovl6,Acsl1,Acat3","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Lipid metabolism","mmu00061","Fatty acid biosynthesis","7/368","13/6485",0.538461538461538,9.48892140468227,7.5141715640428,2.28310378550457e-06,6.75798720509353e-05,"257633,223722,100705,26922,107476,14104,14081",7,"Acsf3,Mcat,Acacb,Mecr,Acaca,Fasn,Acsl1","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Organismal Systems","Endocrine system","mmu04923","Regulation of lipolysis in adipocytes","13/368","51/6485",0.254901960784314,4.49195439045183,6.14029581963522,3.3960669030436e-06,8.69725296036942e-05,"225845,11556,66853,103968,18576,16890,11770,11832,23945,14677,11539,22095,224129",13,"Plaat3,Adrb3,Pnpla2,Plin1,Pde3b,Lipe,Fabp4,Aqp7,Mgll,Gnai1,Adora1,Tshr,Adcy5","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Organismal Systems","Endocrine system","mmu04922","Glucagon signaling pathway","18/368","93/6485",0.193548387096774,3.41076437587658,5.74320116640508,3.52591336231193e-06,8.69725296036942e-05,"16832,100705,110078,18639,235344,19013,18534,107476,18597,18682,18576,68263,14936,19017,232493,14120,241113,20526",18,"Ldhb,Acacb,Pygb,Pfkfb1,Sik2,Ppara,Pck1,Acaca,Pdha1,Phkg1,Pde3b,Pdhb,Gys1,Ppargc1a,Gys2,Fbp2,Prkag3,Slc2a2","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00982","Drug metabolism - cytochrome P450","11/368","38/6485",0.289473684210526,5.10118707093821,6.21868723743244,5.07793969594099e-06,0.000115620780769118,"76263,66447,14860,211666,14865,68214,621603,14870,14867,226564,68312",11,"Gstk1,Mgst3,Gsta4,Mgst2,Gstm4,Gsto2,Aldh3b2,Gstp1,Gstm6,Fmo4,Gstm7","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Organismal Systems","Endocrine system","mmu04910","Insulin signaling pathway","21/368","127/6485",0.165354330708661,2.91392074631975,5.34246543408727,7.62513811901325e-06,0.000161217205944851,"20528,15277,100705,110078,13685,18534,20787,107476,18682,14104,18576,16890,14936,23921,19088,19017,232493,20411,244416,14120,241113",21,"Slc2a4,Hk2,Acacb,Pygb,Eif4ebp1,Pck1,Srebf1,Acaca,Phkg1,Fasn,Pde3b,Lipe,Gys1,Sh2b2,Prkar2b,Ppargc1a,Gys2,Sorbs1,Ppp1r3b,Fbp2,Prkag3","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00983","Drug metabolism - other enzymes","13/368","55/6485",0.236363636363636,4.16526679841897,5.78179052100668,8.40764030123722e-06,0.000165910768611081,"66447,234564,104158,99586,14860,211666,76654,14865,68214,14870,14867,68312,13884",13,"Mgst3,Ces1f,Ces1d,Dpyd,Gsta4,Mgst2,Upp2,Gstm4,Gsto2,Gstp1,Gstm6,Gstm7,Ces1c","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Metabolism of other amino acids","mmu00410","beta-Alanine metabolism","9/368","27/6485",0.333333333333333,5.87409420289855,6.22447823325222,1.04058909508868e-05,0.000192508982591407,"104776,99586,246277,93747,227095,11754,11430,621603,338403",9,"Aldh6a1,Dpyd,Csad,Echs1,Hibch,Aoc3,Acox1,Aldh3b2,Cndp1","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Global and overview maps","mmu01210","2-Oxocarboxylic acid metabolism","9/368","28/6485",0.321428571428571,5.6643051242236,6.0663399994439,1.45758395461847e-05,0.000253791088568863,"13171,209692,12039,11428,18597,12036,67834,68263,76282",9,"Dbt,Dhtkd1,Bckdha,Aco1,Pdha1,Bcat2,Idh3a,Pdhb,Gpt","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Cellular Processes","Transport and catabolism","mmu04146","Peroxisome","15/368","79/6485",0.189873417721519,3.34600302696753,5.14546725539695,2.93426871164284e-05,0.000482524188136822,"19301,69123,76263,67993,110959,28200,14712,72129,11430,26874,12908,20280,13850,14081,18126",15,"Pxmp2,Eci3,Gstk1,Nudt12,Nudt19,Dhrs4,Gnpat,Pex13,Acox1,Abcd2,Crat,Scp2,Ephx2,Acsl1,Nos2","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Metabolism of other amino acids","mmu00480","Glutathione metabolism","12/368","56/6485",0.214285714285714,3.77620341614907,5.11740462248516,5.35707025868325e-05,0.000834575156089601,"76263,66447,14860,211666,69590,75475,625249,14865,68214,14870,14867,68312",12,"Gstk1,Mgst3,Gsta4,Mgst2,Gpx8,Oplah,Gpx4,Gstm4,Gsto2,Gstp1,Gstm6,Gstm7","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction","21/368","150/6485",0.14,2.46711956521739,4.45875901972963,9.94630014300756e-05,0.00147205242116512,"17200,12257,11556,94045,14600,11549,193034,11539,22095,11540,319229,14812,12801,237362,16846,19228,110835,17203,12310,110902,385643",21,"Mc2r,Tspo,Adrb3,P2rx5,Ghr,Adra1a,Trpv1,Adora1,Tshr,Adora2a,Sctr,Grin2b,Cnr1,Npffr1,Lep,Pth1r,Chrna5,Mc5r,Calca,Chrna2,Kng2","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
