"category","subcategory","pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","geneID_symbols","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction","26/591","72/6485",0.361111111111111,3.96244594848656,8.00380024468225,2.59168772088113e-10,8.34523446123724e-08,"12505,20969,192897,21827,16398,245026,12830,20750,114249,320910,16776,16399,231470,16782,319480,94216,16420,665033,329872,19699,16780,241226,12841,16774,64051,16772",26,"Cd44,Sdc1,Itgb4,Thbs3,Itga2,Col6a6,Col4a5,Spp1,Npnt,Itgb8,Lama5,Itga2b,Fras1,Lamc2,Itga11,Col4a6,Itgb6,Col6a5,Frem1,Reln,Lamb3,Itga8,Col9a3,Lama3,Sv2a,Lama1","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
NA,NA,"mmu04382","Cornified envelope formation","34/591","118/6485",0.288135593220339,3.16169090022656,7.50373262696608,5.27142485296261e-10,8.48699401326979e-08,"192897,18600,12830,71932,16682,16776,228677,12737,16782,242653,269643,16687,83603,628324,94216,58187,99681,20201,332131,72930,14027,66809,16780,21816,16774,20753,16447,66166,19143,18772,12836,12821,16669,18260",34,"Itgb4,Padi2,Col4a5,Ephx3,Krt4,Lama5,Sptlc3,Cldn1,Lamc2,Cldn19,Ppp2r2c,Krt6a,Elovl4,S100a2,Col4a6,Cldn10,Tchh,S100a8,Krt78,Ppp2r2b,Evpl,Krt20,Lamb3,Tgm1,Lama3,Sprr1a,Ivl,S100a14,St14,Pkp1,Col7a1,Col17a1,Krt19,Ocln","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction","36/591","150/6485",0.24,2.63350253807107,6.40917767564949,3.56443034237729e-08,3.82582190081829e-06,"53623,13614,140795,64095,11551,16847,18619,21336,213438,14404,12671,242425,14658,15566,15558,14402,16995,11542,11541,20287,243764,14289,109648,53978,242443,12424,14802,19116,21333,14807,18167,57249,14652,12669,14799,22354",36,"Gria3,Edn1,P2ry14,Gpr35,Adra2a,Lepr,Penk,Tacr1,P2ry10b,Gabre,Chrm3,Gabbr2,Glrb,Htr7,Htr2a,Gabrb3,Ltb4r1,Adora3,Adora2b,Sct,Chrm2,Fpr2,Npy,Lpar2,Grin3a,Cck,Gria4,Prlr,Tac1,Grik3,Npy2r,Gabrq,Glp1r,Chrm1,Gria1,Vipr1","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy","25/591","91/6485",0.274725274725275,3.01454045108867,6.12802530810712,2.96008571066317e-07,2.38286899708385e-05,"21808,20541,192897,16398,12289,20191,320910,16399,12298,21954,319480,16420,54377,12297,18821,241226,22004,56808,12296,21956,11464,432530,18125,21926,16772",25,"Tgfb2,Slc8a1,Itgb4,Itga2,Cacna1d,Ryr2,Itgb8,Itga2b,Cacnb4,Tnni3,Itga11,Itgb6,Cacng4,Cacnb3,Pln,Itga8,Tpm2,Cacna2d2,Cacnb2,Tnnt2,Actc1,Adcy1,Nos1,Tnf,Lama1","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Human Diseases","Cardiovascular disease","mmu05410","Hypertrophic cardiomyopathy","24/591","86/6485",0.27906976744186,3.06221225357101,6.09588424249922,3.72347657392732e-07,2.39791891360919e-05,"21808,20541,192897,13614,16398,12289,20191,320910,16399,12298,21954,319480,16420,54377,12297,241226,22004,56808,12296,21956,11464,18125,21926,16772",24,"Tgfb2,Slc8a1,Itgb4,Edn1,Itga2,Cacna1d,Ryr2,Itgb8,Itga2b,Cacnb4,Tnni3,Itga11,Itgb6,Cacng4,Cacnb3,Itga8,Tpm2,Cacna2d2,Cacnb2,Tnnt2,Actc1,Nos1,Tnf,Lama1","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
NA,NA,"mmu04082","Neuroactive ligand signaling","28/591","112/6485",0.25,2.74323181049069,5.89253773249172,4.94892602251455e-07,2.46623807000701e-05,"53623,140795,11551,15567,18619,21336,214084,14404,12671,242425,14658,15566,15558,110877,14402,11542,11541,243764,11423,242443,14802,21333,14807,432530,63993,57249,12669,14799",28,"Gria3,P2ry14,Adra2a,Slc6a4,Penk,Tacr1,Slc18a2,Gabre,Chrm3,Gabbr2,Glrb,Htr7,Htr2a,Slc18a1,Gabrb3,Adora3,Adora2b,Chrm2,Ache,Grin3a,Gria4,Tac1,Grik3,Adcy1,Slc5a7,Gabrq,Chrm1,Gria1","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption","21/591","70/6485",0.3,3.29187817258883,6.10453229883685,5.36138710871089e-07,2.46623807000701e-05,"20541,11936,170745,245026,329941,16534,12816,12830,11931,12814,57442,16529,12817,27222,12837,94216,665033,213945,12841,12836,12821",21,"Slc8a1,Fxyd2,Xpnpep2,Col6a6,Col8a2,Kcnn4,Col12a1,Col4a5,Atp1b1,Col11a1,Kcne3,Kcnk5,Col13a1,Atp1a4,Col8a1,Col4a6,Col6a5,Col28a1,Col9a3,Col7a1,Col17a1","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Organismal Systems","Endocrine system","mmu04911","Insulin secretion","19/591","70/6485",0.271428571428571,2.97836596567561,5.2694768338164,9.612597353356e-06,0.000386907043472579,"11936,16534,68667,12289,11931,20614,20191,16531,12671,27222,140493,16533,12322,12424,116838,78284,16532,432530,14652",19,"Fxyd2,Kcnn4,Trpm4,Cacna1d,Atp1b1,Snap25,Ryr2,Kcnma1,Chrm3,Atp1a4,Kcnn3,Kcnmb1,Camk2a,Cck,Rims2,Creb3l4,Kcnu1,Adcy1,Glp1r","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Human Diseases","Cardiovascular disease","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","18/591","75/6485",0.24,2.63350253807107,4.50538188274781,9.79663883645205e-05,0.00350501967259729,"20541,192897,16398,12289,20191,320910,16399,12298,319480,16420,54377,12297,241226,56808,12296,18125,16772,13506",18,"Slc8a1,Itgb4,Itga2,Cacna1d,Ryr2,Itgb8,Itga2b,Cacnb4,Itga11,Itgb6,Cacng4,Cacnb3,Itga8,Cacna2d2,Cacnb2,Nos1,Lama1,Dsc2","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Organismal Systems","Circulatory system","mmu04261","Adrenergic signaling in cardiomyocytes","26/591","135/6485",0.192592592592593,2.1133045058595,4.13908329422296,0.000171490267753162,0.0055219866216518,"20541,11936,320207,12289,11931,20191,12298,269643,27222,21954,54377,75600,72930,399548,12297,18821,12322,22004,56808,78284,12296,21956,11464,432530,26415,78977",26,"Slc8a1,Fxyd2,Pik3r5,Cacna1d,Atp1b1,Ryr2,Cacnb4,Ppp2r2c,Atp1a4,Tnni3,Cacng4,Calml4,Ppp2r2b,Scn4b,Cacnb3,Pln,Camk2a,Tpm2,Cacna2d2,Creb3l4,Cacnb2,Tnnt2,Actc1,Adcy1,Mapk13,Popdc3","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","31/591","182/6485",0.17032967032967,1.86901507967498,3.76529953667907,0.000431145029886977,0.0126207908748733,"245527,21934,16181,21808,23886,94185,16164,16180,16847,20296,77125,20310,53603,16176,16322,16182,12767,21935,55985,16323,18383,12162,16153,252837,20312,218624,16197,242700,19116,16878,21926",31,"Eda2r,Tnfrsf11a,Il1rn,Tgfb2,Gdf15,Tnfrsf21,Il13ra1,Il1rap,Lepr,Ccl2,Il33,Cxcl2,Tslp,Il1b,Inha,Il18r1,Cxcr4,Tnfrsf17,Cxcl13,Inhba,Tnfrsf11b,Bmp7,Il10,Ackr4,Cx3cl1,Il31ra,Il7r,Ifnlr1,Prlr,Lif,Tnf","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction","24/591","132/6485",0.181818181818182,1.99507768035687,3.65733465207361,0.000728186721300146,0.0185605467842027,"20969,319504,13003,54725,269116,12519,102657,20612,320910,12737,242653,14997,58187,20339,13052,241226,192167,80883,12560,239250,12805,15001,18260,242122",24,"Sdc1,Nrcam,Vcan,Cadm1,Nfasc,Cd80,Cd276,Siglec1,Itgb8,Cldn1,Cldn19,H2-M9,Cldn10,Sele,Cxadr,Itga8,Nlgn1,Ntng1,Cdh3,Slitrk6,Cntn1,H2-Oa,Ocln,Vtcn1","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
NA,NA,"mmu04518","Integrin signaling","25/591","140/6485",0.178571428571429,1.95945129320764,3.63396980970613,0.000749338845324955,0.0185605467842027,"192897,21827,16411,16398,245026,12830,20750,114249,320910,16776,16399,231470,16782,319480,94216,16420,665033,329872,19699,16780,241226,12841,13866,16774,16772",25,"Itgb4,Thbs3,Itgax,Itga2,Col6a6,Col4a5,Spp1,Npnt,Itgb8,Lama5,Itga2b,Fras1,Lamc2,Itga11,Col4a6,Itgb6,Col6a5,Frem1,Reln,Lamb3,Itga8,Col9a3,Erbb2,Lama3,Lama1","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","44/591","300/6485",0.146666666666667,1.60936266215454,3.4219746901982,0.0009130924104263,0.0192651412421299,"12575,192897,21827,16398,320207,15370,245026,12830,14184,20750,11601,320910,16776,16399,13836,14183,16782,269643,319480,17863,16590,94216,16420,21802,243764,72930,665033,19699,16780,12064,241226,53978,12841,13866,16774,13638,78284,16197,12189,19116,13867,18188,16772,12669",44,"Cdkn1a,Itgb4,Thbs3,Itga2,Pik3r5,Nr4a1,Col6a6,Col4a5,Fgfr3,Spp1,Angpt2,Itgb8,Lama5,Itga2b,Epha2,Fgfr2,Lamc2,Ppp2r2c,Itga11,Myb,Kit,Col4a6,Itgb6,Tgfa,Chrm2,Ppp2r2b,Col6a5,Reln,Lamb3,Bdnf,Itga8,Lpar2,Col9a3,Erbb2,Lama3,Efna3,Creb3l4,Il7r,Brca1,Prlr,Erbb3,Nrtn,Lama1,Chrm1","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Human Diseases","Substance dependence","mmu05033","Nicotine addiction","7/591","19/6485",0.368421052631579,4.04265740493365,4.20554401682969,0.00095707612758346,0.0192651412421299,"53623,14404,14402,242443,14802,57249,14799",7,"Gria3,Gabre,Gabrb3,Grin3a,Gria4,Gabrq,Gria1","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Cellular Processes","Cell motility","mmu04820","Cytoskeleton in muscle cells","33/591","207/6485",0.159420289855072,1.74930724147233,3.46932211536464,0.000957274098987821,0.0192651412421299,"20969,13003,192897,21827,13807,16398,245026,12830,11931,12814,21916,320910,53318,16399,27222,21954,319480,11735,94216,16420,667772,17929,93689,665033,241226,12841,22004,640524,21956,11464,16772,50874,13506",33,"Sdc1,Vcan,Itgb4,Thbs3,Eno2,Itga2,Col6a6,Col4a5,Atp1b1,Col11a1,Tmod1,Itgb8,Pdlim3,Itga2b,Atp1a4,Tnni3,Itga11,Ank3,Col4a6,Itgb6,Myh15,Myom1,Lmod1,Col6a5,Itga8,Col9a3,Tpm2,Sptbn5,Tnnt2,Actc1,Lama1,Tmod4,Dsc2","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Environmental Information Processing","Signal transduction","mmu04024","cAMP signaling pathway","28/591","173/6485",0.161849710982659,1.77596510274542,3.27560801067018,0.00180599535642254,0.0325748787555751,"18805,53623,13614,14281,11936,18479,12289,11931,20191,242425,27222,21954,75600,243764,109648,12064,18821,12322,242443,78284,14802,432530,20682,26414,14652,78977,12669,14799",28,"Pld1,Gria3,Edn1,Fos,Fxyd2,Pak1,Cacna1d,Atp1b1,Ryr2,Gabbr2,Atp1a4,Tnni3,Calml4,Chrm2,Npy,Bdnf,Pln,Camk2a,Grin3a,Creb3l4,Gria4,Adcy1,Sox9,Mapk10,Glp1r,Popdc3,Chrm1,Gria1","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway","31/591","198/6485",0.156565656565657,1.71798355808508,3.24889399709922,0.00182095595528059,0.0325748787555751,"20541,234779,18802,68279,21336,12291,14184,12289,20191,12671,15566,15558,14183,20698,12767,75600,21802,11541,243764,14675,18821,12322,18575,13866,242443,20190,13867,432530,12372,18125,12669",31,"Slc8a1,Plcg2,Plcd4,Mcoln2,Tacr1,Cacna1g,Fgfr3,Cacna1d,Ryr2,Chrm3,Htr7,Htr2a,Fgfr2,Sphk1,Cxcr4,Calml4,Tgfa,Adora2b,Chrm2,Gna14,Pln,Camk2a,Pde1c,Erbb2,Grin3a,Ryr1,Erbb3,Adcy1,Casq1,Nos1,Chrm1","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Organismal Systems","Circulatory system","mmu04260","Cardiac muscle contraction","15/591","74/6485",0.202702702702703,2.22424200850597,3.35374800199273,0.00235669397706168,0.0389528183009658,"20541,11936,12289,11931,20191,12298,27222,21954,54377,12297,22004,56808,12296,21956,11464",15,"Slc8a1,Fxyd2,Cacna1d,Atp1b1,Ryr2,Cacnb4,Atp1a4,Tnni3,Cacng4,Cacnb3,Tpm2,Cacna2d2,Cacnb2,Tnnt2,Actc1","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Organismal Systems","Digestive system","mmu04970","Salivary secretion","14/591","67/6485",0.208955223880597,2.29285046846983,3.36818563949587,0.00241942970813452,0.0389528183009658,"19091,11936,16534,12182,11931,16531,12671,27222,75600,19092,20496,432530,12796,18125",14,"Prkg1,Fxyd2,Kcnn4,Bst1,Atp1b1,Kcnma1,Chrm3,Atp1a4,Calml4,Prkg2,Slc12a2,Adcy1,Camp,Nos1","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
"Human Diseases","Immune disease","mmu05310","Asthma","6/591","17/6485",0.352941176470588,3.87279785010451,3.75538701216725,0.00287861572631824,0.044138774470213,"14126,14125,19074,16153,21926,15001",6,"Ms4a2,Fcer1a,Prg2,Il10,Tnf,H2-Oa","iWAT_KD_vs_CTL","iWAT","Up","KEGG","ORA",1,0.05
