"CellType","Contrast","N_Markers_Defined","N_Markers_Found","Mean_LogFC","N_Sig_Up","N_Sig_Down","Enrich_Up_OR","Enrich_Up_P","Enrich_Up_N","Enrich_Down_OR","Enrich_Down_P","Enrich_Down_N"
"Adipocyte","gWAT_KD_vs_CTL",20,20,-0.343574067467853,0,0,0,1,0,3.23826998343357,0.0130476789960403,8
"Preadipocyte","gWAT_KD_vs_CTL",15,14,0.00630615964552984,0,0,0.366328069678601,0.930629929419423,1,0.372816738595213,0.927630237294584,1
"Macrophage","gWAT_KD_vs_CTL",20,19,0.667993683183386,0,0,10.3575666961416,1.20116324370674e-06,13,0.269168776389517,0.971684821892578,1
"Macrophage_M1","gWAT_KD_vs_CTL",15,14,0.671793830411103,0,0,3.57816404487016,0.0229567474348176,6,0,1,0
"Macrophage_M2","gWAT_KD_vs_CTL",15,14,0.480768345606766,0,0,4.77265996195618,0.00516403230242088,7,1.32277465919897,0.438052466430879,3
"Endothelial","gWAT_KD_vs_CTL",15,15,0.40691026545691,0,0,5.45618476621214,0.00164067756506542,8,0.346164578573059,0.940012666646863,1
"T_cell","gWAT_KD_vs_CTL",15,13,0.776161601926922,0,0,0.866238141295449,0.686848417723905,2,0,1,0
"B_cell","gWAT_KD_vs_CTL",10,9,0.0838200962529115,0,0,1.36155985243877,0.479962320508311,2,0.606027165171262,0.815085782141753,1
"NK_cell","gWAT_KD_vs_CTL",10,9,0.651159821122853,0,0,3.81500867320329,0.0546155459850786,4,0,1,0
"Fibroblast","gWAT_KD_vs_CTL",15,15,0.230565605383054,0,0,1.73350839585888,0.254962697115507,4,0,1,0
"Smooth_muscle","gWAT_KD_vs_CTL",10,10,-0.146536386152165,0,0,0,1,0,0.538657906987645,0.846715710378617,1
"Dendritic","gWAT_KD_vs_CTL",10,10,0.714428548800395,0,0,19.0983998478288,2.62301583444101e-05,8,0,1,0
"Mast_cell","gWAT_KD_vs_CTL",10,8,1.39436359979933,0,0,14.321028715181,0.000551368628899544,6,0,1,0
"Neutrophil","gWAT_KD_vs_CTL",10,6,1.00492314840815,0,0,2.38311131067613,0.279677808869061,2,0.969808596278216,0.675392629174841,1
"Crown_like_structure","gWAT_KD_vs_CTL",10,10,1.19645832718122,0,0,19.0983998478288,2.62301583444101e-05,8,0,1,0
"Adipocyte","iWAT_KD_vs_CTL",20,20,-1.56708918251817,0,0,0,1,0,83.7565436888076,4.55477973440951e-18,17
"Preadipocyte","iWAT_KD_vs_CTL",15,14,0.215253026287946,0,0,0.663958935536579,0.784526212008019,1,1.1210421369544,0.605266697631642,1
"Macrophage","iWAT_KD_vs_CTL",20,19,0.744292827130747,0,0,3.9934205999382,0.0102348251152587,6,0.809408845790984,0.716829674704604,1
"Macrophage_M1","iWAT_KD_vs_CTL",15,14,0.585611030274536,0,0,4.80603095734879,0.0107589632928004,5,1.1210421369544,0.605266697631642,1
"Macrophage_M2","iWAT_KD_vs_CTL",15,14,0.498528513739222,0,0,2.35662998703202,0.171516126243445,3,1.1210421369544,0.605266697631642,1
"Endothelial","iWAT_KD_vs_CTL",15,15,0.0409267687701391,0,0,0.616496822696073,0.806910452058154,1,0,1,0
"T_cell","iWAT_KD_vs_CTL",15,13,-0.06348722567162,0,0,0.719341584312688,0.759548591110153,1,1.21452792515738,0.578157828310947,1
"B_cell","iWAT_KD_vs_CTL",10,9,-0.361573355698508,0,0,1.07927274032591,0.627152840512286,1,1.82214349012971,0.449802887440049,1
"NK_cell","iWAT_KD_vs_CTL",10,9,-0.138718968880928,0,0,0,1,0,0,1,0
"Fibroblast","iWAT_KD_vs_CTL",15,15,0.465282228939604,0,0,0,1,0,0,1,0
"Smooth_muscle","iWAT_KD_vs_CTL",10,10,0.226427036708635,0,0,0,1,0,0,1,0
"Dendritic","iWAT_KD_vs_CTL",10,10,0.431402317860526,0,0,0.959271606473474,0.665874854572672,1,0,1,0
"Mast_cell","iWAT_KD_vs_CTL",10,8,1.16788741460402,0,0,14.4208727802293,0.000512739413416754,5,0,1,0
"Neutrophil","iWAT_KD_vs_CTL",10,6,0.50743248392526,0,0,4.32009488674191,0.121801236099681,2,2.91583609056545,0.328529209479454,1
"Crown_like_structure","iWAT_KD_vs_CTL",10,10,0.658379115413766,0,0,3.7040367962385,0.0768368553225052,3,1.61961261349206,0.485152370947126,1
