source,target,mor
Ahr,Cyp1a1,1.0
Ahr,Cyp1a2,1.0
Ahr,Cyp1b1,1.0
Ahr,Fos,1.0
Ahr,Myc,1.0
Ahr,Ugt1a6a,1.0
Ahr,Ugt1a6b,1.0
Ahr,Ugt1a7c,1.0
Ahr,Asap1,1.0
Ahr,Erg,1.0
Ahr,Vgll4,1.0
Ar,1700025G04Rik,1.0
Ar,Abce1,1.0
Ar,Acad10,1.0
Ar,Acad12,1.0
Ar,Acpp,1.0
Ar,Ahsg,1.0
Ar,Akr1b3,1.0
Ar,Akt1,1.0
Ar,Anapc10,1.0
Ar,Ap2m1,1.0
Ar,Appbp2,1.0
Ar,Atf6,1.0
Ar,Atm,1.0
Ar,Atp2b4,1.0
Ar,Babam2,1.0
Ar,Banf1,1.0
Ar,Btd,1.0
Ar,Ccng2,1.0
Ar,Cd4,1.0
Ar,Cdc6,1.0
Ar,Cdh2,1.0
Ar,Cdkl5,1.0
Ar,Cdkn1a,1.0
Ar,Cited2,1.0
Ar,Coasy,1.0
Ar,Cpt2,1.0
Ar,Crisp4,1.0
Ar,Dbi,1.0
Ar,Ddc,1.0
Ar,Ddt,1.0
Ar,Dhx15,1.0
Ar,Eef1akmt3,1.0
Ar,Egfr,1.0
Ar,Eif3i,1.0
Ar,Elf3,1.0
Ar,Erbb3,1.0
Ar,Esrra,1.0
Ar,Etl4,-1.0
Ar,Eya2,1.0
Ar,Fam13a,1.0
Ar,Fam174b,1.0
Ar,Fkbp5,1.0
Ar,Foxa1,1.0
Ar,Fxyd3,1.0
Ar,Glrx,1.0
Ar,Gnl1,1.0
Ar,Grb10,1.0
Ar,Gtf2f1,1.0
Ar,H2-Bl,1.0
Ar,H2-Q5,1.0
Ar,Hes1,1.0
Ar,Hk2,1.0
Ar,Hnrnpa1,1.0
Ar,Hsd17b11,1.0
Ar,Ifi35,1.0
Ar,Igf1r,1.0
Ar,Igfbp3,1.0
Ar,Il1r1,1.0
Ar,Jun,1.0
Ar,Kcnh2,1.0
Ar,Klf5,1.0
Ar,Klk4,1.0
Ar,Krt18,1.0
