gene,stat_cell,lfc_cell,padj_cell,stat_tis,lfc_tis,padj_tis
Col1a1,10.3429993245694,0.539023473393179,5.4265214379443605e-21,0.434024787659344,0.0664030803765317,0.78129954188613
Bzw2,-10.2384290938793,-0.741865582257577,8.03841355464201e-21,3.1287549131188,0.312716599775444,0.0073788696171475
Kat8,-9.28670207142802,-1.72341039524864,6.39383219737318e-17,-6.61828215687584,-0.591489219038508,1.01012165409778e-09
Ptn,-8.42848279117941,-0.964929393764244,8.447252830582381e-14,-0.67020662884181,-0.407995802579916,0.652583942848962
Mxd4,-8.4284007583496,-0.418093406540776,8.447252830582381e-14,3.14203261491813,0.238601935307303,0.0071258621744928
Stc1,7.83623374968553,1.01074333366128,9.326234887048049e-12,0.980159680200774,0.336036939820425,0.490121436694954
Ormdl3,-7.56882272837727,-0.511325250646819,6.484887185321049e-11,-1.70439391282156,-0.184150060507079,0.186398199926409
Gpr137b,6.92579976760772,0.844442854030031,6.3681528476238305e-09,4.19808886372924,0.76992650473901,0.0001942627211533
C1qtnf6,6.90607121819228,1.00509846570763,6.3681528476238305e-09,3.81928282883076,0.592526791375093,0.0007936862697131
Gxylt2,-6.89774469410016,-1.36800136683673,6.3681528476238305e-09,2.29597561401125,0.399308510323901,0.0605227385025022
Ifi203,-6.6376092363722,-0.583144157072732,3.49330656605565e-08,1.98327160636534,0.216175741332587,0.112993373074296
Olfml3,6.5666781212377,0.599611958330917,5.16773327438451e-08,2.74200409262888,0.528418036055417,0.0210737090023139
Actr1a,-6.36808714377904,-0.455631352999293,1.77457402263491e-07,0.863826636008497,0.0518773672249968,0.551468096730886
Sox9,6.32414834035102,0.531323844357572,2.19220846569336e-07,0.19826108161376,0.0835137520832168,0.905521451637403
Gpc1,6.19161859777267,0.5680933248522,4.78500130371436e-07,4.09416382860174,0.587996782115933,0.0002892057733407
Ifi207,-6.17137164523145,-0.580674841581499,5.09993156171884e-07,6.26327174403295,0.688858889287078,8.3708802573179e-09
Tubb5,6.11636114746057,0.320922280874448,6.78769855957802e-07,3.79590539327228,0.30801830832037,0.0008615568890286
Col5a1,5.93949333921045,0.358884780676642,1.91444690711587e-06,0.814446636201115,0.109333082786142,0.576614101519553
Gna11,-5.90172769292236,-0.383425256363068,2.28191543050722e-06,-3.10084830773017,-0.20884186242102,0.0079988628055112
Pcolce2,5.77640992244556,0.812651271449995,4.5989020587692e-06,-0.784177006112073,-0.133991095531432,0.592466825555618
Cygb,5.64648104456208,0.507645821753592,9.39934336024702e-06,3.73121954581187,0.301882265314877,0.00107743584523
Scara5,-5.60342818669245,-0.597672755515519,1.11828506026291e-05,-0.314607158374218,-0.0423197769992842,0.84478148906651
Gipc1,-5.60077508316751,-0.69489410674404,1.11828506026291e-05,3.39399523604942,0.429363948926505,0.0033045924301519
Kdelr3,5.54307926077019,0.655833816185108,1.49255437369068e-05,2.6323504762422,0.313048716842779,0.0277299445531075
Bod1l,-5.52266990387074,-0.356807311237826,1.60973439358499e-05,-6.00305062790295,-0.269925462967628,3.76528069797057e-08
Enpp4,-5.47608274101862,-0.506486116100313,2.01583839495971e-05,-0.273403630823242,-0.026169565861529,0.866547984932833
Znfx1,-5.44716858908598,-0.423652348528361,2.28462163371051e-05,-1.6248352553628,-0.143485363081256,0.211666956640547
Ccl8,5.43209654185075,0.674382494769057,2.39750418469025e-05,8.75718493846653,1.58110376406578,2.03421717314792e-16
Tmsb10,5.41722368425455,0.415308593296847,2.51581825549335e-05,4.05525064187327,0.444733930591711,0.0003354745568534
Uhmk1,-5.40150218302576,-0.483906638367632,2.6550804346104e-05,1.9943206587306,0.112246144763805,0.1106980882894
Ak4,5.39128732632456,0.568678180568151,2.71988452283944e-05,0.466067867683547,0.18018448590352,0.764316824608037
Oip5os1,5.36292081820519,0.282197565257924,3.08432157829198e-05,3.32554247512976,0.173960497507713,0.0040812658928811
Unc5b,5.34482082194636,0.474236943881879,3.30568273960849e-05,1.54572288131693,0.213916527186156,0.238456511835797
Scaf11,-5.32226268980181,-0.353606549736752,3.56519167229789e-05,-1.14854178826279,-0.059221037774941,0.406920425128466
Ehd4,-5.32042080137476,-0.490128686093744,3.56519167229789e-05,5.90706536783196,0.458106572430594,6.45079825390104e-08
Mndal,-5.25168694258605,-0.447761730731237,5.04593696292927e-05,2.95273762087095,0.300254213734815,0.0121229239528879
Id2,5.18503171939421,0.747274793494058,7.0356326608572e-05,3.72389454491376,0.434345309755402,0.0011043398102829
Ncam1,5.17282464679723,0.374258146321489,7.31367755603072e-05,0.360429838750775,0.146700139725761,0.821208071224601
Sox4,5.15753569573517,0.26133219132974,7.73311698263323e-05,1.37259478206569,0.249658628478881,0.30557846317473
Dlg3,-5.13797948220891,-0.823171516529579,8.36804216528402e-05,-0.354811844390192,-0.0710404187097524,0.824184108042459
Dcaf7,-5.11974004198999,-0.561902917130907,8.899412424142e-05,2.05085356267537,0.166771938307914,0.0993006901274997
Nexn,-5.11719693495233,-0.787530085874335,8.899412424142e-05,-2.58956535848805,-0.404257137725118,0.0307873861240825
Pitpnm1,-5.10884254601465,-0.543507407932371,9.08567261718885e-05,-0.52375040540532,-0.0502780775130174,0.731540500359537
Ergic3,-5.10261473615177,-0.345181166572603,9.17651109055671e-05,-2.88173825778771,-0.157383470599696,0.0146785990654739
Fbxo45,-5.00012834527575,-0.406765865847018,0.0001534538781968,-5.22430264592633,-0.774582823866274,2.23944480985132e-06
Col11a1,-4.9856138953845,-1.18688952019355,0.0001618387252302,0.911635810524967,0.446851938159608,0.526291100741374
Lmna,4.97193940367889,0.269638287828204,0.0001662020561883,6.86291196849939,0.503861113593418,2.14784065119557e-10
Tcf7l2,-4.97112454927538,-0.242046399063513,0.0001662020561883,-4.22881365957301,-0.333793574396028,0.0001722541289461
Srrm2,-4.96822821294659,-0.251449702489502,0.0001662020561883,-2.90015631724655,-0.132894187003057,0.0139670148397578
Pla2g12a,-4.94948397550226,-0.365083962831097,0.0001793739601235,-1.18534834941247,-0.17348315692057,0.38901951858356
Sparc,4.90056977103292,0.206760902585452,0.0002258380373135,1.54879112557401,0.177996688334946,0.237376984127296
Ifit2,-4.87290488905277,-0.853207979258297,0.000254895853963,2.14463993247516,0.323281850904372,0.0825756391023791
Dennd1b,-4.84186925227504,-0.601000828720686,0.0002925090034936,-1.09032453015737,-0.0888398675011296,0.434848732821896
Tuba1a,4.78072281535761,0.357006187648831,0.0003841472082225,4.35103511492325,0.574040468572618,0.0001064208436563
Sulf2,4.77637838719084,0.589572369129615,0.0003841472082225,-0.524941755632472,-0.0685377501550008,0.730828185139696
Cdsn,4.75397734865126,0.300988806679099,0.000421756448319,-5.81940326147189,-1.76561400000718,1.04498090068496e-07
