program,dataset,n_present,mean_lfc,n_sig,comp_p
Adipocyte identity/PPARG,cells,11,-0.10713638191903341,0,0.03455741254518503
Adipocyte identity/PPARG,iWAT,11,-1.3822125514563892,11,3.0584998130679754e-07
Adipocyte identity/PPARG,gWAT,11,-0.3303117423602891,3,0.005151226706466649
Thermogenic,cells,4,0.06014099169452733,0,0.3598018423311116
Thermogenic,iWAT,8,-1.7037331627509502,8,0.021945494525295546
Thermogenic,gWAT,8,0.7797681572363262,3,0.2142202397878391
Fatty-acid/lipid metab,cells,8,-0.05128434676800957,0,0.09298735927860205
Fatty-acid/lipid metab,iWAT,8,-1.6990219332322165,8,6.359534103957002e-06
Fatty-acid/lipid metab,gWAT,8,-0.30321204988729866,3,0.05989379757257868
Inflammatory/immune,cells,4,-0.035386174816394014,3,0.6773147159255766
Inflammatory/immune,iWAT,12,1.1027887482385703,10,7.9352742445554e-06
Inflammatory/immune,gWAT,12,1.5495633720294058,11,3.55004327344844e-08
ECM/fibrosis,cells,8,0.1770509742484706,3,8.72086666524252e-05
ECM/fibrosis,iWAT,8,0.3976056378390903,5,0.12470633067385355
ECM/fibrosis,gWAT,8,0.2862069860796796,1,0.06078773384494923
