"pathway_id","pathway_name","setSize","enrichmentScore","NES","pvalue","padj","rank","leadingEdge","leadingEdge_symbols","contrast","tissue","database","ranking_metric","analysis_type","logFC_cutoff","fdr_cutoff"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis",61,-0.828257109025591,-3.20316190390681,1e-10,7.68e-09,1863,"11950/70316/68342/66592/66043/66925/17717/67264/11958/17721/57423/68194/67126/17991/66046/17722/230075/66414/67273/17993/66916/71679/72900/66052/67130/66495/68349/66218/227197/68197/226646/66114/11946/102631912/17719/104130/67184/11957/68198/66377/11949/67680/225887/54405/11947/75406/407785/68202/66108/66945/66091/78330/66416/17995","Atp5pb,Ndufab1,Ndufb10,Stoml2,Atp5f1d,Sdhd,mt-Nd2,Ndufb8,Atp5me,mt-Nd5,Atp5mf,Ndufb4,Atp5f1e,Ndufa2,Ndufb5,mt-Nd6,Ndufb6,Ndufa12,Ndufa10,Ndufs4,Ndufb7,Atp5pd,Ndufv2,Sdhc,Ndufa6,Ndufb3,Ndufs3,Ndufb9,Ndufs1,Ndufc2,Ndufs2,Dnajc30,Atp5f1a,Ndufb1,mt-Nd4,Ndufb11,Ndufa13,Atp5pf,Ndufb2,Ndufc1,Atp5f1c,Sdhb,Ndufs8,Ndufa1,Atp5f1b,Ndufs7,Ndufs6,Ndufa5,Ndufa9,Sdha,Ndufa3,Ndufv3,Ndufa7,Ndufv1","iWAT_KD_vs_CTL","iWAT","GO:BP","DESeq2_Wald_stat","fgsea",1,0.05
"GO:0032543","mitochondrial translation",129,-0.729691076115446,-3.17318391041594,1e-10,7.68e-09,3290,"72181/67267/71799/52856/64657/27395/27397/65111/15115/353172/14548/99045/67417/64656/56282/118451/70207/78523/70120/121022/384281/12261/68572/224805/66242/68565/83485/79044/76784/94065/66493/60441/52443/94067/74600/67840/94066/67270/66047/233870/69527/94064/75398/66448/76366/67681/102436/50529/18120/64655/28030/66845/101122/18100/68611/52469/107734/94063/66163/66121/107733/64659/66077/66258/353242/69163/107732/66292/216767/226539/68463/67212/57312/66399/66223/218506/64658/232536/68499/68735/68537/64660/75593/211253/320806/66230/102060/28028/56280/381314/94061/67994/67308/67036/27398/27393/94062/59054/66407/212508/66419/77721","Nsun4,Uqcc2,Ptcd1,Mtg2,Mrps10,Mrpl15,Mrpl17,Dap3,Hars1,Gars1,Mrps33,Mrps26,Ears2,Mrps23,Mrpl12,Mrps2,Taco1,Mrpl9,Yars2,Mrps6,Gatc,C1qbp,Mrpl58,Aars2,Mrps16,Mrps18a,Ngrn,Mrps34,Mtif2,Mrpl34,Mrpl51,Mrpl38,Mrpl48,Mrpl43,Mrpl47,Mrpl57,Mrpl36,Mrpl42,Mrpl54,Tufm,Mrps9,Mrpl27,Mrpl32,Mrpl20,Mtif3,Mrpl18,Lars2,Mrps7,Mrpl49,Mrps22,Gfm1,Mrpl33,Rpusd3,Mrpl40,Mrpl28,Coa3,Mrpl30,Mrpl16,Mrpl4,Chchd1,Mrpl41,Mrps14,Aurkaip1,Mrps17,Mrpl21,Mrpl44,Mrpl10,Mrps21,Mrpl22,Dars2,Mrpl14,Mrpl55,Mrps31,Tsfm,Mrpl35,Mrps27,Mrps25,Mrps35,Mrpl53,Mrps18c,Mrpl13,Mrps24,Malsu1,Mtrf1,Gfm2,Mrps28,Gadd45gip1,Mrpl50,Mrpl37,Iars2,Mrpl1,Mrps11,Mrpl46,Mrpl45,Mrpl2,Mrpl39,Mrpl3,Mrps30,Mrps15,Mtg1,Mrpl11,Mrps5","iWAT_KD_vs_CTL","iWAT","GO:BP","DESeq2_Wald_stat","fgsea",1,0.05
"GO:0032981","mitochondrial respiratory chain complex I assembly",61,-0.798203742095041,-3.08693495096303,1e-10,7.68e-09,1819,"70316/68342/17717/66271/67264/69487/17721/26926/108755/68194/76947/17991/66046/17722/230075/66414/67273/66928/17993/68472/66916/67130/66495/68349/66218/227197/68197/73694/226646/208501/102631912/17719/104130/67184/68198/66377/67105/75597/225887/54405/75406/76826/407785/68202/235169/66108/66706/66091/69702","Ndufab1,Ndufb10,mt-Nd2,Tmem126a,Ndufb8,Ndufaf5,mt-Nd5,Aifm1,Lyrm2,Ndufb4,Ndufaf6,Ndufa2,Ndufb5,mt-Nd6,Ndufb6,Ndufa12,Ndufa10,Dmac1,Ndufs4,Tmem126b,Ndufb7,Ndufa6,Ndufb3,Ndufs3,Ndufb9,Ndufs1,Ndufc2,Ndufaf7,Ndufs2,Ndufaf8,Ndufb1,mt-Nd4,Ndufb11,Ndufa13,Ndufb2,Ndufc1,Timm21,Ndufaf2,Ndufs8,Ndufa1,Ndufs7,Nubpl,Ndufs6,Ndufa5,Foxred1,Ndufa9,Ndufaf3,Ndufa3,Ndufaf1","iWAT_KD_vs_CTL","iWAT","GO:BP","DESeq2_Wald_stat","fgsea",1,0.05
"GO:0006635","fatty acid beta-oxidation",73,-0.734998897038499,-2.93466125828883,1e-10,7.68e-09,2588,"11363/16846/19302/12801/16367/19305/19299/12896/52430/56690/11652/231086/15488/66841/67460/20280/11409/23986/110826/51798/12908/26874/11430/52538/13167/74114/15107/18634/13177/11450/11364/11992/66887/97212/110446/11370/113868/56717/110842/102632/93747/67885/338350/100705/66968/71985/15108/270076/69123/56357","Acadl,Lep,Pex2,Cnr1,Irs1,Pex5,Abcd3,Cpt2,Echdc2,Mlycd,Akt2,Hadhb,Hsd17b4,Etfdh,Decr1,Scp2,Acads,Eci2,Etfb,Ech1,Crat,Abcd2,Acox1,Acaa2,Dbi,Crot,Hadh,Pex7,Eci1,Adipoq,Acadm,Auh,Lonp2,Hadha,Acat1,Acadvl,Acaa1a,Mtor,Etfa,Acad11,Echs1,Mtln,Acad12,Acacb,Plin5,Acad10,Hsd17b10,Gcdh,Eci3,Ivd","iWAT_KD_vs_CTL","iWAT","GO:BP","DESeq2_Wald_stat","fgsea",1,0.05
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",28,-0.839464933316392,-2.77800407311897,1e-10,7.68e-09,1666,"67914/17717/67264/17721/13382/17722/230075/67273/66383/72900/68349/66218/227197/68197/226646/17719/66148/225887/68943/57320/75406/407785/69702/66416/17995","Coq9,mt-Nd2,Ndufb8,mt-Nd5,Dld,mt-Nd6,Ndufb6,Ndufa10,Iscu,Ndufv2,Ndufs3,Ndufb9,Ndufs1,Ndufc2,Ndufs2,mt-Nd4,Dnajc15,Ndufs8,Pink1,Park7,Ndufs7,Ndufs6,Ndufaf1,Ndufa7,Ndufv1","iWAT_KD_vs_CTL","iWAT","GO:BP","DESeq2_Wald_stat","fgsea",1,0.05
"GO:0043299","leukocyte degranulation",71,0.591884453559754,2.7677642386691,1e-10,7.68e-09,2823,"105855/12523/14159/20963/17096/11745/380732/56743/16414/17916/12772/26365/14127/233231/16409/217303/20912/19204/22631/20375/14126/14191/214084/15368/109934/12229/14125/243978/18806/16590/56632/22320/11542/11541/74732/12890","Nckap1l,Cd84,Fes,Syk,Lyn,Anxa3,Milr1,Lat2,Itgb2,Myo1f,Ccr2,Ceacam1,Fcer1g,Mrgprb1,Itgam,Cd300a,Stxbp3,Ptafr,Ywhaz,Spi1,Ms4a2,Fgr,Slc18a2,Hmox1,Abr,Btk,Fcer1a,Mrgprx2,Pld2,Kit,Sphk2,Vamp8,Adora3,Adora2b,Stx11,Cplx2","iWAT_KD_vs_CTL","iWAT","GO:BP","DESeq2_Wald_stat","fgsea",1,0.05
"GO:0044743","protein transmembrane import into intracellular organelle",37,-0.739406223205751,-2.57980459255162,1e-10,7.68e-09,2788,"72170/19302/15510/53333/21855/21854/19305/71382/103737/641376/18633/17713/66449/224824/67713/26926/67067/21856/18634/72129/66169/66887/67105/66148/56273/66525/52838","Chchd4,Pex2,Hspd1,Tomm40,Timm17b,Timm17a,Pex5,Pex1,Pex12,Tomm40l,Pex16,Grpel1,Pam16,Pex6,Dnajc19,Aifm1,Romo1,Timm44,Pex7,Pex13,Tomm7,Lonp2,Timm21,Dnajc15,Pex14,Timm50,Dnlz","iWAT_KD_vs_CTL","iWAT","GO:BP","DESeq2_Wald_stat","fgsea",1,0.05
"GO:0046034","ATP metabolic process",218,-0.520313336078862,-2.42802340662154,1e-10,7.68e-09,2668,"108079/68375/18655/68073/18457/56248/72106/18746/17716/108099/69875/14751/68055/72175/11950/18641/70316/68342/107197/94044/66592/66043/66925/17717/228033/67264/11545/11958/66401/19017/14433/17721/14555/57423/170768/11637/68194/16337/20185/67126/56428/105787/13806/17991/66046/17722/230075/66414/67273/52815/17993/66916/18747/98660/225913/71679/72900/66052/67059/67130/66495/68349/66218/227197/68197/226646/66114/11946/102631912/17719/58805/104130/67184/11957/68198/66377/270166/11949/67680/225887/19013/235344/54405/11947/75406/407785/68202/56717/18639/66108/66945/12257/66091/78330/15277/66416/209692/18293/56327/17995","Prkaa2,Ndufa8,Pgk1,Atpsckmt,Bloc1s6,Ak3,Jmjd8,Pkm,mt-Nd1,Prkag2,Ndufa11,Gpi1,Dmac2l,Mfsd8,Atp5pb,Pfkl,Ndufab1,Ndufb10,Uqcc3,Bcl2l13,Stoml2,Atp5f1d,Sdhd,mt-Nd2,Atp5mc3,Ndufb8,Parp1,Atp5me,Nudt2,Ppargc1a,Gapdh,mt-Nd5,Gpd1,Atp5mf,Pfkfb3,Ak2,Ndufb4,Insr,Ncor1,Atp5f1e,Mtch2,Prkaa1,Eno1,Ndufa2,Ndufb5,mt-Nd6,Ndufb6,Ndufa12,Ndufa10,Ldhd,Ndufs4,Ndufb7,Prkaca,Atp1a2,Tkfc,Atp5pd,Ndufv2,Sdhc,Ola1,Ndufa6,Ndufb3,Ndufs3,Ndufb9,Ndufs1,Ndufc2,Ndufs2,Dnajc30,Atp5f1a,Ndufb1,mt-Nd4,Mlxipl,Ndufb11,Ndufa13,Atp5pf,Ndufb2,Ndufc1,Clpx,Atp5f1c,Sdhb,Ndufs8,Ppara,Sik2,Ndufa1,Atp5f1b,Ndufs7,Ndufs6,Ndufa5,Mtor,Pfkfb1,Ndufa9,Sdha,Tspo,Ndufa3,Ndufv3,Hk2,Ndufa7,Dhtkd1,Ogdh,Arl2,Ndufv1","iWAT_KD_vs_CTL","iWAT","GO:BP","DESeq2_Wald_stat","fgsea",1,0.05
"GO:1990542","mitochondrial transmembrane transport",89,-0.590316158438396,-2.42404473104199,1e-10,7.68e-09,3003,"68066/66658/94279/271639/72170/70456/19165/56199/78506/15510/15526/208638/380836/55951/53333/22229/21855/21854/94281/66092/76137/69029/641376/22227/17713/11739/13358/66449/18674/22117/67713/14297/26926/69597/56384/67681/73132/74143/68115/67067/21856/11740/22334/66169/14057/67105/66148/74610/234847/66525/52838/94282/67582/66972","Slc25a39,Ccdc51,Sfxn2,Adcy10,Chchd4,Mpc2,Psen2,Abcb10,Micu3,Hspd1,Hspa9,Slc25a38,Mrs2,Mpc1,Tomm40,Ucp3,Timm17b,Timm17a,Sfxn4,Ghitm,Mcur1,Smdt1,Tomm40l,Ucp1,Grpel1,Slc25a4,Slc25a1,Pam16,Slc25a3,Tst,Dnajc19,Fxn,Aifm1,Afg3l2,Letm1,Mrpl18,Slc25a16,Opa1,Maip1,Romo1,Timm44,Slc25a5,Vdac2,Tomm7,Sfxn1,Timm21,Dnajc15,Abcb8,Spg7,Timm50,Dnlz,Sfxn5,Slc25a26,Slc25a23","iWAT_KD_vs_CTL","iWAT","GO:BP","DESeq2_Wald_stat","fgsea",1,0.05
"GO:0050851","antigen receptor-mediated signaling pathway",156,0.450582220059374,2.38142990947891,1e-10,7.68e-09,2545,"57257/105855/13709/74039/16854/108655/14360/14727/20963/17096/94185/234779/56743/76438/232341/68119/230787/18033/19271/23880/16889/26365/21682/217303/16792/18019/19255/16534/195564/17260/104418/102657/329260/12488/227059/18176/17060/20218/224860/319817/12042/14284/107321/12229/12298/114774/12494/101476/226422/15170/12028/74585/80859/22350/18578/11350/106957/19164/12169","Vav3,Nckap1l,Elf1,Nfam1,Lgals3,Foxp1,Fyn,Lilrb4b,Syk,Lyn,Tnfrsf21,Plcg2,Lat2,Rftn1,Wnk1,Cmtm3,Themis2,Nfkb1,Ptprj,Fyb1,Lipa,Ceacam1,Tec,Cd300a,Laptm5,Nfatc2,Ptpn2,Kcnn4,Skint3,Mef2c,Dgkz,Cd276,Dennd1b,Cd2ap,Slc39a10,Nras,Blnk,Khdrbs1,Plcl2,Rc3h2,Bcl10,Fosl2,Lpxn,Btk,Cacnb4,Pawr,Cd38,Plekha1,Rab29,Ptpn6,Bax,Sppl3,Nfkbiz,Ezr,Pde4b,Abl1,Slc39a6,Psen1,Bmx","iWAT_KD_vs_CTL","iWAT","GO:BP","DESeq2_Wald_stat","fgsea",1,0.05
"GO:0016042","lipid catabolic process",273,-0.497558628936026,-2.37119693484099,1e-10,7.68e-09,3160,"19349/104816/67041/14756/269060/216136/64383/71660/54447/19011/15926/56794/15483/67477/232370/11363/16846/67452/19302/18803/67469/12801/14705/228859/67111/14311/16367/242864/19305/19299/12896/52430/319229/230379/106861/16956/116939/26378/11539/56690/11652/231086/26394/68453/17117/80885/66857/20597/14245/18784/30924/23945/15488/66841/67460/20280/11409/193742/66350/23986/110826/51798/66065/105787/66082/12908/18754/26874/53357/11430/52538/11814/13167/71772/67732/74114/15107/18634/13177/16890/11450/18576/171210/18799/72129/14667/11364/11992/16922/227333/66887/103968/72108/18534/97212/110446/11370/113868/243270/66853/225845/56717/110842/102632/109254/211666/93747/74411/67885/338350/100705/12683/66968/71985/110821/110959/104158/234564/15108/66117/270076/69123/56357/68917","Rab7,Aspg,Oxct1,Gpld1,Dagla,Ilvbl,Sirt2,Rarres2,Asah2,Endou,Idh1,Hacl1,Hsd11b1,Abhd15,Clstn3,Acadl,Lep,Pnpla8,Pex2,Plcg1,Abhd5,Cnr1,Bscl2,Fitm2,Naaa,Cidec,Irs1,Napepld,Pex5,Abcd3,Cpt2,Echdc2,Sctr,Acer2,Abhd3,Lpl,Pnpla3,Decr2,Adora1,Mlycd,Akt2,Hadhb,Lypla2,Gpihbp1,Amacr,Hcar2,Plbd1,Smpd1,Lpin1,Pla2g5,Angptl3,Mgll,Hsd17b4,Etfdh,Decr1,Scp2,Acads,Abhd16a,Pla2g12a,Eci2,Etfb,Ech1,Hsd17b14,Prkaa1,Abhd6,Crat,Prkce,Abcd2,Pla2g6,Acox1,Acaa2,Apoc3,Dbi,Plbd2,Iah1,Crot,Hadh,Pex7,Eci1,Lipe,Adipoq,Pde3b,Acot2,Plcd1,Pex13,Gm2a,Acadm,Auh,Phyh,Dgkd,Lonp2,Plin1,Ddhd2,Pck1,Hadha,Acat1,Acadvl,Acaa1a,Hcar1,Pnpla2,Plaat3,Mtor,Etfa,Acad11,Adtrp,Mgst2,Echs1,Plpp6,Mtln,Acad12,Acacb,Cidea,Plin5,Acad10,Pcca,Nudt19,Ces1d,Ces1f,Hsd17b10,Fmc1,Gcdh,Eci3,Ivd,Hint2","iWAT_KD_vs_CTL","iWAT","GO:BP","DESeq2_Wald_stat","fgsea",1,0.05
