"pathway_id","pathway_name","setSize","enrichmentScore","NES","pvalue","padj","rank","leadingEdge","leadingEdge_symbols","contrast","tissue","database","ranking_metric","analysis_type","logFC_cutoff","fdr_cutoff"
"mmu04145","Phagosome",143,0.585138016543226,2.53473864497626,1e-10,4.38802064931961e-09,3376,"13040/22146/27060/242341/226421/11966/14131/108078/13057/16414/17970/14129/20288/11964/17969/56644/14999/13058/22145/73834/15018/227613/14130/14972/246256/114143/17972/21899/14960/11975/71693/24088/14961/22142/14969/22151/12330/13039/15039/16784/53331/66290/17533/16783/22154/21354/16409/18711/22042/66335/14998/20333/11972/17534/19345/12721/14964/14990/20335/216238/21871/15015/22319/11973/271457/12317/140792/11974/19349/53421/54411/235661/57743/12266/67951/16410/16412","Ctss,Tuba1c,Tcirg1,Atp6v0d2,Rab7b,Atp6v1b2,Fcgr3,Olr1,Cyba,Itgb2,Ncf2,Fcgr1,Msr1,Atp6v1a,Ncf1,Clec7a,H2-DMb1,Cybb,Tuba4a,Atp6v1d,H2-Q7,Tubb4b,Fcgr2b,H2-K1,Fcgr4,Atp6v0b,Ncf4,Tlr6,H2-Aa,Atp6v0a1,Colec11,Tlr2,H2-Ab1,Tuba1a,H2-Eb1,Tubb2a,Canx,Ctsl,H2-T22,Lamp2,Stx7,Atp6v1g1,Mrc1,Lamp1,Tubb5,Tap1,Itgam,Pikfyve,Tfrc,Atp6v1c1,H2-DMa,Sec22b,Atp6v0d1,Mrc2,Rab5c,Coro1a,H2-D1,H2-M2,Sec61g,Eea1,Atp6v0a2,H2-Q4,Vamp3,Atp6v1e1,Rab5a,Calr,Colec12,Atp6v0e,Rab7,Sec61a1,Atp6ap1,Dync1li1,Sec61a2,C3,Tubb6,Itgav,Itgb1","gWAT_KD_vs_CTL","gWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu05152","Tuberculosis",149,0.578336171165419,2.52674051559195,1e-10,4.38802064931961e-09,2986,"13040/27060/14127/242341/14131/12795/16411/16414/20963/14129/12367/12028/15980/56644/14999/11783/21897/14130/246256/114143/16154/15526/12796/21899/12370/14960/13063/11975/16149/56632/17874/13033/24088/12314/14961/14969/16160/16176/18045/16784/15510/17533/16783/16451/19055/56619/16409/21803/12608/14998/11972/12265/17534/19345/12721/16153/216238/12322/21871/108960/16452/110157/271457/26419/22337/18044/170767/19349/12042","Ctss,Tcirg1,Fcer1g,Atp6v0d2,Fcgr3,Plk3,Itgax,Itgb2,Syk,Fcgr1,Casp3,Bax,Ifngr2,Clec7a,H2-DMb1,Apaf1,Tlr1,Fcgr2b,Fcgr4,Atp6v0b,Il10ra,Hspa9,Camp,Tlr6,Casp8,H2-Aa,Cycs,Atp6v0a1,Cd74,Sphk2,Myd88,Ctsd,Tlr2,Calm2,H2-Ab1,H2-Eb1,Il12b,Il1b,Nfyb,Lamp2,Hspd1,Mrc1,Lamp1,Jak1,Ppp3ca,Clec4e,Itgam,Tgfb1,Cebpb,H2-DMa,Atp6v0d1,Ciita,Mrc2,Rab5c,Coro1a,Il10,Eea1,Camk2a,Atp6v0a2,Irak2,Jak2,Raf1,Rab5a,Mapk8,Vdr,Nfya,Rfxap,Rab7,Bcl10","gWAT_KD_vs_CTL","gWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu04380","Osteoclast differentiation",117,0.584453371912609,2.44341896676805,1e-10,4.38802064931961e-09,1975,"22177/14131/13038/13057/20963/17970/14129/19261/14727/20375/18733/17969/18710/21934/15980/14283/18412/100038947/21812/17060/14130/18034/668101/246256/12229/16477/14728/17972/234779/16176/14784/16822/14281/17342/22030/15976/12978/16451/19055/21803/26399/18707/18019/53859/83433/15975","Tyrobp,Fcgr3,Ctsk,Cyba,Syk,Ncf2,Fcgr1,Sirpa,Lilrb4b,Spi1,Pirb,Ncf1,Pik3r3,Tnfrsf11a,Ifngr2,Fosl1,Sqstm1,Sirpb1c,Tgfbr1,Blnk,Fcgr2b,Nfkb2,Sirpb1b,Fcgr4,Btk,Junb,Lilrb4a,Ncf4,Plcg2,Il1b,Grb2,Lcp2,Fos,Mitf,Traf2,Ifnar2,Csf1r,Jak1,Ppp3ca,Tgfb1,Map2k6,Pik3cd,Nfatc2,Map3k14,Trem2,Ifnar1","gWAT_KD_vs_CTL","gWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu05169","Epstein-Barr virus infection",186,0.526322943303072,2.37388337706084,1e-10,4.38802064931961e-09,4126,"17246/12575/12505/20963/12495/12367/26398/18710/12028/14999/11783/14102/56480/15018/15894/15945/17060/20848/17873/18034/14972/12229/67089/17096/12370/14960/13063/12428/23996/17874/234779/24088/14961/246727/21356/14969/27015/66997/60406/15039/12125/22030/15976/17463/21354/16451/56489/19185/26399/18707/14998/19181/53859/246730/15975/14964/22033/14990/19766/16151/22031/18037/12571/15015/22123/22059/21762/15182/66413/59029/12444/26419/100038882/12317/215446/20422/12448/242705/18035/12018/12447/70247/13557/23882/14827/56436/23797/20846/21926/21939/12443/21929/15001/19353/14991/68652/15024","Mdm2,Cdkn1a,Cd44,Syk,Entpd1,Casp3,Map2k4,Pik3r3,Bax,H2-DMb1,Apaf1,Fas,Tbk1,H2-Q7,Icam1,Cxcl10,Blnk,Stat3,Gadd45b,Nfkb2,H2-K1,Btk,Psmc6,Lyn,Casp8,H2-Aa,Cycs,Ccna2,Psmc4,Myd88,Plcg2,Tlr2,H2-Ab1,Oas3,Tapbp,H2-Eb1,Polk,Psmd12,Sap30,H2-T22,Bcl2l11,Traf2,Ifnar2,Psmd7,Tap1,Jak1,Ikbke,Psmd4,Map2k6,Pik3cd,H2-DMa,Psmc2,Map3k14,Oas1a,Ifnar1,H2-D1,Traf5,H2-M2,Ripk1,Ikbkg,Traf3,Nfkbie,Cdk6,H2-Q4,Psmd3,Trp53,Psmd2,Hdac2,Psmd6,Psmd14,Ccnd2,Mapk8,Isg15,Calr,Entpd3,Sem1,Ccne2,E2f2,Nfkbia,Bak1,Ccne1,Psmd1,E2f3,Gadd45g,Pdia3,Adrm1,Akt3,Stat1,Tnf,Cd40,Ccnd1,Tnfaip3,H2-Oa,Rac1,H2-M3,Tab2,H2-T10","gWAT_KD_vs_CTL","gWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu05020","Prion disease",240,0.512804358232062,2.36647357744962,1e-10,4.38802064931961e-09,4029,"22146/26440/13057/12260/17970/12367/18753/26444/17969/18710/12028/12262/12913/13058/11783/22145/12259/227613/11911/19173/26442/67089/20191/26446/17972/11740/13063/11950/68375/23996/26443/22142/26445/22151/66997/12858/16176/66152/19166/66142/19172/22334/17463/22154/19055/26441/11957/12289/19185/18707/66694/17993/16572/19354/19181/74764/14828/72900/110323/22333/66046/208677/66576/22335/20463/68342/66043/13665/12866/12859/12857/226519/19170/66445/12867/11951/69875/22123/230075/68197/17716/21762/17708/66413/19167/12865/59029/26419/228033/67130/20422/15139/67003/71679/66594/66218/67951/226646/12861/11949/105675/20304/22272/70247/54405/67264/22273/15481/66925/67530/56436/12869/66495/56637/18747/21926/11946/11947/19177/17721/66414/20867/19353","Tuba1c,Psma1,Cyba,C1qb,Ncf2,Casp3,Prkcd,Psma7,Ncf1,Pik3r3,Bax,C1qc,Creb3,Cybb,Apaf1,Tuba4a,C1qa,Tubb4b,Atf4,Psmb5,Psma5,Psmc6,Ryr2,Psmb3,Ncf4,Slc25a5,Cycs,Atp5pb,Ndufa8,Psmc4,Psma6,Tuba1a,Psmb2,Tubb2a,Psmd12,Cox5a,Il1b,Uqcr10,Psma2,Cox7b,Psmb4,Vdac2,Psmd7,Tubb5,Ppp3ca,Psma4,Atp5pf,Cacna1d,Psmd4,Pik3cd,Uqcrfs1,Ndufs4,Kif5a,Rac2,Psmc2,Klc4,Hspa5,Ndufv2,Cox6b1,Vdac1,Ndufb5,Creb3l3,Uqcrh,Vdac3,Cox7a2l,Ndufb10,Atp5f1d,Eif2s1,Cox7a2,Cox5b,Cox4i1,Lamc1,Psmb1,Cyc1,Cox7c,Atp5mc1,Ndufa11,Psmd3,Ndufb6,Ndufc2,mt-Nd1,Psmd2,mt-Co1,Psmd6,Psma3,Cox7a1,Psmd14,Mapk8,Atp5mc3,Ndufa6,Sem1,Hc,Uqcrc2,Atp5pd,Uqcr11,Ndufb9,Tubb6,Ndufs2,Cox6a1,Atp5f1c,Ppif,Ccl5,Uqcrq,Psmd1,Ndufa1,Ndufb8,Uqcrc1,Hspa8,Sdhd,Uqcrb,Adrm1,Cox8b,Ndufb3,Gsk3b,Prkaca,Tnf,Atp5f1a,Atp5f1b,Psmb7,mt-Nd5,Ndufa12,Stip1,Rac1","gWAT_KD_vs_CTL","gWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu05164","Influenza A",133,0.533562375340785,2.29364979301495,1e-10,4.38802064931961e-09,2513,"217069/17229/12362/66824/12367/20296/170743/18710/12028/15980/21933/14999/11783/14102/56480/15894/15945/100037258/11740/18751/12370/58185/14960/13063/110196/17874/14961/246727/14969/16160/16176/20293/15976/16451/56489/18707/14998/12265/16647/81489/26396/246730/22333/15975/16646/103573/13665/16151/22031/17857/12571/16452/110157","Trim25,Tpsb2,Casp1,Pycard,Casp3,Ccl2,Tlr7,Pik3r3,Bax,Ifngr2,Tnfrsf10b,H2-DMb1,Apaf1,Fas,Tbk1,Icam1,Cxcl10,Dnajc3,Slc25a5,Prkcb,Casp8,Rsad2,H2-Aa,Cycs,Fdps,Myd88,H2-Ab1,Oas3,H2-Eb1,Il12b,Il1b,Ccl12,Ifnar2,Jak1,Ikbke,Pik3cd,H2-DMa,Ciita,Kpna2,Dnajb1,Map2k2,Oas1a,Vdac1,Ifnar1,Kpna1,Xpo1,Eif2s1,Ikbkg,Traf3,Mx1,Cdk6,Jak2,Raf1","gWAT_KD_vs_CTL","gWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu04060","Cytokine-cytokine receptor interaction",182,0.507896561774133,2.28278539378598,1e-10,4.38802064931961e-09,4047,"245527/16181/23886/20307/20308/12984/12774/20296/21934/15980/21933/20305/21938/14102/12983/20315/94185/16178/15945/14562/21812/12982/57914/20306/12986/100532/16154/16197/20303/20310/18414/14825/50498/20302/66102/16160/12777/17082/16176/213208/12775/20293/55985/12772/15976/21944/12767/12978/21803/13857/16186/15975/16188/18413/16153/17000/27279/12769/20299/56744/14563/16165/12766/326623/57266/60504/57916/17329/21942/107527/23832/14566/57349/16164/20304/16177/20300/21935/21937/16170/16182/14561/16180/12504/21926/11480/21939/20312/16185/16174/16169/85030","Eda2r,Il1rn,Gdf15,Ccl8,Ccl9,Csf2rb2,Ccr5,Ccl2,Tnfrsf11a,Ifngr2,Tnfrsf10b,Ccl6,Tnfrsf1b,Fas,Csf2rb,Cxcl12,Tnfrsf21,Il1r2,Cxcl10,Gdf3,Tgfbr1,Csf2ra,Crlf2,Ccl7,Csf3r,Rell1,Il10ra,Il7r,Ccl4,Cxcl2,Osmr,Cxcl1,Ebi3,Ccl3,Cxcl16,Il12b,Ccr10,Il1rl1,Il1b,Il20rb,Ccr7,Ccl12,Cxcl13,Ccr2,Ifnar2,Tnfsf12,Cxcr4,Csf1r,Tgfb1,Epor,Il2rg,Ifnar1,Il3ra,Osm,Il10,Ltbr,Tnfrsf12a,Ccr9,Ccl22,Pf4,Gdf5,Il13ra2,Cxcr3,Tnfsf15,Cxcl14,Il21r,Tnfrsf13b,Cxcl9,Tnfrsf9,Il1rl2,Xcr1,Gdf9,Ppbp,Il13ra1,Ccl5,Il1r1,Ccl25,Tnfrsf17,Tnfrsf1a,Il16,Il18r1,Gdf11,Il1rap,Cd4,Tnf,Acvr2a,Cd40,Cx3cl1,Il2rb,Il18rap,Il15ra,Tnfrsf25","gWAT_KD_vs_CTL","gWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu05012","Parkinson disease",236,0.489189761691182,2.25240823365397,1e-10,4.38802064931961e-09,3991,"22146/26440/12367/26444/227059/12028/17161/214084/11783/22145/227613/11911/22166/19173/26442/67089/26446/11740/13063/11950/68375/23996/26443/12314/22142/26445/22151/66997/12858/110877/66152/19166/66142/19172/22334/17463/22154/26441/11957/19185/66694/17993/16572/19181/74764/14828/72900/110323/22333/66046/66576/22335/20463/68342/66043/13665/12866/213053/12859/12857/19170/66445/12322/12867/56791/11951/69875/22123/230075/68197/78294/22059/17716/21762/17708/66413/19167/12865/59029/26419/67847/228033/67130/18174/18024/20422/12048/67003/71679/66594/66218/67951/226646/12861/12323/12315/11949/105675/22272/70247/54405/67264/22273/66925/30791/140499/67530/56436/12869/66495/18747/11946/11947/19177/17721/66414","Tuba1c,Psma1,Casp3,Psma7,Slc39a10,Bax,Maoa,Slc18a2,Apaf1,Tuba4a,Tubb4b,Atf4,Txn1,Psmb5,Psma5,Psmc6,Psmb3,Slc25a5,Cycs,Atp5pb,Ndufa8,Psmc4,Psma6,Calm2,Tuba1a,Psmb2,Tubb2a,Psmd12,Cox5a,Slc18a1,Uqcr10,Psma2,Cox7b,Psmb4,Vdac2,Psmd7,Tubb5,Psma4,Atp5pf,Psmd4,Uqcrfs1,Ndufs4,Kif5a,Psmc2,Klc4,Hspa5,Ndufv2,Cox6b1,Vdac1,Ndufb5,Uqcrh,Vdac3,Cox7a2l,Ndufb10,Atp5f1d,Eif2s1,Cox7a2,Slc39a14,Cox5b,Cox4i1,Psmb1,Cyc1,Camk2a,Cox7c,Ube2l6,Atp5mc1,Ndufa11,Psmd3,Ndufb6,Ndufc2,Rps27a,Trp53,mt-Nd1,Psmd2,mt-Co1,Psmd6,Psma3,Cox7a1,Psmd14,Mapk8,Sncaip,Atp5mc3,Ndufa6,Slc11a2,Nfe2l2,Sem1,Bcl2l1,Uqcrc2,Atp5pd,Uqcr11,Ndufb9,Tubb6,Ndufs2,Cox6a1,Camk2b,Calm3,Atp5f1c,Ppif,Uqcrq,Psmd1,Ndufa1,Ndufb8,Uqcrc1,Sdhd,Slc39a1,Ube2j2,Uqcrb,Adrm1,Cox8b,Ndufb3,Prkaca,Atp5f1a,Atp5f1b,Psmb7,mt-Nd5,Ndufa12","gWAT_KD_vs_CTL","gWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu05171","Coronavirus disease - COVID-19",194,0.478684265719487,2.16663381909374,1.10933106303024e-10,4.38802064931961e-09,4844,"14131/12362/12267/11491/20963/12260/67941/20296/170743/12273/18710/12262/13058/56480/12259/15945/20848/170744/18751/17874/234779/20344/24088/246727/16160/16176/20293/214763/14281/72512/15976/22371/16451/56489/19899/18707/67945/27176/246730/15200/15975/110954/16151/22031/17857/68028/269261/20085/78294/100503670/20005/11837/67025/19921/76808/26419/100038882/65019/17392/67671/22121/20103/319195/19896/14109/15139/75617/18035/12266/19982/114641/16898/19988/20116/19942/20115/21937/27050/26961/16785/20846/21926/19944/19989/20055/19951/54127/27207/68652/270106/19941/20044/20102/267019/20091/68436/67891/67427/57808/66489/20090/66475/20104/26451/66481/74769/20084/27370/20054/17174/20088/16391/19946/27367/67281/67248","Fcgr3,Casp1,C3ar1,Adam17,Syk,C1qb,Rps27l,Ccl2,Tlr7,C5ar1,Pik3r3,C1qc,Cybb,Tbk1,C1qa,Cxcl10,Stat3,Tlr8,Prkcb,Myd88,Plcg2,Selp,Tlr2,Oas3,Il12b,Il1b,Ccl12,Cgas,Fos,Sting1,Ifnar2,Vwf,Jak1,Ikbke,Rpl18,Pik3cd,Rpl41,Rpl7a,Oas1a,Hbegf,Ifnar1,Rpl10,Ikbkg,Traf3,Mx1,Rpl22l1,Rpl12,Rps19,Rps27a,Rpl5,Rpl9,Rplp0,Rpl11,Rpl19,Rpl18a,Mapk8,Isg15,Rpl23,Mmp3,Rpl38,Rpl13a,Rps5,Rpl17,Rpl10a,Fau,Hc,Rps25,Nfkbia,C3,Rpl36a,Rpl31,Rps2,Rpl6,Rps8,Rpl27,Rps7,Tnfrsf1a,Rps3,Rpl8,Rpsa,Stat1,Tnf,Rpl29,Rpl7,Rps16,Rpl32,Rps28,Rps11,Tab2,Rpl13,Rpl26,Rps14,Rps4x,Rps15a,Rps3a1,Rpl34,Rpl4,Rps20,Rpl35a,Rpl35,Rps29,Rps23,Rps6,Rpl27a,Rps21,Pik3cb,Rps18,Rps26,Rps15,Masp1,Rps24,Irf9,Rpl30,Rpl3,Rpl37,Rpl39","gWAT_KD_vs_CTL","gWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu04650","Natural killer cell mediated cytotoxicity",86,0.600520634790447,2.40650020211892,1.4916787233205e-10,5.31037625502098e-09,2651,"22177/24055/57257/56743/14127/16414/20963/12367/12506/18710/15980/21933/14102/15894/14972/20416/246256/22324/26904/27007/15461/18751/18176/234779/14784/16822/15170/15976/19055/18106/18479/18707/18019/19354/26396/15975/14964/14939/23900/110157/16627/77777/216148/16643","Tyrobp,Sh3bp2,Vav3,Lat2,Fcer1g,Itgb2,Syk,Casp3,Cd48,Pik3r3,Ifngr2,Tnfrsf10b,Fas,Icam1,H2-K1,Shc1,Fcgr4,Vav1,Sh2d1b1,Klrk1,Hras,Prkcb,Nras,Plcg2,Grb2,Lcp2,Ptpn6,Ifnar2,Ppp3ca,Cd244a,Pak1,Pik3cd,Nfatc2,Rac2,Map2k2,Ifnar1,H2-D1,Gzmb,Hcst,Raf1,Klra1,Ulbp1,Shc2,Klrd1","gWAT_KD_vs_CTL","gWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
