"pathway_id","pathway_name","setSize","enrichmentScore","NES","pvalue","padj","rank","leadingEdge","leadingEdge_symbols","contrast","tissue","database","ranking_metric","analysis_type","logFC_cutoff","fdr_cutoff"
"mmu00190","Oxidative phosphorylation",119,-0.749287813175107,-3.24586517349156,1e-10,1.6952380952381e-09,2843,"11973/66290/76429/68375/11974/12865/226139/66576/67895/17716/66335/12858/69875/84682/13063/11950/70316/68342/66152/17708/66043/66925/17717/228033/67264/11958/66142/12867/110323/17721/12869/57423/68194/67126/67530/17991/66046/17722/230075/12859/17992/66414/67273/17993/66916/67003/22272/66594/12866/17711/71679/72900/66052/67130/66495/66694/68349/66218/12857/227197/68197/226646/66445/12861/11946/102631912/17719/104130/67184/11957/68198/66377/22273/11949/12856/67680/225887/54405/12864/11947/75406/12868/70383/407785/68202/66108/66945/66091/78330/66416/17995/74776","Atp6v1e1,Atp6v1g1,Lhpp,Ndufa8,Atp6v0e,Cox7a1,Cox15,Uqcrh,Ppa1,mt-Nd1,Atp6v1c1,Cox5a,Ndufa11,Cox4i2,Cycs,Atp5pb,Ndufab1,Ndufb10,Uqcr10,mt-Co1,Atp5f1d,Sdhd,mt-Nd2,Atp5mc3,Ndufb8,Atp5me,Cox7b,Cox7c,Cox6b1,mt-Nd5,Cox8b,Atp5mf,Ndufb4,Atp5f1e,Uqcrb,Ndufa2,Ndufb5,mt-Nd6,Ndufb6,Cox5b,Ndufa4,Ndufa12,Ndufa10,Ndufs4,Ndufb7,Uqcrc2,Uqcrq,Uqcr11,Cox7a2,mt-Cytb,Atp5pd,Ndufv2,Sdhc,Ndufa6,Ndufb3,Uqcrfs1,Ndufs3,Ndufb9,Cox4i1,Ndufs1,Ndufc2,Ndufs2,Cyc1,Cox6a1,Atp5f1a,Ndufb1,mt-Nd4,Ndufb11,Ndufa13,Atp5pf,Ndufb2,Ndufc1,Uqcrc1,Atp5f1c,Cox17,Sdhb,Ndufs8,Ndufa1,Cox6c,Atp5f1b,Ndufs7,Cox8a,Cox10,Ndufs6,Ndufa5,Ndufa9,Sdha,Ndufa3,Ndufv3,Ndufa7,Ndufv1,Ppa2","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu04714","Thermogenesis",214,-0.664191119487404,-3.12207351407108,1e-10,1.6952380952381e-09,2453,"14683/12865/226139/66576/68033/17716/83766/108099/12858/69875/12801/84682/19744/224129/14081/57279/66359/66272/11950/12896/70316/68342/22227/66152/17708/26408/66043/66925/17717/228033/67264/69893/11958/66142/12867/69487/110323/19017/22084/17721/12869/23945/57423/66379/68194/70673/67126/76947/67530/105787/17991/66046/17722/52469/230075/12859/17992/66414/67273/17993/66916/18747/67003/72508/22272/66594/12866/17711/71679/72900/66052/16890/67130/66495/66694/68349/76178/66218/12857/227197/68197/73694/226646/66445/12861/208501/11946/102631912/17719/67892/104130/67184/11957/68198/66377/103968/231430/22273/11949/12856/75597/104111/67680/225887/54405/12864/66853/11947/75406/12868/11556/70383/407785/68202/56717/11512/19016/66108/66706/68094/66945/66091/69702/78330/66416/17995","Gnas,Cox7a1,Cox15,Uqcrh,Cox19,mt-Nd1,Actl6b,Prkag2,Cox5a,Ndufa11,Cnr1,Cox4i2,Rheb,Adcy5,Acsl1,Slc25a20,Cox20,Cox16,Atp5pb,Cpt2,Ndufab1,Ndufb10,Ucp1,Uqcr10,mt-Co1,Map3k5,Atp5f1d,Sdhd,mt-Nd2,Atp5mc3,Ndufb8,Coa7,Atp5me,Cox7b,Cox7c,Ndufaf5,Cox6b1,Ppargc1a,Tsc2,mt-Nd5,Cox8b,Mgll,Atp5mf,Cox14,Ndufb4,Prdm16,Atp5f1e,Ndufaf6,Uqcrb,Prkaa1,Ndufa2,Ndufb5,mt-Nd6,Coa3,Ndufb6,Cox5b,Ndufa4,Ndufa12,Ndufa10,Ndufs4,Ndufb7,Prkaca,Uqcrc2,Rps6kb1,Uqcrq,Uqcr11,Cox7a2,mt-Cytb,Atp5pd,Ndufv2,Sdhc,Lipe,Ndufa6,Ndufb3,Uqcrfs1,Ndufs3,Coa5,Ndufb9,Cox4i1,Ndufs1,Ndufc2,Ndufaf7,Ndufs2,Cyc1,Cox6a1,Ndufaf8,Atp5f1a,Ndufb1,mt-Nd4,Coa6,Ndufb11,Ndufa13,Atp5pf,Ndufb2,Ndufc1,Plin1,Cox18,Uqcrc1,Atp5f1c,Cox17,Ndufaf2,Adcy3,Sdhb,Ndufs8,Ndufa1,Cox6c,Pnpla2,Atp5f1b,Ndufs7,Cox8a,Adrb3,Cox10,Ndufs6,Ndufa5,Mtor,Adcy6,Pparg,Ndufa9,Ndufaf3,Smarcc2,Sdha,Ndufa3,Ndufaf1,Ndufv3,Ndufa7,Ndufv1","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu00280","Valine, leucine and isoleucine degradation",49,-0.76805157093502,-2.92767630698911,1e-10,1.6952380952381e-09,1684,"11761/73724/231086/12040/11409/78894/13382/66948/52538/15107/15356/11364/11992/12036/97212/110446/113868/227095/11669/66885/72039/93747/58875/78038/12039/17850/13171/110821/66904/104776/257633/15108/56357","Aox1,Mcee,Hadhb,Bckdhb,Acads,Aacs,Dld,Acad8,Acaa2,Hadh,Hmgcl,Acadm,Auh,Bcat2,Hadha,Acat1,Acaa1a,Hibch,Aldh2,Acadsb,Mccc1,Echs1,Hibadh,Mccc2,Bckdha,Mmut,Dbt,Pcca,Pccb,Aldh6a1,Acsf3,Hsd17b10,Ivd","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu03010","Ribosome",163,-0.619478706186182,-2.82190677993954,1e-10,1.6952380952381e-09,3093,"64657/27395/27397/65111/14548/99045/67186/64656/17724/56282/118451/78523/121022/66242/68565/79044/94065/66493/60441/52443/94067/74600/94066/67270/66047/69527/94064/75398/66448/67681/50529/18120/64655/66845/18100/68611/107734/94063/66163/107733/64659/66258/353242/69163/107732/66292/216767/68463/67212/57312/66223/218506/64658/232536/68499/68735/68537/64660/66230/28028/56280/94061/67994/67308/67036/27398/27393/94062/59054/66407/66419/77721","Mrps10,Mrpl15,Mrpl17,Dap3,Mrps33,Mrps26,Rplp2,Mrps23,mt-Rnr1,Mrpl12,Mrps2,Mrpl9,Mrps6,Mrps16,Mrps18a,Mrps34,Mrpl34,Mrpl51,Mrpl38,Mrpl48,Mrpl43,Mrpl47,Mrpl36,Mrpl42,Mrpl54,Mrps9,Mrpl27,Mrpl32,Mrpl20,Mrpl18,Mrps7,Mrpl49,Mrps22,Mrpl33,Mrpl40,Mrpl28,Mrpl30,Mrpl16,Mrpl4,Mrpl41,Mrps14,Mrps17,Mrpl21,Mrpl44,Mrpl10,Mrps21,Mrpl22,Mrpl14,Mrpl55,Mrps31,Mrpl35,Mrps27,Mrps25,Mrps35,Mrpl53,Mrps18c,Mrpl13,Mrps24,Mrps28,Mrpl50,Mrpl37,Mrpl1,Mrps11,Mrpl46,Mrpl45,Mrpl2,Mrpl39,Mrpl3,Mrps30,Mrps15,Mrpl11,Mrps5","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu05012","Parkinson disease",236,-0.594355530160167,-2.81755117962629,1e-10,1.6952380952381e-09,3495,"30791/17762/21762/19173/19166/23996/26446/12313/67089/57296/67942/66997/407790/66413/22123/22187/19170/26443/22213/12315/26441/22195/68375/14680/50868/18803/67414/14683/12865/19185/66576/17716/12858/69875/26445/84682/224129/13063/109731/19182/11950/106947/19172/70316/68342/22201/11540/14677/66152/17708/11739/19184/70247/56551/26408/66043/66925/17717/228033/67264/66142/12867/68427/110323/17721/12869/68194/67126/56436/23997/67530/17991/66046/17722/59029/69077/230075/12859/19179/17992/66414/67273/17993/66916/18747/11740/67003/22272/22334/66594/12866/17711/71679/22190/72900/66052/67130/66495/66694/68349/66218/12857/227197/68197/19175/226646/66445/12861/19177/11946/102631912/17719/104130/67184/11957/20655/68198/66377/105675/22433/22273/11949/67680/225887/68943/57320/54405/12864/11947/75406/12868/407785/68202/66108/66945/170731/66091/78330/66416/17995/68015","Slc39a1,Mapt,Psmd2,Psmb5,Psma2,Psmc4,Psmb3,Calm1,Psmc6,Psmd8,Atp5mc2,Psmd12,Ndufa4l2,Psmd6,Psmd3,Ubb,Psmb1,Psma6,Ube2g2,Calm3,Psma4,Ube2l3,Ndufa8,Gnal,Keap1,Plcg1,Mfn1,Gnas,Cox7a1,Psmd4,Uqcrh,mt-Nd1,Cox5a,Ndufa11,Psmb2,Cox4i2,Adcy5,Cycs,Maob,Psmc3,Atp5pb,Slc39a3,Psmb4,Ndufab1,Ndufb10,Uba1,Adora2a,Gnai1,Uqcr10,mt-Co1,Slc25a4,Psmc5,Psmd1,Txn2,Map3k5,Atp5f1d,Sdhd,mt-Nd2,Atp5mc3,Ndufb8,Cox7b,Cox7c,Slc39a13,Cox6b1,mt-Nd5,Cox8b,Ndufb4,Atp5f1e,Adrm1,Psmd13,Uqcrb,Ndufa2,Ndufb5,mt-Nd6,Psmd14,Psmd11,Ndufb6,Cox5b,Psmc1,Ndufa4,Ndufa12,Ndufa10,Ndufs4,Ndufb7,Prkaca,Slc25a5,Uqcrc2,Uqcrq,Vdac2,Uqcr11,Cox7a2,mt-Cytb,Atp5pd,Ubc,Ndufv2,Sdhc,Ndufa6,Ndufb3,Uqcrfs1,Ndufs3,Ndufb9,Cox4i1,Ndufs1,Ndufc2,Psmb6,Ndufs2,Cyc1,Cox6a1,Psmb7,Atp5f1a,Ndufb1,mt-Nd4,Ndufb11,Ndufa13,Atp5pf,Sod1,Ndufb2,Ndufc1,Ppif,Xbp1,Uqcrc1,Atp5f1c,Sdhb,Ndufs8,Pink1,Park7,Ndufa1,Cox6c,Atp5f1b,Ndufs7,Cox8a,Ndufs6,Ndufa5,Ndufa9,Sdha,Mfn2,Ndufa3,Ndufv3,Ndufa7,Ndufv1,Trap1","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu04146","Peroxisome",79,-0.683124884380453,-2.81731499790828,1e-10,1.6952380952381e-09,3258,"68603/17855/18477/70503/15926/111175/56794/20656/19302/54683/18126/18631/14081/59038/19305/71382/212503/103737/19299/13850/269951/18633/26378/12359/56690/224824/17117/67725/15488/20280/23986/19298/51798/12908/26874/11430/74114/18634/15356/17527/72129/69129/56535/16922/20655/14712/18632/113868/56273/28200/110959/67993/76263/69123/19301","Pmvk,Mvk,Prdx1,Ddo,Idh1,Pecr,Hacl1,Sod2,Pex2,Prdx5,Nos2,Pex11a,Acsl1,Pxmp4,Pex5,Pex1,Paox,Pex12,Abcd3,Ephx2,Idh2,Pex16,Decr2,Cat,Mlycd,Pex6,Amacr,Nudt13,Hsd17b4,Scp2,Eci2,Pex19,Ech1,Crat,Abcd2,Acox1,Crot,Pex7,Hmgcl,Mpv17,Pex13,Pex11g,Pex3,Phyh,Sod1,Gnpat,Pex11b,Acaa1a,Pex14,Dhrs4,Nudt19,Nudt12,Gstk1,Eci3,Pxmp2","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu00640","Propanoate metabolism",31,-0.815634846744504,-2.80782854448763,1e-10,1.6952380952381e-09,1997,"16828/380660/73724/56690/12040/11409/13382/11430/107476/97212/227095/56451/20916/93747/100705/12039/17850/20917/13171/110821/66904/16832/104776","Ldha,Acss3,Mcee,Mlycd,Bckdhb,Acads,Dld,Acox1,Acaca,Hadha,Hibch,Suclg1,Sucla2,Echs1,Acacb,Bckdha,Mmut,Suclg2,Dbt,Pcca,Pccb,Ldhb,Aldh6a1","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu01200","Carbon metabolism",104,-0.660589376350579,-2.80072084620958,1e-10,1.6952380952381e-09,2900,"15926/14120/60525/100678/14381/110460/18655/68133/110208/18746/224530/14751/17436/66646/11532/18641/76282/269951/17448/13885/73724/12359/108682/66925/12974/14433/235339/11409/14194/104174/13382/170718/13806/78920/11430/100198/75731/236539/68263/225913/66052/67834/18563/17449/18597/21881/11428/110446/67680/227095/11429/56451/21351/15929/257635/20916/93747/66945/15277/17850/20917/110821/18293/66904/104776","Idh1,Fbp2,Acss2,Psph,G6pdx,Acat2,Pgk1,Gcsh,Pgd,Pkm,Acat3,Gpi1,Me1,Rpe,Adh5,Pfkl,Gpt,Idh2,Mdh2,Esd,Mcee,Cat,Gpt2,Sdhd,Cs,Gapdh,Dlat,Acads,Fh1,Gldc,Dld,Idh3b,Eno1,Dlst,Acox1,H6pd,Idnk,Phgdh,Pdhb,Tkfc,Sdhc,Idh3a,Pcx,Mdh1,Pdha1,Tkt,Aco1,Acat1,Sdhb,Hibch,Aco2,Suclg1,Taldo1,Idh3g,Sdsl,Sucla2,Echs1,Sdha,Hk2,Mmut,Suclg2,Pcca,Ogdh,Pccb,Aldh6a1","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu04932","Non-alcoholic fatty liver disease",145,-0.627288716520732,-2.79946565142729,1e-10,1.6952380952381e-09,2744,"13106/108079/68375/16846/12865/66576/22259/108099/12858/69875/84682/16367/13063/72674/70316/68342/66152/17708/11652/26408/66925/67264/66142/12867/110323/12869/20181/68194/16337/67530/105787/17991/66046/74769/230075/12859/17992/66414/67273/17993/66916/67003/22272/66594/12866/17711/72900/66052/68465/11450/67130/66495/66694/68349/66218/12857/227197/68197/226646/66445/12861/102631912/58805/104130/67184/68198/66377/20787/22433/22273/67680/225887/19013/54405/12864/75406/12868/407785/68202/12606/19016/66108/66945/66091/78330/66416/17995","Cyp2e1,Prkaa2,Ndufa8,Lep,Cox7a1,Uqcrh,Nr1h3,Prkag2,Cox5a,Ndufa11,Cox4i2,Irs1,Cycs,Adipor1,Ndufab1,Ndufb10,Uqcr10,mt-Co1,Akt2,Map3k5,Sdhd,Ndufb8,Cox7b,Cox7c,Cox6b1,Cox8b,Rxra,Ndufb4,Insr,Uqcrb,Prkaa1,Ndufa2,Ndufb5,Pik3cb,Ndufb6,Cox5b,Ndufa4,Ndufa12,Ndufa10,Ndufs4,Ndufb7,Uqcrc2,Uqcrq,Uqcr11,Cox7a2,mt-Cytb,Ndufv2,Sdhc,Adipor2,Adipoq,Ndufa6,Ndufb3,Uqcrfs1,Ndufs3,Ndufb9,Cox4i1,Ndufs1,Ndufc2,Ndufs2,Cyc1,Cox6a1,Ndufb1,Mlxipl,Ndufb11,Ndufa13,Ndufb2,Ndufc1,Srebf1,Xbp1,Uqcrc1,Sdhb,Ndufs8,Ppara,Ndufa1,Cox6c,Ndufs7,Cox8a,Ndufs6,Ndufa5,Cebpa,Pparg,Ndufa9,Sdha,Ndufa3,Ndufv3,Ndufa7,Ndufv1","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu00020","Citrate cycle (TCA cycle)",29,-0.825398188777492,-2.78208491317105,1e-10,1.6952380952381e-09,2145,"104112/269951/17448/66925/12974/235339/14194/13382/170718/78920/68263/66052/67834/18563/17449/18597/11428/18534/67680/11429/56451/15929/20916/66945/20917/18293","Acly,Idh2,Mdh2,Sdhd,Cs,Dlat,Fh1,Dld,Idh3b,Dlst,Pdhb,Sdhc,Idh3a,Pcx,Mdh1,Pdha1,Aco1,Pck1,Sdhb,Aco2,Suclg1,Idh3g,Sucla2,Sdha,Suclg2,Ogdh","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
