"Contrast","Pathway","PathwayID","NES","padj","CellType","N_Overlap","N_LeadingEdge","Fraction","Overlap_Genes"
"gWAT_KD_vs_CTL","antigen processing and presentation of exogenous peptide antigen","GO:0002478",2.69411037519262,1.00111090111296e-08,"Macrophage",1,20,0.05,"Fcgr1"
"gWAT_KD_vs_CTL","antigen processing and presentation of exogenous peptide antigen","GO:0002478",2.69411037519262,1.00111090111296e-08,"Macrophage_M1",1,20,0.05,"Fcgr1"
"gWAT_KD_vs_CTL","antigen processing and presentation of exogenous peptide antigen","GO:0002478",2.69411037519262,1.00111090111296e-08,"NK_cell",1,20,0.05,"Fcgr3"
"gWAT_KD_vs_CTL","antigen processing and presentation of exogenous peptide antigen","GO:0002478",2.69411037519262,1.00111090111296e-08,"Dendritic",3,20,0.15,"Cd74, H2-Ab1, H2-Eb1"
"gWAT_KD_vs_CTL","leukocyte degranulation","GO:0043299",2.66228905150124,1.00111090111296e-08,"Macrophage",2,41,0.0487804878048781,"Ccr2, Itgam"
"gWAT_KD_vs_CTL","leukocyte degranulation","GO:0043299",2.66228905150124,1.00111090111296e-08,"Mast_cell",2,41,0.0487804878048781,"Ms4a2, Fcer1a"
"gWAT_KD_vs_CTL","myeloid cell activation involved in immune response","GO:0002275",2.62062161306456,1.00111090111296e-08,"Macrophage",2,44,0.0454545454545455,"Ccr2, Itgam"
"gWAT_KD_vs_CTL","myeloid cell activation involved in immune response","GO:0002275",2.62062161306456,1.00111090111296e-08,"Mast_cell",2,44,0.0454545454545455,"Ms4a2, Fcer1a"
"gWAT_KD_vs_CTL","myeloid cell activation involved in immune response","GO:0002275",2.62062161306456,1.00111090111296e-08,"Crown_like_structure",1,44,0.0227272727272727,"Trem2"
"gWAT_KD_vs_CTL","positive regulation of tumor necrosis factor production","GO:0032760",2.47821292911056,1.00111090111296e-08,"Macrophage",4,52,0.0769230769230769,"Fcgr1, Ccr2, Csf1r, Tgfb1"
"gWAT_KD_vs_CTL","positive regulation of tumor necrosis factor production","GO:0032760",2.47821292911056,1.00111090111296e-08,"Macrophage_M1",2,52,0.0384615384615385,"Fcgr1, Ccl2"
"gWAT_KD_vs_CTL","positive regulation of tumor necrosis factor production","GO:0032760",2.47821292911056,1.00111090111296e-08,"Macrophage_M2",1,52,0.0192307692307692,"Tgfb1"
